name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992
TotalRevenue,"5,003,900,000","4,837,400,000","4,731,700,000","4,946,200,000","5,280,600,000","4,603,900,000","4,060,800,000","3,539,800,000","3,173,249,000","2,755,029,000","2,268,870,000","2,006,862,000","1,822,131,000","1,447,428,000","1,366,821,000","1,024,098,000","898,204,000","825,987,000","826,322,000","753,488,000","738,555,000","877,600,000","902,600,000","844,600,000","778,100,000","717,100,000","669,300,000","570,800,000","409,800,000"
CostOfRevenue,"3,196,200,000","3,064,100,000","2,900,200,000","2,966,700,000","3,228,800,000","2,891,400,000","2,613,100,000","2,259,800,000","2,077,651,000","1,810,159,000","1,522,854,000","1,410,865,000","1,271,170,000","1,045,803,000","969,080,000","763,709,000","630,240,000","596,076,000","614,419,000","568,994,000","561,069,000","670,800,000","641,400,000","587,100,000","547,600,000","496,600,000","456,100,000","390,100,000","278,600,000"
GrossProfit,"1,807,700,000","1,773,300,000","1,831,500,000","1,979,500,000","2,051,800,000","1,712,500,000","1,447,700,000","1,280,000,000","1,095,598,000","944,870,000","746,016,000","595,997,000","550,961,000","401,625,000","397,741,000","260,389,000","267,964,000","229,911,000","211,903,000","184,494,000","177,486,000","206,800,000","261,200,000","257,500,000","230,500,000","220,500,000","213,200,000","180,700,000","131,200,000"
OperatingExpense,"1,362,100,000","1,357,700,000","1,349,600,000","1,272,800,000","1,389,500,000","959,700,000","827,700,000","589,000,000","517,617,000","411,320,000","381,598,000","333,764,000","348,383,000","293,943,000","277,563,000","197,680,000","165,068,000","144,733,000","117,768,000","107,008,000","146,161,000","188,800,000","323,000,000","185,400,000","162,300,000","145,000,000","123,000,000","107,200,000","77,300,000"
	ResearchAndDevelopment,"189,100,000","187,400,000","218,600,000","167,700,000","184,000,000","187,800,000","152,500,000","115,200,000","105,774,000","89,250,000","82,509,000","77,922,000","72,191,000","66,480,000","52,293,000","38,419,000","27,721,000","23,315,000","19,892,000","17,634,000","16,314,000","14,900,000","15,900,000","13,700,000",,,"6,200,000",,
	SellingGeneralAndAdministration,"1,163,600,000","1,166,100,000","1,125,800,000","1,146,500,000","1,205,500,000","771,900,000","675,200,000","473,800,000","411,843,000","364,382,000","299,089,000","255,842,000","276,192,000","227,463,000","225,270,000","159,261,000","137,347,000","124,546,000","114,243,000","107,969,000","107,602,000","152,800,000","277,700,000","143,100,000","135,100,000","121,300,000","97,900,000","91,800,000","65,300,000"
	OperatingExpense,"1,362,100,000","1,357,700,000","1,349,600,000","1,272,800,000","1,389,500,000","959,700,000","827,700,000","589,000,000","517,617,000","411,320,000","381,598,000","333,764,000","348,383,000","293,943,000","277,563,000","197,680,000","165,068,000","144,733,000","117,768,000","107,008,000","146,161,000","188,800,000","323,000,000","185,400,000","162,300,000","145,000,000","123,000,000","107,200,000","77,300,000"
OperatingIncome,"445,600,000","415,600,000","481,900,000","706,700,000","662,300,000","752,800,000","620,000,000","691,000,000","577,981,000","533,550,000","364,418,000","262,233,000","202,578,000","107,682,000","120,178,000","62,709,000","102,896,000","85,178,000","94,135,000","77,486,000","31,325,000","18,000,000","-61,800,000","72,100,000","68,200,000","75,500,000","90,200,000","73,500,000","53,900,000"
InterestExpense,,,,,,,,,"60,736,000","42,312,000","28,778,000","27,154,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-117,500,000","-122,900,000","-63,300,000","-258,500,000","-5,294,000,000","-358,800,000","-243,900,000","-17,500,000","-5,256,000","1,628,000","-27,454,000","-31,299,000","-4,901,000","-2,608,000","964,000","-393,182,000",,"3,128,000","9,231,000","-18,780,000","4,154,000",,,,,,,,
PretaxIncome,"204,800,000","171,000,000","290,600,000","280,100,000","-4,848,300,000","248,000,000","272,600,000","607,700,000","511,989,000","450,554,000","308,186,000","203,780,000","180,444,000","89,054,000","105,935,000","-330,693,000","105,983,000","86,258,000","88,354,000","43,859,000","30,485,000","4,000,000","-66,000,000","70,900,000","62,500,000","70,100,000","86,900,000","70,100,000","45,100,000"
TaxProvision,"16,200,000","24,900,000","159,600,000","160,500,000","-835,500,000","120,000,000","67,300,000","165,800,000","119,015,000","109,996,000","84,089,000","62,682,000","44,671,000","15,257,000","34,535,000","22,290,000","25,416,000","32,210,000","38,157,000","16,203,000","11,187,000","2,500,000","-14,400,000","25,900,000","22,700,000","25,700,000","32,100,000","25,500,000","16,500,000"
NetIncomeContinuousOperations,"188,600,000","146,100,000","131,000,000","119,600,000","-4,012,800,000","128,000,000","205,300,000","441,900,000","392,974,000","340,558,000","224,097,000","141,098,000","135,773,000","73,797,000","71,400,000","-352,983,000","80,567,000","54,048,000","50,197,000","27,656,000","19,298,000","1,500,000","-51,600,000","45,000,000","39,800,000","44,400,000","54,800,000","44,600,000","28,600,000"
NetIncome,"188,600,000","146,100,000","131,000,000","119,600,000","-4,012,800,000","128,000,000","205,300,000","441,900,000","401,613,000","339,197,000","222,546,000","144,049,000","135,773,000","73,797,000","71,400,000","-352,983,000","80,567,000","54,048,000","50,197,000","27,656,000","19,298,000","1,500,000","-51,600,000","45,000,000","39,800,000","44,400,000","54,800,000","44,600,000","28,600,000"
NetIncomeCommonStockholders,"188,600,000","146,100,000","131,000,000","119,600,000","-4,012,800,000","128,000,000","205,300,000","441,900,000","401,613,000","339,197,000","222,546,000","144,049,000","135,773,000","73,797,000","71,400,000","-352,983,000","80,567,000","54,048,000","50,197,000","27,656,000","19,298,000","1,500,000","-51,600,000","45,000,000","39,800,000","44,400,000","54,800,000","44,600,000","28,600,000"
BasicEPS,,"1.07","0.95","0.84","-28.01",,"1.78","4.71","4.31","3.67","2.43","1.56","1.46","0.8","0.77","-4.57","1.15","0.77","0.69","0.38","0.26","0.02","-0.69","0.58","0.52","0.58","0.71","0.58","0.41"
DilutedEPS,,"1.07","0.95","0.84","-28.01",,"1.77","4.68","4.27","3.63","2.4","1.54","1.43","0.79","0.76","-4.57","1.11","0.76","0.67","0.37","0.26","0.02","-0.69","0.58","0.52","0.58","0.71","0.58","0.41"
BasicAverageShares,,"136,000,000","137,800,000","142,300,000","143,300,000",,"115,100,000","93,900,000","93,219,000","92,313,000","91,399,000","92,183,000","93,124,000","92,230,000","92,875,000","77,313,000","70,206,000","69,746,000","72,749,275","72,778,947","74,223,077","75,000,000","74,782,609","77,432,000","77,200,000","76,551,724","77,183,099","76,896,552","69,756,098"
DilutedAverageShares,,"136,500,000","138,300,000","142,600,000","143,300,000",,"115,600,000","94,500,000","94,052,000","93,529,000","92,845,000","93,629,000","95,210,000","93,807,000","94,105,000","77,313,000","72,289,000","71,158,000","74,920,896","74,745,946","74,223,077","75,000,000","74,782,609","77,432,000","77,777,778","76,551,724","77,183,099","76,896,552","69,756,098"
Ebitda,,"812,100,000","905,500,000","1,151,500,000","1,119,300,000","1,301,600,000","978,900,000","851,200,000","708,048,000","595,807,000","413,097,000","301,076,000","271,809,000","165,714,000","176,782,000","97,522,000","131,348,000","111,304,000","119,748,000","100,508,000","53,570,000","39,100,000","-32,400,000","100,700,000","95,400,000","99,200,000","109,100,000","88,900,000","65,900,000"
