name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalAssets,"232,241,000,000","225,427,000,000","225,604,000,000","219,821,000,000","207,650,000,000","194,762,000,000","170,223,000,000","142,369,000,000","119,477,000,000","95,005,000,000","80,330,000,000","83,792,000,000","85,445,040,000","86,122,731,653.62","68,945,818,295.42","29,288,339,088.36","26,677,051,158.7","23,025,310,520.58","18,946,182,209.23","11,839,908,296.48"
	CurrentAssets,"130,370,000,000","114,501,000,000","109,645,000,000","100,375,000,000","119,688,000,000","119,838,000,000","103,747,000,000","85,714,000,000","69,952,000,000","47,593,000,000","42,063,000,000","39,010,000,000","34,620,200,000","37,555,188,280.6","20,141,922,102.75","18,352,837,473.6","15,702,907,470.4","15,083,413,936.2","11,866,342,564.27","5,288,555,073.12"
		CashCashEquivalentsAndShortTermInvestments,"25,740,000,000","24,757,000,000","20,968,000,000","18,136,000,000","39,955,000,000","39,653,000,000","33,534,000,000","22,099,000,000","18,152,000,000","5,762,000,000","10,757,000,000","6,126,000,000","12,151,880,000","18,039,442,376.26","3,736,966,533.15","9,598,733,125.32","6,927,462,368.1","7,252,512,624.36","5,103,764,481.42","477,239,180"
			CashAndCashEquivalents,"2,053,000,000","2,228,000,000","2,638,000,000","3,866,000,000","4,921,000,000","5,394,000,000","8,451,000,000","5,136,000,000","7,379,000,000","5,729,000,000","6,584,000,000","5,596,000,000","7,398,280,000","18,024,062,414.42","3,722,217,401.54","9,287,859,779.04","4,385,726,889.45","7,252,512,624.36","5,103,764,481.42","477,239,180"
			OtherShortTermInvestments,"23,687,000,000","22,529,000,000","18,330,000,000","14,270,000,000","35,034,000,000","34,259,000,000","25,083,000,000","16,963,000,000","10,773,000,000","33,000,000","4,173,000,000","530,000,000","4,753,600,000","15,379,961.84","14,749,131.61","310,873,346.28","2,541,735,478.65",,,
			CashCashEquivalentsAndShortTermInvestments,"25,740,000,000","24,757,000,000","20,968,000,000","18,136,000,000","39,955,000,000","39,653,000,000","33,534,000,000","22,099,000,000","18,152,000,000","5,762,000,000","10,757,000,000","6,126,000,000","12,151,880,000","18,039,442,376.26","3,736,966,533.15","9,598,733,125.32","6,927,462,368.1","7,252,512,624.36","5,103,764,481.42","477,239,180"
		AccountsReceivable,"50,278,000,000","39,869,000,000","40,617,000,000","38,065,000,000","41,306,000,000","40,755,000,000","33,037,000,000","31,972,000,000","25,339,000,000","17,615,000,000","11,960,000,000","14,592,000,000","6,823,440,000","7,536,699,727.28","4,814,187,852.4","3,587,292,389.88","3,738,221,435.7","3,609,621,239.31","3,807,528,561.4","2,371,110,485.92"
		Inventory,"35,066,000,000","33,579,000,000","29,089,000,000","28,529,000,000","25,578,000,000","25,529,000,000","23,992,000,000","21,600,000,000","19,352,000,000","16,059,000,000","13,371,000,000","13,226,000,000","11,132,840,000","7,563,441,851.94","6,912,530,319.61","3,499,606,804.92","3,038,221,402.45","2,773,365,225.66","2,191,887,090.83","1,912,402,154.08"
		OtherCurrentAssets,"5,755,000,000","4,824,000,000","3,957,000,000","3,586,000,000","3,033,000,000","2,747,000,000","2,810,000,000","1,248,000,000","1,117,000,000","2,035,000,000",,,"3,828,720,000","3,103,468,929.04","2,893,637,032.09","1,372,401,675.36","1,716,572,749.65","1,255,260,797.82","520,648,101.85","327,595,597.12"
		CurrentAssets,"130,370,000,000","114,501,000,000","109,645,000,000","100,375,000,000","119,688,000,000","119,838,000,000","103,747,000,000","85,714,000,000","69,952,000,000","47,593,000,000","42,063,000,000","39,010,000,000","34,620,200,000","37,555,188,280.6","20,141,922,102.75","18,352,837,473.6","15,702,907,470.4","15,083,413,936.2","11,866,342,564.27","5,288,555,073.12"
	TotalNonCurrentAssets,"101,871,000,000","110,926,000,000","115,959,000,000","119,446,000,000","87,962,000,000","74,924,000,000","66,476,000,000","56,655,000,000","49,525,000,000","47,412,000,000","38,267,000,000","44,782,000,000","50,824,840,000","48,567,543,373.02","48,803,896,192.67","10,935,501,614.76","10,974,143,688.3","7,941,896,584.38","7,079,839,644.96","6,551,353,223.36"
		NetPPE,"52,332,000,000","54,088,000,000","57,869,000,000","57,160,000,000","53,961,000,000","48,090,000,000","44,424,000,000","37,814,000,000","33,246,000,000","29,642,000,000","22,459,000,000","20,882,000,000","16,765,400,000","12,457,250,664.72","9,109,794,455.02","7,058,296,576.2","6,344,859,303.55","4,816,588,193.1","3,794,956,992.82","3,231,956,846.8"
			GrossPPE,"115,643,000,000","109,648,000,000","108,114,000,000","100,140,000,000","90,140,000,000","78,130,000,000","70,119,000,000","59,027,000,000",,"44,356,000,000","34,546,000,000","30,770,000,000","24,485,200,000","18,761,695,752.78","14,100,303,497.09","11,502,837,829.8","9,892,495,046.9","7,797,062,445.66","6,225,898,794.71","5,335,673,712.16"
