name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalRevenue,"180,340,000,000","174,600,000,000","153,851,000,000","142,028,000,000","140,809,000,000","154,708,000,000","148,189,000,000","132,170,000,000","116,266,000,000","96,737,000,000","74,693,000,000","70,277,000,000","69,441,000,000","50,005,640,000","65,249,358,499.78","24,329,784,293.79","19,471,920,384.84","20,124,816,574.15","18,017,869,226.49","16,604,459,562.65","10,935,109,371.12"
CostOfRevenue,"81,435,000,000","80,591,000,000","70,421,000,000","65,724,000,000","62,453,000,000","62,427,000,000","62,786,000,000","56,369,000,000","55,687,000,000","43,432,000,000","34,430,000,000","33,937,000,000","32,941,000,000","24,597,600,000","34,300,641,467.98","12,449,514,739.52","9,385,807,372.2","9,366,377,885.25","7,816,398,940.62","6,861,445,186.14","5,715,090,500.24"
GrossProfit,"98,905,000,000","94,009,000,000","83,430,000,000","76,304,000,000","78,356,000,000","92,281,000,000","85,403,000,000","75,801,000,000","60,579,000,000","53,305,000,000","40,263,000,000","36,340,000,000","36,500,000,000","25,408,040,000","30,948,717,031.8","11,880,269,554.27","10,086,113,012.64","10,758,438,688.9","10,201,470,285.87","9,743,014,376.51","5,220,018,870.88"
OperatingExpense,"65,966,000,000","61,239,000,000","63,806,000,000","64,332,000,000","64,778,000,000","62,550,000,000","58,973,000,000","49,822,000,000","38,922,000,000","33,994,000,000","27,634,000,000","25,729,000,000","25,311,000,000","22,050,320,000","19,697,670,115.88","10,434,587,300.63","10,452,575,875.68","8,673,709,739.55","6,864,977,037.87","4,682,811,842.03","3,734,384,943.52"
	ResearchAndDevelopment,"15,781,000,000","15,410,000,000","15,607,000,000","18,265,000,000","19,551,000,000","17,834,000,000","17,449,000,000","12,402,000,000","7,674,000,000","5,911,000,000","5,060,000,000","3,793,000,000","4,037,000,000","3,532,880,000","2,468,483,875.32","2,158,497,535.71","2,803,318,631.52","1,995,965,387.65","1,370,948,013.99","740,845,460.04","506,990,968.88"
	SellingGeneralAndAdministration,"50,850,000,000","50,129,000,000","48,890,000,000","46,910,000,000","46,372,000,000","45,702,000,000","42,585,000,000","38,783,000,000","33,584,000,000","28,867,000,000","23,689,000,000","22,505,000,000","21,020,000,000","15,175,240,000","14,084,416,065.68","8,049,639,351.5","6,810,436,327.08","6,577,093,587.9","5,005,877,312.88","3,663,588,973.86","2,808,680,614.08"
	OperatingExpense,"65,966,000,000","61,239,000,000","63,806,000,000","64,332,000,000","64,778,000,000","62,550,000,000","58,973,000,000","49,822,000,000","38,922,000,000","33,994,000,000","27,634,000,000","25,729,000,000","25,311,000,000","22,050,320,000","19,697,670,115.88","10,434,587,300.63","10,452,575,875.68","8,673,709,739.55","6,864,977,037.87","4,682,811,842.03","3,734,384,943.52"
OperatingIncome,"32,939,000,000","32,770,000,000","19,624,000,000","11,972,000,000","13,578,000,000","29,731,000,000","26,430,000,000","25,979,000,000","21,657,000,000","19,311,000,000","12,629,000,000","10,611,000,000","11,189,000,000","3,357,720,000","11,251,046,915.92","1,445,682,253.64","-366,462,863.04","2,084,728,949.35","3,336,493,248","5,060,202,534.48","1,485,633,927.36"
InterestExpense,"919,000,000","983,000,000","889,000,000","788,000,000","634,000,000","826,000,000","1,092,000,000","1,274,000,000","1,018,000,000","1,067,000,000","362,000,000","372,000,000","1,668,000,000",,,,,,,,
OtherIncomeExpense,"-14,648,000,000","-14,648,000,000","2,938,000,000","2,617,000,000","1,151,000,000","-3,164,000,000","1,764,000,000","816,000,000","137,000,000","-155,000,000","3,000,000","-8,603,000,000","-14,023,000,000","1,169,960,000","-1,238,821,364.5","221,147,855.53","58,471,612.68","336,182,228.55","183,507,128.64","237,544,173.75","31,334,826.16"
PretaxIncome,"18,321,000,000","18,032,000,000","22,443,000,000","14,341,000,000","14,653,000,000","27,140,000,000","28,163,000,000","26,606,000,000","21,676,000,000","18,466,000,000","12,443,000,000","2,053,000,000","-3,996,000,000","3,438,160,000","10,525,164,559.64","1,892,211,099.15","107,030,562.12","2,545,553,266.25","3,919,099,945.41","5,069,314,485.35","1,059,517,539.52"
TaxProvision,"-342,000,000","-1,466,000,000","3,648,000,000","4,535,000,000","2,614,000,000","7,127,000,000","5,984,000,000","5,094,000,000","4,900,000,000","4,204,000,000","1,403,000,000","985,000,000","1,172,000,000","-1,229,440,000","1,179,720,836.98","259,067,828.34","-94,279,471.08","69,414,320","396,919,473.75","153,684,989.54","320,239,129.76"
NetIncomeContinuousOperations,"18,663,000,000","19,498,000,000","18,795,000,000","9,806,000,000","12,039,000,000","20,013,000,000","22,179,000,000","21,512,000,000","16,776,000,000","14,262,000,000","11,040,000,000","1,068,000,000","-5,168,000,000","4,678,040,000","9,348,943,096","1,633,054,152.19","211,266,364.56","2,479,522,894.35","3,522,180,471.66","4,915,629,495.81","739,278,409.76"
NetIncome,"18,663,000,000","19,498,000,000","18,795,000,000","9,806,000,000","12,039,000,000","20,013,000,000","22,179,000,000","21,515,000,000","16,777,000,000","14,262,000,000","11,040,000,000","1,068,000,000","-5,168,000,000","4,678,040,000","9,348,943,096","1,633,054,152.19","211,266,364.56","2,479,522,894.35","3,522,180,471.66","4,915,629,495.81","739,278,409.76"
NetIncomeCommonStockholders,"18,663,000,000","19,498,000,000","18,795,000,000","9,806,000,000","12,039,000,000","20,013,000,000","22,179,000,000","21,515,000,000","16,777,000,000","14,262,000,000","11,040,000,000","1,068,000,000","-5,168,000,000","4,678,040,000","9,348,943,096","1,633,054,152.19","211,266,364.56","2,479,522,894.35","3,522,180,471.66","4,915,629,495.81","739,278,409.76"
BasicEPS,,"117.63","113.28","59.13","72.24","117.34","130.22","126.52","98.82","84.16","65.228","6.33","-30.69","27.747","58.464","10.639","1.38","15.789","23.048","32.33","5.85"
DilutedEPS,,"117.4","113.09","59","72.09","116.98","129.75","126.04","98.44","83.81","65","6.3","-30.69","27.647","58.206","10.619","1.38","15.78","23.048","32.275","5.85"
BasicAverageShares,,"165,758,384","165,914,036","165,845,408","166,648,943","170,547,643","170,314,506","170,044,518","169,777,458","169,469,888","169,252,732","168,706,977","168,349,139","168,075,840","158,552,422","153,093,316","153,037,898","153,027,528","153,031,896","152,055,130","126,355,120"
DilutedAverageShares,,"166,081,985","166,192,754","166,185,552","166,997,675","171,072,780","170,933,433","170,695,017","170,432,680","170,177,944","169,846,154","169,615,943","168,349,139","168,690,774","159,256,476","153,403,846","153,119,602","153,099,196","153,033,462","152,299,136","126,355,120"
Ebitda,,"31,487,000,000","35,522,000,000","26,839,000,000","26,564,000,000","38,216,000,000","37,355,000,000","34,986,000,000","28,243,000,000","24,746,000,000","16,953,000,000","6,585,000,000","1,486,000,000","9,562,560,000","14,268,370,777.8","3,016,843,524.24","942,838,378.92","3,215,618,374","4,351,374,873.18","6,005,457,801.47","2,378,234,153.68"
