name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalAssets,"112,736,000,000","111,408,000,000","99,826,000,000","104,672,000,000","102,321,000,000","97,392,000,000","96,065,000,000","100,407,000,000","100,165,000,000","85,264,000,000","80,049,000,000","71,987,000,000","72,027,323,920","77,763,240,080","86,592,433,600","76,698,064,960","9,731,631,680","9,467,756,950","9,967,000,000","7,845,000,000","6,811,000,000"
	CurrentAssets,"28,936,000,000","24,647,000,000","26,386,000,000","33,108,000,000","30,680,000,000","23,437,000,000","23,926,000,000","22,901,000,000","20,791,000,000","20,043,000,000","17,532,000,000","15,403,000,000","12,572,682,970","12,160,166,810","13,111,289,990","14,439,348,320","7,024,783,410","6,565,963,300","7,671,000,000","5,403,000,000","4,877,000,000"
		CashCashEquivalentsAndShortTermInvestments,"9,853,000,000","7,124,000,000","10,392,000,000","10,304,000,000","9,161,000,000","7,350,000,000","8,316,000,000","6,437,000,000","4,297,000,000","6,516,000,000","4,969,000,000","4,629,000,000","1,713,989,130","1,261,553,850","1,558,596,260","2,488,194,640","3,372,245,410","3,090,481,710","4,289,000,000","2,879,000,000","2,356,000,000"
			CashAndCashEquivalents,"9,427,000,000","6,925,000,000","10,315,000,000","10,273,000,000","9,148,000,000","7,341,000,000","8,257,000,000","6,381,000,000","4,124,000,000","6,465,000,000","4,692,000,000","4,226,000,000","1,713,989,130","1,153,204,180","1,247,890,180","1,530,686,000","151,659,730","143,898,470","123,000,000","207,000,000","202,000,000"
			OtherShortTermInvestments,"426,000,000","199,000,000","77,000,000","31,000,000","13,000,000","9,000,000","59,000,000","56,000,000","173,000,000","51,000,000","277,000,000","403,000,000",,"108,349,670","310,706,080","957,508,640","3,220,585,680","2,946,583,240","4,166,000,000","2,672,000,000","2,154,000,000"
			CashCashEquivalentsAndShortTermInvestments,"9,853,000,000","7,124,000,000","10,392,000,000","10,304,000,000","9,161,000,000","7,350,000,000","8,316,000,000","6,437,000,000","4,297,000,000","6,516,000,000","4,969,000,000","4,629,000,000","1,713,989,130","1,261,553,850","1,558,596,260","2,488,194,640","3,372,245,410","3,090,481,710","4,289,000,000","2,879,000,000","2,356,000,000"
		AccountsReceivable,"7,937,000,000","7,260,000,000","7,216,000,000","7,311,000,000","7,386,000,000","7,149,000,000","6,831,000,000","7,507,000,000","8,042,000,000","6,507,000,000","6,015,000,000","5,303,000,000","4,911,515,070","5,031,819,290","5,016,890,020","4,497,634,960","1,488,012,220","1,312,239,690","1,566,000,000","1,234,000,000",
		Inventory,"7,994,000,000","7,477,000,000","6,816,000,000","6,892,000,000","6,516,000,000","6,562,000,000","6,352,000,000","6,379,000,000","6,051,000,000","5,020,000,000","4,444,000,000","3,590,000,000","3,734,562,150","3,658,885,010","3,427,054,290","3,055,470,560","798,000,150","823,366,080","805,000,000","737,000,000","764,000,000"
		OtherCurrentAssets,,,,,,,,,"2,401,000,000","2,000,000,000","2,104,000,000","1,708,000,000","82,990,270",,"1,757,853,420","1,078,488,160","895,665,840","336,398,410","540,000,000","553,000,000","424,000,000"
		CurrentAssets,"28,936,000,000","24,647,000,000","26,386,000,000","33,108,000,000","30,680,000,000","23,437,000,000","23,926,000,000","22,901,000,000","20,791,000,000","20,043,000,000","17,532,000,000","15,403,000,000","12,572,682,970","12,160,166,810","13,111,289,990","14,439,348,320","7,024,783,410","6,565,963,300","7,671,000,000","5,403,000,000","4,877,000,000"
	TotalNonCurrentAssets,"83,800,000,000","86,761,000,000","73,440,000,000","71,564,000,000","71,641,000,000","73,955,000,000","72,139,000,000","77,506,000,000","79,374,000,000","65,221,000,000","62,517,000,000","56,584,000,000","59,454,640,950","65,603,073,270","73,481,143,610","62,258,716,640","2,706,848,270","2,901,793,650","2,296,000,000","2,442,000,000","1,934,000,000"
		NetPPE,"11,017,000,000","9,651,000,000","9,579,000,000","10,019,000,000","9,943,000,000","10,396,000,000","10,182,000,000","10,578,000,000","10,750,000,000","8,155,000,000","7,830,000,000","6,961,000,000","6,548,000,890","6,219,119,520","6,179,504,890","5,881,522,640","1,446,722,660","1,396,101,050","1,229,000,000","1,217,000,000","1,143,000,000"
			GrossPPE,"24,868,000,000","22,697,000,000","21,978,000,000","21,877,000,000","21,109,000,000","20,880,000,000","19,561,000,000","19,124,000,000","18,210,000,000","14,376,000,000","13,104,000,000","11,551,000,000","10,394,359,850","9,339,286,940","8,434,656,900","6,955,584,720","2,226,460,120","1,990,754,330","1,630,000,000","1,417,000,000","1,234,000,000"
			AccumulatedDepreciation,"-13,851,000,000","-13,046,000,000","-12,399,000,000","-11,858,000,000","-11,166,000,000","-10,484,000,000","-9,379,000,000","-8,546,000,000","-7,460,000,000","-6,221,000,000","-5,274,000,000","-4,590,000,000","-3,846,358,960","-3,120,167,420","-2,255,152,010","-1,074,062,080","-779,737,460","-594,653,280","-401,000,000","-200,000,000","-91,000,000"
			NetPPE,"11,017,000,000","9,651,000,000","9,579,000,000","10,019,000,000","9,943,000,000","10,396,000,000","10,182,000,000","10,578,000,000","10,750,000,000","8,155,000,000","7,830,000,000","6,961,000,000","6,548,000,890","6,219,119,520","6,179,504,890","5,881,522,640","1,446,722,660","1,396,101,050","1,229,000,000","1,217,000,000","1,143,000,000"
		InvestmentsAndAdvances,"5,266,000,000","5,531,000,000","5,381,000,000","4,802,000,000","4,561,000,000","3,970,000,000","4,314,000,000","3,191,000,000","807,000,000","924,000,000","1,953,000,000","2,459,000,000",,,,,,,"258,000,000","427,000,000","371,000,000"
		Goodwill,"44,519,000,000","44,235,000,000","40,264,000,000","40,287,000,000","39,557,000,000","39,197,000,000","37,134,000,000","38,073,000,000","38,079,000,000","31,932,000,000","29,733,000,000","28,163,000,000","27,242,070,530","28,471,717,130",,,,,"141,000,000","82,000,000","3,000,000"
		OtherIntangibleAssets,"16,572,000,000","21,889,000,000","13,080,000,000","10,879,000,000","12,026,000,000","14,543,000,000","15,395,000,000","20,192,000,000","23,639,000,000","12,479,000,000","13,747,000,000","15,260,000,000","19,211,904,570","23,737,670,010","60,417,134,980","53,035,503,600","1,019,534,520","1,296,039,200","668,000,000","319,000,000","258,000,000"
		OtherNonCurrentAssets,,,,,,,,,"2,466,000,000","8,680,000,000","6,342,000,000",,"3,536,345,720","3,682,373,400","3,791,796,210","3,341,690,400","240,591,090","209,653,400",,,
		TotalNonCurrentAssets,"83,800,000,000","86,761,000,000","73,440,000,000","71,564,000,000","71,641,000,000","73,955,000,000","72,139,000,000","77,506,000,000","79,374,000,000","65,221,000,000","62,517,000,000","56,584,000,000","59,454,640,950","65,603,073,270","73,481,143,610","62,258,716,640","2,706,848,270","2,901,793,650","2,296,000,000","2,442,000,000","1,934,000,000"
	TotalAssets,"112,736,000,000","111,408,000,000","99,826,000,000","104,672,000,000","102,321,000,000","97,392,000,000","96,065,000,000","100,407,000,000","100,165,000,000","85,264,000,000","80,049,000,000","71,987,000,000","72,027,323,920","77,763,240,080","86,592,433,600","76,698,064,960","9,731,631,680","9,467,756,950","9,967,000,000","7,845,000,000","6,811,000,000"
TotalAssets,"112,736,000,000","111,408,000,000","99,826,000,000","104,672,000,000","102,321,000,000","97,392,000,000","96,065,000,000","100,407,000,000","100,165,000,000","85,264,000,000","80,049,000,000","71,987,000,000","72,027,323,920","77,763,240,080","86,592,433,600","76,698,064,960","9,731,631,680","9,467,756,950","9,967,000,000","7,845,000,000","6,811,000,000"
	TotalLiabilitiesNetMinorityInterest,"53,628,000,000","52,373,000,000","41,568,000,000","46,948,000,000","44,111,000,000","41,124,000,000","39,051,000,000","42,935,000,000","43,776,000,000","31,976,000,000","31,603,000,000","26,916,000,000","27,237,955,310","31,943,452,710","39,801,617,710","40,775,262,000","3,401,624,520","3,409,726,660","4,178,000,000","3,513,000,000","3,200,000,000"
		CurrentLiabilities,"20,387,000,000","17,376,000,000","15,457,000,000","17,629,000,000","17,808,000,000","13,032,000,000","13,958,000,000","13,898,000,000","13,564,000,000","10,087,000,000","10,965,000,000","9,345,000,000","9,684,484,400","10,278,064,850","15,408,657,500","14,994,083,680","2,587,743,770","2,548,241,780","3,006,000,000","2,258,000,000","2,217,000,000"
			CurrentDebt,"4,554,000,000","2,633,000,000","1,275,000,000","1,764,000,000","3,436,000,000","1,538,000,000","4,176,000,000","3,812,000,000","2,940,000,000","1,565,000,000","2,866,000,000","1,833,000,000","2,210,559,010","2,445,065,630","6,420,133,240","7,382,701,440","314,435,880","351,645,930","285,000,000","291,000,000","324,000,000"
			AccountsPayable,"5,313,000,000","5,041,000,000","4,633,000,000","4,297,000,000","3,817,000,000","3,651,000,000","3,003,000,000","3,190,000,000","3,183,000,000","2,800,000,000","2,654,000,000","2,791,000,000","2,753,082,180","3,008,029,300","3,190,647,490","2,762,611,600","655,868,780","596,559,220","717,000,000","667,000,000","642,000,000"
			OtherCurrentLiabilities,"6,465,000,000","5,543,000,000","5,488,000,000","7,340,000,000","6,326,000,000","4,113,000,000","3,005,000,000","3,078,000,000","7,441,000,000","5,722,000,000","5,445,000,000","4,721,000,000","4,720,843,210","4,824,969,920","5,797,876,770","4,848,770,640","1,617,439,110","1,600,036,630","1,994,000,000","1,300,000,000","1,251,000,000"
			CurrentLiabilities,"20,387,000,000","17,376,000,000","15,457,000,000","17,629,000,000","17,808,000,000","13,032,000,000","13,958,000,000","13,898,000,000","13,564,000,000","10,087,000,000","10,965,000,000","9,345,000,000","9,684,484,400","10,278,064,850","15,408,657,500","14,994,083,680","2,587,743,770","2,548,241,780","3,006,000,000","2,258,000,000","2,217,000,000"
