name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
OperatingCashFlow,"8,491,000,000","7,744,000,000","5,547,000,000","7,379,000,000","7,838,000,000","8,920,000,000","7,690,000,000","6,954,000,000","8,171,000,000","9,319,000,000","9,759,000,000","8,515,000,000","8,523,000,000","7,117,272,990","6,604,026,040","6,393,115,320","4,026,257,440","2,261,397,440","1,677,227,200","1,818,000,000","1,199,000,000","828,000,000"
	NetIncome,"11,037,000,000","2,806,000,000","4,306,000,000","8,434,000,000","4,709,000,000","4,287,000,000","4,390,000,000","3,717,000,000","4,967,000,000","5,693,000,000","5,467,000,000","5,265,000,000","4,292,000,000","5,271,596,820","4,005,907,030","2,255,996,320","-3,607,255,200","2,072,418,300","1,760,135,590","1,585,000,000","985,000,000","625,000,000"
	DepreciationAndAmortization,"5,686,000,000","7,452,000,000","4,279,000,000","3,686,000,000","3,301,000,000","4,276,000,000","3,777,000,000","5,569,000,000","4,907,000,000","5,553,000,000","5,129,000,000","5,011,000,000","5,985,000,000","4,671,460,570","6,113,042,920","5,946,475,330","2,516,226,480","389,074,700","379,282,060","301,000,000","241,000,000","236,000,000"
	DeferredIncomeTax,"-1,231,000,000","-1,753,000,000","-727,000,000","-909,000,000","-542,000,000","-1,253,000,000","-1,270,000,000","-1,010,000,000","-916,000,000","-1,865,000,000","-1,512,000,000","-1,169,000,000","-1,473,000,000","-1,478,049,850","-2,463,250,190","-2,098,110,350",,"-15,086,570","63,848,990","75,000,000",,
	ChangeInWorkingCapital,"-16,000,000","-419,000,000","-1,280,000,000","148,000,000","828,000,000","1,055,000,000","957,000,000","135,000,000","-332,000,000","-515,000,000","-277,000,000","-847,000,000","-1,000,000","-812,755,950","-1,006,212,320","-238,939,730","111,389,680","-162,776,150","-595,606,250","-270,000,000","-84,000,000","-44,000,000"
	ChangesInAccountReceivables,"-36,000,000","-462,000,000","-35,000,000","-529,000,000","168,000,000","-493,000,000","-23,000,000","175,000,000","368,000,000","-257,000,000","-82,000,000","-429,000,000","-309,000,000",,,,,,,,,
	ChangeInInventory,"-636,000,000","-547,000,000","-701,000,000","-145,000,000","-323,000,000","-466,000,000","-11,000,000","-117,000,000","-445,000,000","-232,000,000","-378,000,000","-489,000,000","-84,000,000","-89,163,100","-372,025,790","-585,951,140","161,551,920","-54,788,070","-78,143,540","-105,000,000","31,000,000","-56,000,000"
	ChangeInAccountPayable,"-107,000,000","169,000,000","270,000,000","577,000,000","447,000,000","241,000,000","478,000,000","-124,000,000","67,000,000","-87,000,000","28,000,000","-336,000,000",,,,,,,,,,
	FreeCashFlow,"6,834,000,000","5,928,000,000","3,570,000,000","5,423,000,000","5,755,000,000","6,148,000,000","6,133,000,000","5,556,000,000","6,559,000,000","7,537,000,000","8,186,000,000","6,730,000,000","6,917,000,000","5,504,792,620","5,150,018,930","5,250,763,890","4,026,257,440","1,891,379,460","272,549,420","1,253,000,000","827,000,000","414,000,000"
	OtherNonCashItems,"332,000,000","-217,000,000","-60,000,000","525,000,000","5,000,000","7,000,000","10,000,000","25,000,000","43,000,000","6,180,000,000","566,000,000","101,000,000","219,000,000","-620,026,480","433,398,680",,"737,680","794,030",,"127,000,000","57,000,000","11,000,000"
	OperatingCashFlow,"8,491,000,000","7,744,000,000","5,547,000,000","7,379,000,000","7,838,000,000","8,920,000,000","7,690,000,000","6,954,000,000","8,171,000,000","9,319,000,000","9,759,000,000","8,515,000,000","8,523,000,000","7,117,272,990","6,604,026,040","6,393,115,320","4,026,257,440","2,261,397,440","1,677,227,200","1,818,000,000","1,199,000,000","828,000,000"
InvestingCashFlow,"7,182,000,000","-1,058,000,000","-12,872,000,000","639,000,000","-2,511,000,000","-3,257,000,000","-3,460,000,000","-1,273,000,000","-1,587,000,000","-14,701,000,000","-3,383,000,000","-7,287,000,000","-2,154,000,000","-1,718,790,220","-790,270,670","-1,100,135,930","-14,131,735,760","-349,373,200","-1,410,395,600","-113,000,000","-389,000,000","962,000,000"
	CapitalExpenditure,"-1,657,000,000","-1,816,000,000","-1,977,000,000","-1,956,000,000","-2,083,000,000","-2,772,000,000","-1,557,000,000","-1,398,000,000","-1,612,000,000","-1,782,000,000","-1,573,000,000","-1,785,000,000","-1,606,000,000","-1,612,480,370","-1,454,007,110","-1,142,351,430",,"-370,017,980","-1,404,677,780","-565,000,000","-372,000,000","-414,000,000"
	PurchaseOfBusiness,,,,,,,,,,"-13,590,000,000","-1,659,000,000","-5,563,000,000","-661,000,000",,,,,,,,,
	PurchaseOfInvestment,"-2,745,000,000","-526,000,000","-12,994,000,000","-1,312,000,000","-634,000,000","-362,000,000","-2,296,000,000","-253,000,000","-328,000,000","-26,000,000","-74,000,000","-5,000,000","-6,000,000","-436,213,320","-512,956,130",,,,"-32,400,980",,"-93,000,000",
	NetOtherInvestingChanges,"10,364,000,000","-94,000,000","-58,000,000","-163,000,000","-3,000,000","-88,000,000","124,000,000","-31,000,000","-5,000,000","697,000,000","-208,000,000","-19,000,000","-4,000,000","685,870","3,030,760","5,065,860","-11,802,880","3,970,150","4,764,850","-40,000,000","-5,000,000","1,376,000,000"
	InvestingCashFlow,"7,182,000,000","-1,058,000,000","-12,872,000,000","639,000,000","-2,511,000,000","-3,257,000,000","-3,460,000,000","-1,273,000,000","-1,587,000,000","-14,701,000,000","-3,383,000,000","-7,287,000,000","-2,154,000,000","-1,718,790,220","-790,270,670","-1,100,135,930","-14,131,735,760","-349,373,200","-1,410,395,600","-113,000,000","-389,000,000","962,000,000"
CashFlowFromContinuingFinancingActivities,"-6,386,000,000","-4,193,000,000","3,934,000,000","-7,902,000,000","-4,101,000,000","-3,578,000,000","-5,180,000,000","-3,726,000,000","-4,351,000,000","2,893,000,000","-4,647,000,000","-787,000,000","-3,809,000,000","-4,827,838,930","-5,853,912,940","-5,980,247,730","9,215,098,560","-1,595,206,270","-1,592,412,870","-483,000,000","-471,000,000","-238,000,000"
	RepaymentOfDebt,"-5,013,000,000","-2,334,000,000","-787,000,000","-2,368,000,000","-2,576,000,000","-708,000,000","-3,032,000,000","-2,822,000,000","-1,345,000,000","-2,931,000,000","-1,981,000,000","-2,774,000,000","-1,253,000,000",,,,,,,"-12,000,000","-29,000,000","-31,000,000"
	CommonStockIssuance,"139,000,000","162,000,000","177,000,000","319,000,000","305,000,000","574,000,000","681,000,000","1,006,000,000","646,000,000","73,000,000","75,000,000","168,000,000","57,000,000","294,924,100","356,871,990","418,777,760","8,852,160","7,146,270","3,811,880","7,000,000","3,000,000","6,000,000"
	RepurchaseOfCapitalStock,"-358,000,000","-9,000,000","-1,101,000,000","-2,162,000,000","-2,908,000,000","-1,784,000,000","-1,801,000,000","-1,641,000,000","-823,000,000","-1,074,000,000","-321,000,000","0","-1,227,000,000","-1,808,639,190",,,,"-1,001,271,830","-1,171,200,130",,,
	CashDividendsPaid,"-3,937,000,000","-3,834,000,000","-3,773,000,000","-3,710,000,000","-3,759,000,000","-3,694,000,000","-3,676,000,000","-3,638,000,000","-3,487,000,000","-1,372,000,000","-3,138,000,000","-2,878,000,000","-2,708,000,000","-2,367,623,240","-2,041,974,550","-1,612,632,100","-734,729,280","-581,229,960","-476,485,000","-323,000,000","-241,000,000","-178,000,000"
	NetOtherFinancingCharges,"-16,000,000","-21,000,000","-91,000,000","-52,000,000","-32,000,000","-20,000,000","-8,000,000","-52,000,000","-72,000,000","-17,000,000","-97,000,000",,,"-9,602,180","-7,576,900",,,"3,176,120","4,764,850","-163,000,000","-183,000,000","-7,000,000"
	CashFlowFromContinuingFinancingActivities,"-6,386,000,000","-4,193,000,000","3,934,000,000","-7,902,000,000","-4,101,000,000","-3,578,000,000","-5,180,000,000","-3,726,000,000","-4,351,000,000","2,893,000,000","-4,647,000,000","-787,000,000","-3,809,000,000","-4,827,838,930","-5,853,912,940","-5,980,247,730","9,215,098,560","-1,595,206,270","-1,592,412,870","-483,000,000","-471,000,000","-238,000,000"
ChangeInCashSupplementalAsReported,"9,227,000,000","2,502,000,000","-3,390,000,000","42,000,000","1,125,000,000","1,807,000,000","-916,000,000","1,876,000,000","2,257,000,000","-2,341,000,000","1,773,000,000","466,000,000","2,515,000,000","558,984,050","-96,226,630","-590,172,690","-913,247,840","299,349,310","-1,340,828,790","1,225,000,000","340,000,000","1,565,000,000"
BeginningCashPosition,"6,742,000,000","6,925,000,000","10,315,000,000","10,273,000,000","9,148,000,000","7,341,000,000","8,257,000,000","6,381,000,000","4,124,000,000","6,465,000,000","4,692,000,000","4,226,000,000","1,711,000,000","1,155,005,080","1,248,673,120","1,838,907,180","2,762,611,600","2,460,698,970","3,808,068,120","2,580,000,000","2,240,000,000","791,000,000"
EndCashPosition,"16,029,000,000","9,427,000,000","6,925,000,000","10,315,000,000","10,273,000,000","9,148,000,000","7,341,000,000","8,257,000,000","6,381,000,000","4,124,000,000","6,465,000,000","4,692,000,000","4,226,000,000","1,713,989,130","1,153,204,180","1,247,890,180","1,849,363,760","2,760,048,280","2,467,239,330","3,805,000,000","2,580,000,000","2,356,000,000"
