name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"11,545,000,000","10,777,000,000","8,586,000,000","7,649,000,000","7,913,000,000","6,607,000,000","6,558,000,000","6,262,000,000","5,711,000,000","5,284,000,000"
	CurrentAssets,"4,748,000,000","4,399,000,000","4,217,000,000","3,390,000,000","3,830,000,000","3,465,000,000","3,357,000,000","2,864,000,000","2,311,000,000","2,116,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,932,000,000","1,701,000,000","1,564,000,000","727,000,000","1,154,000,000","882,000,000","610,000,000","317,000,000","79,000,000","63,000,000"
			CashAndCashEquivalents,"1,932,000,000","1,602,000,000","1,564,000,000","727,000,000","1,154,000,000","882,000,000","610,000,000","317,000,000","79,000,000","63,000,000"
			OtherShortTermInvestments,"0","99,000,000",,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"1,932,000,000","1,701,000,000","1,564,000,000","727,000,000","1,154,000,000","882,000,000","610,000,000","317,000,000","79,000,000","63,000,000"
		AccountsReceivable,"1,086,000,000","1,036,000,000","998,000,000","913,000,000","937,000,000","980,000,000","1,138,000,000","900,000,000","871,000,000","773,000,000"
		Inventory,"1,410,000,000","1,391,000,000","1,427,000,000","1,502,000,000","1,467,000,000","1,289,000,000","1,293,000,000","1,345,000,000","1,063,000,000","995,000,000"
		OtherCurrentAssets,"318,000,000","271,000,000","228,000,000","248,000,000","201,000,000","205,000,000","219,000,000","201,000,000","202,000,000","188,000,000"
		CurrentAssets,"4,748,000,000","4,399,000,000","4,217,000,000","3,390,000,000","3,830,000,000","3,465,000,000","3,357,000,000","2,864,000,000","2,311,000,000","2,116,000,000"
	TotalNonCurrentAssets,"6,797,000,000","6,378,000,000","4,369,000,000","4,259,000,000","4,083,000,000","3,142,000,000","3,201,000,000","3,398,000,000","3,400,000,000","3,168,000,000"
		NetPPE,"2,129,000,000","1,658,000,000","1,435,000,000","1,381,000,000","1,307,000,000","1,318,000,000","1,295,000,000","1,241,000,000","1,243,000,000","1,148,000,000"
			GrossPPE,"3,866,000,000","3,257,000,000","2,906,000,000","2,739,000,000","2,515,000,000","2,463,000,000","2,323,000,000","2,252,000,000","2,149,000,000","1,905,000,000"
			AccumulatedDepreciation,"-1,737,000,000","-1,599,000,000","-1,471,000,000","-1,358,000,000","-1,208,000,000","-1,145,000,000","-1,028,000,000","-1,011,000,000","-906,000,000","-757,000,000"
			NetPPE,"2,129,000,000","1,658,000,000","1,435,000,000","1,381,000,000","1,307,000,000","1,318,000,000","1,295,000,000","1,241,000,000","1,243,000,000","1,148,000,000"
		Goodwill,"2,592,000,000","2,519,000,000","1,510,000,000","1,481,000,000","1,455,000,000","976,000,000","982,000,000","985,000,000","989,000,000","934,000,000"
		OtherIntangibleAssets,"1,890,000,000","2,046,000,000","1,269,000,000","1,228,000,000","1,190,000,000","727,000,000","803,000,000","868,000,000","928,000,000","924,000,000"
