name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
OperatingCashFlow,"1,814,000,000","1,795,000,000","1,790,000,000","1,346,000,000","713,000,000","664,000,000","626,000,000","681,000,000","454,000,000","497,000,000","254,000,000","98,000,000"
	NetIncome,"1,611,000,000","1,500,000,000","1,428,000,000","864,000,000","821,000,000","339,000,000","583,000,000","504,000,000","436,000,000","245,000,000","110,000,000","-100,000,000"
	DepreciationAndAmortization,"424,000,000","412,000,000","308,000,000","242,000,000","240,000,000","199,000,000","204,000,000","209,000,000","200,000,000","205,000,000","185,000,000","124,000,000"
	DeferredIncomeTax,"-72,000,000","-79,000,000","-112,000,000","127,000,000","-55,000,000","-85,000,000","-49,000,000","23,000,000","-74,000,000","65,000,000","-68,000,000","-334,000,000"
	StockBasedCompensation,"65,000,000","67,000,000","53,000,000","44,000,000","37,000,000","43,000,000","32,000,000","43,000,000","28,000,000","19,000,000","16,000,000","15,000,000"
	ChangeInWorkingCapital,"-241,000,000","-151,000,000","112,000,000","-29,000,000","-439,000,000","-208,000,000","-157,000,000","-104,000,000","-149,000,000","-117,000,000","100,000,000","357,000,000"
	ChangesInAccountReceivables,"-35,000,000","-69,000,000","-67,000,000","-50,000,000","15,000,000","-58,000,000","69,000,000","-99,000,000","-65,000,000","-85,000,000","30,000,000","112,000,000"
	ChangeInInventory,"-218,000,000","-104,000,000","61,000,000","19,000,000","-101,000,000","-262,000,000","-16,000,000","-104,000,000","-318,000,000","40,000,000","117,000,000","-16,000,000"
	ChangeInAccountPayable,"34,000,000","-10,000,000","37,000,000","-10,000,000","-28,000,000","17,000,000","-210,000,000","-82,000,000","96,000,000","-16,000,000","25,000,000","38,000,000"
	FreeCashFlow,"1,323,000,000","1,335,000,000","1,452,000,000","1,122,000,000","497,000,000","440,000,000","431,000,000","497,000,000","328,000,000","362,000,000","130,000,000","-37,000,000"
	OtherNonCashItems,"-9,000,000","-9,000,000","-11,000,000","32,000,000","27,000,000","216,000,000","-1,000,000","-8,000,000","3,000,000",,"-5,000,000","10,000,000"
	OperatingCashFlow,"1,814,000,000","1,795,000,000","1,790,000,000","1,346,000,000","713,000,000","664,000,000","626,000,000","681,000,000","454,000,000","497,000,000","254,000,000","98,000,000"
InvestingCashFlow,"-538,000,000","-504,000,000","-2,259,000,000","-270,000,000","-214,000,000","-1,115,000,000","-187,000,000","-179,000,000","-135,000,000","-449,000,000","-9,000,000","-1,821,000,000"
	CapitalExpenditure,"-491,000,000","-460,000,000","-338,000,000","-224,000,000","-216,000,000","-224,000,000","-195,000,000","-184,000,000","-126,000,000","-135,000,000","-124,000,000","-135,000,000"
	PurchaseOfBusiness,"-201,000,000","-195,000,000","-1,998,000,000","-82,000,000","-88,000,000","-883,000,000",,"-4,000,000","0","-345,000,000","-81,000,000","-2,254,000,000"
	SaleOfInvestment,"126,000,000","138,000,000","28,000,000",,,,,,,,,
	NetOtherInvestingChanges,"28,000,000","13,000,000","49,000,000","36,000,000","90,000,000","-8,000,000","8,000,000","9,000,000","-9,000,000","31,000,000","196,000,000","568,000,000"
	InvestingCashFlow,"-538,000,000","-504,000,000","-2,259,000,000","-270,000,000","-214,000,000","-1,115,000,000","-187,000,000","-179,000,000","-135,000,000","-449,000,000","-9,000,000","-1,821,000,000"
