name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalAssets,"352,564,497,000,000","339,357,244,000,000","301,752,090,000,000","262,174,324,000,000","242,179,521,000,000","230,422,958,000,000","214,075,018,000,000","181,071,570,000,000","155,631,250,757,000.2","134,288,743,480,498.5","112,179,788,333,304","105,300,648,554,960.5","93,375,135,929,828.53","81,366,205,415,460","74,461,797,388,500"
	CurrentAssets,"181,385,260,000,000","174,697,424,000,000","146,982,464,000,000","141,429,704,000,000","124,814,725,000,000","115,146,026,000,000","110,760,271,000,000","87,269,017,000,000","71,502,060,936,783.28","61,402,589,322,829.91","54,211,296,752,256","48,968,555,960,485.98","41,901,013,715,589.36","34,988,905,160,650","33,399,153,360,000"
		CashCashEquivalentsAndShortTermInvestments,"108,779,703,000,000","100,939,943,000,000","83,184,201,000,000","88,182,313,000,000","71,493,074,000,000","61,817,340,000,000","54,496,009,000,000","37,448,271,000,000","15,347,729,249,749.84","10,950,571,183,906.24","12,254,350,890,492","9,796,704,886,878.39","6,754,821,796,866.961","6,281,056,338,970","6,014,695,522,125"
			CashAndCashEquivalents,"26,885,999,000,000","30,340,505,000,000","30,545,130,000,000","32,111,442,000,000","22,636,744,000,000","16,840,766,000,000","16,284,780,000,000","18,791,460,000,000","14,691,760,575,278.2","9,791,418,798,411.52","10,149,930,506,280","8,814,637,393,102.71","5,831,988,703,497.721","4,222,027,234,250","4,082,817,110,250"
			OtherShortTermInvestments,"81,893,704,000,000","70,599,438,000,000","52,639,071,000,000","56,070,871,000,000","48,856,330,000,000","44,976,574,000,000","38,211,229,000,000","18,656,811,000,000","655,968,674,471.64","1,159,152,385,494.72","2,104,420,384,212","982,067,493,775.68","922,833,093,369.24","2,059,029,104,720","1,931,878,411,875"
			CashCashEquivalentsAndShortTermInvestments,"108,779,703,000,000","100,939,943,000,000","83,184,201,000,000","88,182,313,000,000","71,493,074,000,000","61,817,340,000,000","54,496,009,000,000","37,448,271,000,000","15,347,729,249,749.84","10,950,571,183,906.24","12,254,350,890,492","9,796,704,886,878.39","6,754,821,796,866.961","6,281,056,338,970","6,014,695,522,125"
		AccountsReceivable,"35,131,343,000,000","33,867,733,000,000","27,695,995,000,000","24,279,211,000,000","25,168,026,000,000","24,694,610,000,000","24,988,532,000,000","23,861,235,000,000","24,153,027,444,485.28","21,308,834,165,871.04","19,796,779,088,340","12,043,978,431,507.36","11,125,132,468,019.64","9,089,451,823,130","7,397,353,411,875"
		Inventory,"26,766,464,000,000","28,984,704,000,000","24,983,355,000,000","18,353,503,000,000","18,811,794,000,000","17,317,504,000,000","19,134,868,000,000","17,747,413,000,000","15,716,714,958,677.58","13,364,523,858,675.998","9,839,328,233,100","9,492,606,924,396.57","7,968,803,114,521.8","6,753,445,515,810","5,864,888,876,625"
		OtherCurrentAssets,"6,874,697,000,000","2,326,337,000,000","5,530,021,000,000","4,836,850,000,000","4,388,123,000,000","5,335,018,000,000","5,022,991,000,000","4,275,436,000,000","7,025,600,000,000","-0.009","-0.001","-0.001","-0.002",,
		CurrentAssets,"181,385,260,000,000","174,697,424,000,000","146,982,464,000,000","141,429,704,000,000","124,814,725,000,000","115,146,026,000,000","110,760,271,000,000","87,269,017,000,000","71,502,060,936,783.28","61,402,589,322,829.91","54,211,296,752,256","48,968,555,960,485.98","41,901,013,715,589.36","34,988,905,160,650","33,399,153,360,000"
