name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalRevenue,"233,340,513,000,000","230,400,881,000,000","243,771,415,000,000","239,575,376,000,000","201,866,745,000,000","200,653,482,000,000","206,205,987,000,000","228,692,667,000,000","201,103,613,000,000","165,001,771,227,974.5","154,630,327,781,024.2","136,323,669,539,988","121,294,319,348,589.7","98,507,817,084,922.2","85,834,603,862,140","80,629,510,016,625"
CostOfRevenue,"149,299,791,000,000","147,239,549,000,000","132,394,411,000,000","129,290,661,000,000","120,277,715,000,000","123,482,118,000,000","128,278,800,000,000","137,696,309,000,000","126,651,931,000,000","112,145,119,969,191.2","102,666,824,032,598","94,594,863,099,204","89,762,355,598,983.22","70,880,912,438,928.12","60,055,924,949,510","55,251,654,767,250"
GrossProfit,"84,040,722,000,000","83,161,332,000,000","111,377,004,000,000","110,284,715,000,000","81,589,030,000,000","77,171,364,000,000","77,927,187,000,000","90,996,358,000,000.02","74,451,682,000,000","52,856,651,258,783.3","51,963,503,748,426.2","41,728,806,440,784","31,531,963,749,606.48","27,626,904,645,994.07","25,778,678,912,630","25,377,855,249,375"
OperatingExpense,"56,058,150,000,000","55,392,823,000,000","52,490,335,000,000","56,639,677,000,000","52,348,358,000,000","50,757,922,000,000","52,902,116,000,000","54,211,344,999,999.99","45,402,344,000,000","35,229,505,620,598.22","34,123,893,582,047.72","30,203,726,815,836","24,156,508,501,476.027","18,683,483,180,819.027","16,832,953,918,410","17,895,482,325,375"
	ResearchAndDevelopment,"20,364,648,000,000","19,907,236,000,000","18,354,080,000,000","16,355,612,000,000","14,111,381,000,000","13,705,695,000,000","14,385,506,000,000","14,319,402,000,000","11,532,795,000,000","9,979,840,878,251.48","9,099,352,270,871.52","7,386,712,113,336","7,057,910,579,181.931","6,073,958,855,401.561","5,714,762,440,660","5,499,946,965,375"
	SellingGeneralAndAdministration,"27,123,148,000,000","27,022,180,000,000","26,237,170,000,000","32,150,282,000,000","31,258,900,000,000","30,243,283,000,000","31,931,237,000,000","33,141,997,000,000","28,207,882,000,000","11,421,039,556,462.46","7,901,481,099,899.92","9,930,842,685,528",,,,
	OperatingExpense,"56,058,150,000,000","55,392,823,000,000","52,490,335,000,000","56,639,677,000,000","52,348,358,000,000","50,757,922,000,000","52,902,116,000,000","54,211,344,999,999.99","45,402,344,000,000","35,229,505,620,598.22","34,123,893,582,047.72","30,203,726,815,836","24,156,508,501,476.027","18,683,483,180,819.027","16,832,953,918,410","17,895,482,325,375"
OperatingIncome,"27,982,572,000,000","27,768,509,000,000","58,886,669,000,000","53,645,038,000,000","29,240,672,000,000","26,413,442,000,000","25,025,071,000,000","36,785,013,000,000","29,049,338,000,000","17,627,145,638,185.08","17,839,610,166,378.48","11,525,079,624,948","7,375,455,248,130.451","8,943,421,465,175.041","8,945,724,994,220","7,482,372,924,000"
InterestExpense,"652,468,000,000","686,356,000,000","674,617,000,000","655,402,000,000","587,831,000,000","776,511,000,000","592,940,000,000","509,658,000,000","599,006,000,000","644,132,892,676.04","581,091,854,823.04","535,288,671,960","670,270,880,724.12","590,515,117,910.28","294,449,100,540","218,233,380,375"
PretaxIncome,"30,276,063,000,000","30,432,189,000,000","61,159,958,000,000","56,195,967,000,000","30,713,652,000,000","25,960,995,000,000","27,875,034,000,000","38,364,279,000,000.01","29,915,017,000,000","17,159,014,989,969.54","19,328,656,365,268.64","12,191,596,016,184","6,577,774,609,924.44","9,632,872,835,922.24","9,827,645,544,850","8,125,313,184,750"
TaxProvision,"8,695,857,000,000","8,693,324,000,000","16,815,101,000,000","14,009,220,000,000","7,987,560,000,000","6,900,851,000,000","4,480,676,000,000","7,889,515,000,000","6,069,732,000,000","3,424,947,509,352.3","3,182,131,408,494.24","2,431,045,850,916","687,560,587,590.24","1,709,891,656,342.92","1,633,987,267,500","1,218,246,280,500"
NetIncomeContinuousOperations,"21,580,206,000,000","21,738,865,000,000","44,344,857,000,000","42,186,747,000,000","22,726,092,000,000","19,060,144,000,000","23,394,358,000,000","30,474,764,000,000","23,845,285,000,000","13,734,067,480,617.24","16,146,524,956,774.4","9,760,550,165,268.002","5,890,214,022,334.2","7,922,981,179,579.32","8,193,658,277,350","6,907,066,904,250"
NetIncome,"21,287,163,000,000","21,505,054,000,000","43,890,877,000,000","41,344,569,000,000","22,415,655,000,000","18,694,628,000,000","23,082,499,000,000","29,821,215,000,000","23,185,375,000,000","13,734,067,480,617.24","15,799,035,358,912.48","9,571,598,449,452","5,525,904,415,345.471","7,420,579,290,060.12","7,926,086,306,390.001","7,640,092,362,750"
NetIncomeCommonStockholders,"18,707,642,000,000","18,899,137,000,000","38,573,066,000,000","41,344,569,000,000","22,415,655,000,000","18,694,628,000,000","23,082,499,000,000","29,821,215,000,000","23,185,375,000,000","13,734,067,480,617.24","15,799,035,358,912.48","9,571,598,449,452","5,525,904,415,345.471","7,420,579,290,060.12","7,926,086,306,390.001","7,640,092,362,750"
BasicEPS,,"3,166","6,461","5,997.36","3,159.34","2,526.1","3,062.1","3,956.82","3,080.049","1,781.46","2,119.84","1,297.76","753.68","990.04","1,057.6","999.38"
