name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"273,857,000,000","260,174,000,000","265,595,000,000","229,234,000,000","215,639,000,000","233,715,000,000","182,795,000,000","170,910,000,000","156,508,000,000","108,249,000,000","65,225,000,000","36,537,000,000","32,479,000,000","24,006,000,000","19,315,000,000","13,931,000,000","8,279,000,000","6,207,000,000","5,742,000,000","5,363,000,000","7,983,000,000","6,134,000,000","5,941,000,000","7,081,000,000","9,833,000,000","11,062,000,000","9,188,748,000","7,977,000,000","7,086,500,000","6,308,800,000","5,558,400,000","5,284,000,000","4,071,400,000","2,661,100,000","1,901,900,000","1,918,300,000"
CostOfRevenue,"169,277,000,000","161,782,000,000","163,756,000,000","141,048,000,000","131,376,000,000","140,089,000,000","112,258,000,000","106,606,000,000","87,846,000,000","64,431,000,000","39,541,000,000","23,397,000,000","21,334,000,000","15,852,000,000","13,717,000,000","9,888,000,000","6,020,000,000","4,499,000,000","4,139,000,000","4,128,000,000","5,817,000,000","4,438,000,000","4,462,000,000","5,713,000,000","8,865,000,000","8,204,000,000","6,844,915,000","5,082,700,000","3,774,200,000","3,109,700,000","2,403,500,000","2,570,000,000","1,913,200,000","1,225,700,000","840,000,000","1,076,000,000"
GrossProfit,"104,580,000,000","98,392,000,000","101,839,000,000","88,186,000,000","84,263,000,000","93,626,000,000","70,537,000,000","64,304,000,000","68,662,000,000","43,818,000,000","25,684,000,000","13,140,000,000","11,145,000,000","8,154,000,000","5,598,000,000","4,043,000,000","2,259,000,000","1,708,000,000","1,603,000,000","1,235,000,000","2,166,000,000","1,696,000,000","1,479,000,000","1,368,000,000","968,000,000","2,858,000,000","2,343,833,000","2,894,300,000","3,312,300,000","3,199,100,000","3,154,900,000","2,714,000,000","2,158,200,000","1,435,400,000","1,061,900,000","842,300,000"
OperatingExpense,"37,442,000,000","34,462,000,000","30,941,000,000","26,842,000,000","24,239,000,000","22,396,000,000","18,034,000,000","15,305,000,000","13,421,000,000","10,028,000,000","7,299,000,000","5,482,000,000","4,870,000,000","3,745,000,000","3,145,000,000","2,393,000,000","1,910,000,000","1,683,000,000","1,558,000,000","1,579,000,000","1,546,000,000","1,310,000,000","1,218,000,000","2,146,000,000","2,172,000,000","2,197,000,000","1,948,414,000","2,783,900,000","2,506,600,000","2,751,800,000","2,442,900,000","2,079,700,000","1,537,900,000","1,063,900,000","788,400,000","695,000,000"
	ResearchAndDevelopment,"17,884,000,000","16,217,000,000","14,236,000,000","11,581,000,000","10,045,000,000","8,067,000,000","6,041,000,000","4,475,000,000","3,381,000,000","2,429,000,000","1,782,000,000","1,333,000,000","1,109,000,000","782,000,000","712,000,000","534,000,000","489,000,000","471,000,000","447,000,000","441,000,000","380,000,000","314,000,000","310,000,000","860,000,000","604,000,000","614,000,000","564,303,000",,,,,,,,,
	SellingGeneralAndAdministration,"19,558,000,000","18,245,000,000","16,705,000,000","15,261,000,000","14,194,000,000","14,329,000,000","11,993,000,000","10,830,000,000","10,040,000,000","7,599,000,000","5,517,000,000","4,149,000,000","3,761,000,000","2,963,000,000","2,433,000,000","1,859,000,000","1,421,000,000","1,212,000,000","1,111,000,000","1,138,000,000","1,166,000,000","996,000,000","908,000,000","1,286,000,000","1,568,000,000","1,583,000,000","1,384,111,000","2,617,800,000","2,289,400,000","2,547,400,000","2,240,200,000","1,954,900,000","1,460,200,000","993,400,000","737,300,000","653,200,000"
	OperatingExpense,"37,442,000,000","34,462,000,000","30,941,000,000","26,842,000,000","24,239,000,000","22,396,000,000","18,034,000,000","15,305,000,000","13,421,000,000","10,028,000,000","7,299,000,000","5,482,000,000","4,870,000,000","3,745,000,000","3,145,000,000","2,393,000,000","1,910,000,000","1,683,000,000","1,558,000,000","1,579,000,000","1,546,000,000","1,310,000,000","1,218,000,000","2,146,000,000","2,172,000,000","2,197,000,000","1,948,414,000","2,783,900,000","2,506,600,000","2,751,800,000","2,442,900,000","2,079,700,000","1,537,900,000","1,063,900,000","788,400,000","695,000,000"
OperatingIncome,"67,138,000,000","63,930,000,000","70,898,000,000","61,344,000,000","60,024,000,000","71,230,000,000","52,503,000,000","48,999,000,000","55,241,000,000","33,790,000,000","18,385,000,000","7,658,000,000","6,275,000,000","4,409,000,000","2,453,000,000","1,650,000,000","349,000,000","25,000,000","45,000,000","-344,000,000","620,000,000","386,000,000","261,000,000","-778,000,000","-1,204,000,000","661,000,000","395,419,000","110,400,000","805,700,000","447,300,000","712,000,000","634,300,000","620,300,000","371,500,000","273,500,000","147,300,000"
InterestExpense,"3,049,000,000","3,576,000,000","3,240,000,000","2,323,000,000","1,456,000,000","733,000,000","384,000,000","136,000,000",,,,,,,"0",,"3,000,000","8,000,000","11,000,000","16,000,000","21,000,000","47,000,000","62,000,000","71,000,000","60,000,000","48,000,000","39,653,000",,,,,,,,,
OtherIncomeExpense,"127,000,000","422,000,000","-441,000,000","-133,000,000","-1,195,000,000","-903,000,000","-431,000,000","-324,000,000","-566,000,000","-104,000,000","-156,000,000","-81,000,000","-33,000,000","-48,000,000","-29,000,000","-18,000,000","-27,000,000","6,000,000","-65,000,000","90,000,000","283,000,000","193,000,000","30,000,000","-278,000,000","-91,000,000","-39,000,000","101,236,000","29,300,000","49,600,000","52,400,000","66,500,000","110,000,000","35,800,000","38,900,000","36,200,000","-27,200,000"
