name,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalRevenue,"12,045,297,000","11,171,297,000","9,030,008,000","7,301,505,000","5,854,430,000","4,795,511,000","4,147,065,000","4,055,240,000","4,403,677,000","4,216,258,000","3,800,000,000","2,945,853,000","3,579,889,000","3,157,881,000","2,575,300,000","1,966,321,000","1,666,581,000","1,294,749,000","1,164,788,000","1,229,720,000","1,266,378,000","1,015,434,000","894,791,000","911,894,000","786,563,000","762,339,000","597,800,000","313,500,000","265,900,000","229,700,000","168,700,000","121,400,000","83,500,000","39,300,000","16,100,000"
CostOfRevenue,"1,734,720,000","1,672,720,000","1,194,999,000","1,010,491,000","819,908,000","744,317,000","622,080,000","586,557,000","483,782,000","437,873,000","403,502,000","296,732,000","362,630,000","354,694,000","292,457,000","112,578,000","104,378,000","93,022,000","104,288,000","81,451,000","87,255,000","94,540,000","111,437,000","126,271,000","141,147,000","130,301,000","71,900,000","29,200,000","29,400,000","61,700,000","39,400,000","13,800,000","11,400,000","8,100,000","900,000"
GrossProfit,"10,310,577,000","9,498,577,000","7,835,009,000","6,291,014,000","5,034,522,000","4,051,194,000","3,524,985,000","3,468,683,000","3,919,895,000","3,778,385,000","3,396,498,000","2,649,121,000","3,217,259,000","2,803,187,000","2,282,843,000","1,853,743,000","1,562,203,000","1,201,727,000","1,060,500,000","1,148,269,000","1,179,123,000","920,894,000","783,354,000","785,623,000","645,416,000","632,038,000","525,900,000","284,300,000","236,500,000","168,000,000","129,300,000","107,600,000","72,100,000","31,200,000","15,200,000"
OperatingExpense,"6,533,456,000","6,230,456,000","4,994,640,000","4,122,919,000","3,542,428,000","3,146,540,000","3,092,417,000","3,019,463,000","2,742,621,000","2,581,313,000","2,380,158,000","1,917,348,000","2,156,935,000","1,945,047,000","1,711,817,000","1,125,309,000","970,409,000","822,824,000","755,556,000","757,749,000","764,941,000","634,433,000","619,762,000","548,898,000","472,424,000","450,950,000","407,200,000","203,300,000","161,700,000","90,000,000","67,200,000","55,900,000","37,900,000","15,100,000","8,300,000"
	ResearchAndDevelopment,"2,053,228,000","1,930,228,000","1,537,812,000","1,224,059,000","975,987,000","862,730,000","844,353,000","826,631,000","742,823,000","738,053,000","680,332,000","565,141,000","662,057,000","613,242,000","539,684,000","365,328,000","311,296,000","276,980,000","246,082,000","224,122,000","240,212,000","197,476,000","207,339,000","170,862,000","152,914,000","138,616,000","99,000,000",,,,,,,,
	SellingGeneralAndAdministration,"4,312,984,000","4,124,984,000","3,365,727,000","2,822,298,000","2,487,907,000","2,215,161,000","2,195,640,000","2,140,578,000","1,951,141,000","1,800,427,000","1,627,696,000","1,280,652,000","1,426,632,000","1,259,370,000","1,102,260,000","759,981,000","659,113,000","545,844,000","488,501,000","519,346,000","517,716,000","432,127,000","412,423,000","378,626,000","317,006,000","301,239,000","255,000,000","177,300,000","142,700,000","74,800,000","56,100,000","50,300,000","34,600,000","13,500,000","7,600,000"
	OperatingExpense,"6,533,456,000","6,230,456,000","4,994,640,000","4,122,919,000","3,542,428,000","3,146,540,000","3,092,417,000","3,019,463,000","2,742,621,000","2,581,313,000","2,380,158,000","1,917,348,000","2,156,935,000","1,945,047,000","1,711,817,000","1,125,309,000","970,409,000","822,824,000","755,556,000","757,749,000","764,941,000","634,433,000","619,762,000","548,898,000","472,424,000","450,950,000","407,200,000","203,300,000","161,700,000","90,000,000","67,200,000","55,900,000","37,900,000","15,100,000","8,300,000"
OperatingIncome,"3,777,121,000","3,268,121,000","2,840,369,000","2,168,095,000","1,492,094,000","904,654,000","432,568,000","449,220,000","1,177,274,000","1,197,072,000","1,016,340,000","731,773,000","1,060,324,000","858,140,000","571,026,000","728,434,000","591,794,000","378,903,000","304,944,000","390,520,000","414,182,000","286,461,000","163,592,000","236,725,000","172,992,000","181,088,000","118,700,000","81,000,000","74,800,000","78,000,000","62,100,000","51,700,000","34,200,000","16,100,000","6,900,000"
InterestExpense,"137,214,000","157,214,000","89,242,000","74,402,000","70,442,000","64,184,000","59,732,000","67,508,000","67,487,000","66,952,000","56,952,000","3,407,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"4,513,000","25,513,000","-49,791,000","-22,121,000","-33,854,000","4,552,000","-32,815,000","-47,458,000","-15,542,000","-119,396,000","-38,160,000","-58,226,000","-29,385,000","-3,491,000","41,516,000","-1,301,000","2,506,000","-12,331,000","-35,102,000","-105,477,000","8,246,000","62,283,000","-23,251,000","28,911,000","42,669,000","-46,517,000","-78,700,000","10,100,000","-5,200,000","5,700,000","4,100,000","3,200,000","1,600,000","800,000","400,000"
