name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"1,312,985,000,000","965,076,000,000","717,124,000,000","506,812,000,000","364,450,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,892,930,000","3,196,092,000","413,000"
	CurrentAssets,"462,923,000,000","270,273,000,000","256,855,000,000","182,516,000,000","134,070,000,000","142,109,000,000","67,833,000,000","43,162,000,000","27,899,000,000","13,241,097,000","11,040,015,000","8,142,894,000","7,120,653,000","1,767,301,000","413,000"
		CashCashEquivalentsAndShortTermInvestments,"363,215,000,000","203,165,000,000","210,210,000,000","150,801,000,000","115,696,000,000","125,999,000,000","45,074,000,000","33,315,000,000","22,337,000,000","11,651,800,000","10,056,852,000","7,266,445,000","6,612,324,000","1,751,663,000","18,000"
			CashAndCashEquivalents,"330,503,000,000","189,976,000,000","199,309,000,000","143,736,000,000","106,818,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","3,433,048,000","3,254,344,000","2,748,690,000","2,688,951,000","1,751,663,000","18,000"
			OtherShortTermInvestments,"32,712,000,000","13,189,000,000","10,901,000,000","7,065,000,000","8,878,000,000","17,806,000,000","12,029,000,000","2,919,000,000","5,480,000,000","8,218,752,000","6,802,508,000","4,517,755,000","3,923,373,000",,
			CashCashEquivalentsAndShortTermInvestments,"363,215,000,000","203,165,000,000","210,210,000,000","150,801,000,000","115,696,000,000","125,999,000,000","45,074,000,000","33,315,000,000","22,337,000,000","11,651,800,000","10,056,852,000","7,266,445,000","6,612,324,000","1,751,663,000","18,000"
		AccountsReceivable,"19,786,000,000","13,771,000,000","7,284,000,000","4,388,000,000","1,209,000,000","1,067,000,000","269,000,000","135,000,000","155,000,000","45,494,000","54,162,000",,,,
		Inventory,"14,859,000,000","8,534,000,000","4,535,000,000",,,,,,,,,,,,
		OtherCurrentAssets,"7,967,000,000","6,408,000,000","5,920,000,000","1,575,000,000","2,214,000,000","923,000,000","503,000,000","388,000,000","177,000,000","569,966,000","595,718,000","529,496,000","309,175,000","7,837,000","395,000"
		CurrentAssets,"462,923,000,000","270,273,000,000","256,855,000,000","182,516,000,000","134,070,000,000","142,109,000,000","67,833,000,000","43,162,000,000","27,899,000,000","13,241,097,000","11,040,015,000","8,142,894,000","7,120,653,000","1,767,301,000","413,000"
	TotalNonCurrentAssets,"850,062,000,000","694,803,000,000","460,269,000,000","324,296,000,000","230,380,000,000","113,325,000,000","43,716,000,000","20,624,000,000","19,311,000,000","2,054,371,000","1,665,125,000","1,313,848,000","772,277,000","1,428,791,000","0"
		NetPPE,"138,047,000,000","92,030,000,000","75,866,000,000","24,897,000,000","16,505,000,000","12,244,000,000","7,241,000,000","5,703,000,000","4,164,000,000","732,759,000","781,145,000","783,122,000","375,975,000",,
			GrossPPE,"190,041,000,000","125,975,000,000","96,305,000,000","37,158,000,000","24,686,000,000","18,010,000,000","10,821,000,000","8,389,000,000","6,380,000,000","1,350,045,000","1,236,132,000","1,063,898,000","580,354,000",,
			AccumulatedDepreciation,"-51,994,000,000","-33,945,000,000","-20,439,000,000","-12,261,000,000","-8,181,000,000","-5,766,000,000","-3,580,000,000","-2,686,000,000","-2,216,000,000","-617,286,000","-454,987,000","-280,776,000","-204,379,000",,
			NetPPE,"138,047,000,000","92,030,000,000","75,866,000,000","24,897,000,000","16,505,000,000","12,244,000,000","7,241,000,000","5,703,000,000","4,164,000,000","732,759,000","781,145,000","783,122,000","375,975,000",,
		InvestmentsAndAdvances,"350,961,000,000","241,544,000,000","177,892,000,000","151,820,000,000","120,853,000,000","48,488,000,000","20,689,000,000","1,797,000,000","1,890,000,000","234,563,000","64,063,000","26,188,000","31,719,000","1,428,791,000","0"
		Goodwill,"276,782,000,000","264,935,000,000","162,149,000,000","125,420,000,000","81,645,000,000","41,933,000,000","11,793,000,000","11,294,000,000","11,436,000,000","455,207,000","367,787,000","202,631,000",,,
		OtherIntangibleAssets,"60,947,000,000","74,695,000,000","27,465,000,000","14,108,000,000","5,370,000,000","6,575,000,000","1,906,000,000","334,000,000","355,000,000","223,948,000","231,535,000","165,506,000",,,
		OtherNonCurrentAssets,"3,440,000,000","3,606,000,000","1,924,000,000","954,000,000","666,000,000","676,000,000","137,000,000","108,000,000","80,000,000","104,610,000","45,204,000","59,002,000","43,790,000",,
		TotalNonCurrentAssets,"850,062,000,000","694,803,000,000","460,269,000,000","324,296,000,000","230,380,000,000","113,325,000,000","43,716,000,000","20,624,000,000","19,311,000,000","2,054,371,000","1,665,125,000","1,313,848,000","772,277,000","1,428,791,000","0"
	TotalAssets,"1,312,985,000,000","965,076,000,000","717,124,000,000","506,812,000,000","364,450,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,892,930,000","3,196,092,000","413,000"
TotalAssets,"1,312,985,000,000","965,076,000,000","717,124,000,000","506,812,000,000","364,450,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,892,930,000","3,196,092,000","413,000"
	TotalLiabilitiesNetMinorityInterest,"442,437,000,000","356,493,000,000","280,686,000,000","185,683,000,000","114,911,000,000","98,021,000,000","70,848,000,000","52,826,000,000","12,827,000,000","7,775,296,000","6,902,075,000","4,438,593,000","2,924,521,000","87,672,000","435,000"
		CurrentLiabilities,"241,872,000,000","207,669,000,000","135,810,000,000","93,771,000,000","52,039,000,000","39,672,000,000","37,384,000,000","23,995,000,000","11,751,000,000","6,961,114,000","6,384,609,000","4,097,065,000","2,818,181,000","87,672,000","435,000"
			CurrentDebt,"5,154,000,000","22,466,000,000","6,028,000,000","14,897,000,000","4,304,000,000","1,990,000,000","10,364,000,000","5,448,000,000","1,283,000,000","1,286,489,000","92,718,000",,,,
			AccountsPayable,,,,,,,,,,"16,430,000","15,981,000","23,907,000","15,576,000",,
			IncomeTaxPayable,"20,190,000,000","17,685,000,000","13,689,000,000","6,125,000,000","2,790,000,000","2,733,000,000","1,267,000,000","259,000,000","375,000,000",,,,,,
			CurrentAccruedExpenses,"21,711,000,000","76,563,000,000","60,659,000,000","33,002,000,000","19,509,000,000","13,412,000,000","6,702,000,000","4,933,000,000","2,303,000,000","362,409,000",,,,,
			CurrentDeferredRevenue,"77,421,000,000","52,004,000,000","38,146,000,000","26,264,000,000","19,114,000,000","16,506,000,000","12,363,000,000","8,917,000,000","5,533,000,000","3,969,117,000",,,,,
			OtherCurrentLiabilities,"6,033,000,000","6,828,000,000","2,466,000,000","3,568,000,000","2,550,000,000","2,473,000,000","1,932,000,000","1,056,000,000","596,000,000",,"4,101,442,000","3,232,690,000","2,150,531,000",,
			CurrentLiabilities,"241,872,000,000","207,669,000,000","135,810,000,000","93,771,000,000","52,039,000,000","39,672,000,000","37,384,000,000","23,995,000,000","11,751,000,000","6,961,114,000","6,384,609,000","4,097,065,000","2,818,181,000","87,672,000","435,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"200,565,000,000","148,824,000,000","144,876,000,000","91,912,000,000","62,872,000,000","58,349,000,000","33,464,000,000","28,831,000,000","1,076,000,000","814,182,000","517,466,000","341,528,000","106,340,000","0","0"
			LongTermDebt,"120,276,000,000","111,834,000,000","119,525,000,000","76,835,000,000","53,467,000,000","50,603,000,000","30,711,000,000","22,462,000,000",,,,,,,
			NonCurrentDeferredTaxesLiabilities,"43,898,000,000","22,517,000,000","19,312,000,000","10,154,000,000","6,471,000,000","4,493,000,000","2,136,000,000","643,000,000","413,000,000","240,179,000","130,855,000","69,641,000",,,
			NonCurrentDeferredRevenue,"2,025,000,000","1,467,000,000","993,000,000","641,000,000","418,000,000","445,000,000","428,000,000","389,000,000","529,000,000","454,014,000","332,945,000","204,285,000","106,340,000",,
			OtherNonCurrentLiabilities,"1,322,000,000","2,315,000,000","1,637,000,000","660,000,000","315,000,000","855,000,000","135,000,000","146,000,000","30,000,000",,,,,,
			TotalNonCurrentLiabilitiesNetMinorityInterest,"200,565,000,000","148,824,000,000","144,876,000,000","91,912,000,000","62,872,000,000","58,349,000,000","33,464,000,000","28,831,000,000","1,076,000,000","814,182,000","517,466,000","341,528,000","106,340,000","0","0"
		TotalLiabilitiesNetMinorityInterest,"442,437,000,000","356,493,000,000","280,686,000,000","185,683,000,000","114,911,000,000","98,021,000,000","70,848,000,000","52,826,000,000","12,827,000,000","7,775,296,000","6,902,075,000","4,438,593,000","2,924,521,000","87,672,000","435,000"
	StockholdersEquity,"755,401,000,000","492,257,000,000","365,822,000,000","278,799,000,000","216,987,000,000","145,439,000,000","39,622,000,000","10,423,000,000","31,488,000,000","7,417,780,000","5,753,249,000","4,977,090,000","4,968,409,000","3,108,420,000","-22,000"
		CapitalStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","10,285,000,000","10,448,000,000","1,000,000","481,000","485,000","485,000","486,000","0","0"
		RetainedEarnings,"406,287,000,000","257,886,000,000","172,353,000,000","108,558,000,000","78,752,000,000","24,842,000,000","1,183,000,000","-20,491,000,000","12,552,000,000",,,,,"298,029,000","-22,000"
		GainsLossesNotAffectingRetainedEarnings,"5,457,000,000","2,636,000,000","9,100,000,000","8,541,000,000","6,200,000,000","3,865,000,000","1,651,000,000","-337,000,000","-1,024,000,000","7,417,299,000","5,752,764,000","4,976,605,000","4,967,923,000",,
		StockholdersEquity,"755,401,000,000","492,257,000,000","365,822,000,000","278,799,000,000","216,987,000,000","145,439,000,000","39,622,000,000","10,423,000,000","31,488,000,000","7,417,780,000","5,753,249,000","4,977,090,000","4,968,409,000","3,108,420,000","-22,000"
	TotalAssets,"1,312,985,000,000","965,076,000,000","717,124,000,000","506,812,000,000","364,450,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,892,930,000","3,196,092,000","413,000"
