name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
OperatingCashFlow,"180,607,000,000","180,607,000,000","150,975,000,000","125,171,000,000","80,326,000,000","56,836,000,000","41,217,000,000","26,379,000,000","14,476,000,000","9,275,000,000","2,181,989,000",,"2,240,215,000","1,580,924,000","1,409,217,000","730,671,000"
	NetIncome,"149,433,000,000","149,433,000,000","87,886,000,000","64,093,000,000","43,675,000,000","71,460,000,000","24,261,000,000","23,315,000,000","8,532,000,000","4,228,000,000","1,712,673,000","1,469,464,000","1,013,026,000","1,205,186,000","967,795,000","219,938,000"
	DepreciationAndAmortization,"42,427,000,000","42,427,000,000","37,080,000,000","22,020,000,000","14,292,000,000","6,701,000,000","4,415,000,000","1,654,000,000","935,000,000","870,000,000","252,692,000","226,910,000","126,582,000","77,220,000",,
	DeferredIncomeTax,"-3,443,000,000","-3,443,000,000","-2,197,000,000","976,000,000","-1,088,000,000","106,000,000","1,659,000,000","1,466,000,000","104,000,000","150,000,000",,,,,,
	StockBasedCompensation,"31,742,000,000","31,742,000,000","37,491,000,000","20,075,000,000","15,995,000,000","16,082,000,000","13,028,000,000","2,844,000,000","1,259,000,000","1,254,000,000","336,137,000","340,971,000","237,877,000","194,902,000",,
	ChangeInWorkingCapital,"21,418,000,000","21,418,000,000","32,250,000,000","22,082,000,000","7,259,000,000","7,792,000,000","1,854,000,000","-4,493,000,000","3,136,000,000","1,788,000,000","7,914,000","1,031,242,000","925,975,000","430,688,000","133,615,000","-33,287,000"
	ChangeInAccountPayable,,,,,,,,,,,"449,000",,,,,
	FreeCashFlow,"135,221,000,000","135,221,000,000","101,332,000,000","95,335,000,000","62,780,000,000","45,991,000,000","33,512,000,000","21,603,000,000","11,973,000,000","7,107,000,000","2,009,919,000",,"1,829,471,000","1,314,383,000","1,269,405,000","633,981,000"
	OtherNonCashItems,"1,758,000,000","1,758,000,000","-1,158,000,000","1,679,000,000","-495,000,000","348,000,000","687,000,000","1,290,000,000","245,000,000","264,000,000","-274,308,000",,"-219,387,000","-501,895,000","1,275,602,000","763,958,000"
	OperatingCashFlow,"180,607,000,000","180,607,000,000","150,975,000,000","125,171,000,000","80,326,000,000","56,836,000,000","41,217,000,000","26,379,000,000","14,476,000,000","9,275,000,000","2,181,989,000",,"2,240,215,000","1,580,924,000","1,409,217,000","730,671,000"
InvestingCashFlow,"-108,072,000,000","-108,072,000,000","-151,060,000,000","-83,890,000,000","-78,364,000,000","-42,831,000,000","-53,454,000,000","-32,997,000,000","545,000,000","-125,000,000","-1,585,468,000","-2,746,975,000","-1,222,244,000","-3,101,782,000","-101,947,000","-794,367,000"
	CapitalExpenditure,"-45,386,000,000","-45,386,000,000","-49,643,000,000","-29,836,000,000","-17,546,000,000","-10,845,000,000","-7,705,000,000","-4,776,000,000","-2,503,000,000","-2,168,000,000","-172,070,000","-294,479,000","-410,744,000","-266,541,000","-139,812,000","-96,690,000"
	PurchaseOfBusiness,"-39,131,000,000","-39,131,000,000","-47,304,000,000","-54,289,000,000","-72,883,000,000","-39,120,000,000","-34,956,000,000","-17,246,000,000","-504,000,000","-972,000,000","2,283,000","-275,856,000","-414,804,000","-9,513,000",,
	PurchaseOfInvestment,"-54,851,000,000","-54,851,000,000","-72,472,000,000","-12,602,000,000","-4,669,000,000","-15,363,000,000","-12,930,000,000","-11,423,000,000","-72,000,000","-508,000,000","-9,529,156,000","-8,113,689,000","-1,425,639,000",,,
	SaleOfInvestment,"18,798,000,000","18,798,000,000","18,085,000,000","7,223,000,000","11,344,000,000","6,805,000,000","939,000,000","372,000,000","2,615,000,000","5,861,000,000","7,937,121,000","5,805,328,000","850,000,000",,,
	NetOtherInvestingChanges,"-228,000,000","-228,000,000","-8,000,000","-571,000,000","199,000,000","781,000,000","1,099,000,000","-13,000,000","-10,000,000","-2,413,000,000","-37,440,000",,,"-2,970,991,000","37,523,000","-697,947,000"
	InvestingCashFlow,"-108,072,000,000","-108,072,000,000","-151,060,000,000","-83,890,000,000","-78,364,000,000","-42,831,000,000","-53,454,000,000","-32,997,000,000","545,000,000","-125,000,000","-1,585,468,000","-2,746,975,000","-1,222,244,000","-3,101,782,000","-101,947,000","-794,367,000"
CashFlowFromContinuingFinancingActivities,"70,853,000,000","70,853,000,000","-7,392,000,000","20,359,000,000","32,914,000,000","-15,846,000,000","87,497,000,000","9,364,000,000","-1,406,000,000","475,000,000","-244,280,000","51,263,000","-958,010,000","-78,873,000","2,626,921,000","-196,612,000"
	RepaymentOfDebt,"-31,741,000,000","-31,741,000,000","-16,347,000,000","-39,016,000,000","-67,344,000,000","-26,495,000,000","-156,541,000,000","-71,240,000,000","-9,191,000,000","-935,000,000","-279,414,000",,,,,
	CommonStockIssuance,"91,506,000,000","91,506,000,000","354,000,000","399,000,000","14,694,000,000","693,000,000","61,831,000,000","1,638,000,000","16,792,000,000","618,000,000","55,341,000","10,328,000","55,000","0","2,822,830,000","0"
	RepurchaseOfCapitalStock,"0","0","-10,872,000,000","0","-13,182,000,000","-19,795,000,000","-270,000,000","-5,288,000,000","-55,245,000,000","-2,000,000","-417,696,000","-52,709,000","-69,804,000","-78,873,000",,
	CashDividendsPaid,,,,,"0","0","-104,000,000","-208,000,000","-103,000,000","0","-947,727,000","0","-888,261,000","0","-195,909,000","-196,612,000"
	NetOtherFinancingCharges,"-4,700,000,000","-4,700,000,000","7,357,000,000","-13,665,000,000","2,069,000,000","778,000,000","-4,000,000","433,000,000","-324,000,000","-262,000,000","-75,536,000",,,,,
	CashFlowFromContinuingFinancingActivities,"70,853,000,000","70,853,000,000","-7,392,000,000","20,359,000,000","32,914,000,000","-15,846,000,000","87,497,000,000","9,364,000,000","-1,406,000,000","475,000,000","-244,280,000","51,263,000","-958,010,000","-78,873,000","2,626,921,000","-196,612,000"
ChangeInCashSupplementalAsReported,"147,488,000,000","147,488,000,000","-4,232,000,000","55,573,000,000","36,918,000,000","-1,375,000,000","75,148,000,000","2,649,000,000","13,539,000,000","9,571,000,000","352,241,000","343,681,000","59,961,000","-1,599,731,000","3,934,191,000","-260,308,000"
BeginningCashPosition,"198,494,000,000","198,494,000,000","202,726,000,000","143,736,000,000","106,818,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","7,286,000,000","3,086,165,000","2,748,690,000","2,688,951,000","4,321,170,000","437,804,000","698,335,000"
EndCashPosition,"345,982,000,000","345,982,000,000","198,494,000,000","199,309,000,000","143,736,000,000","106,818,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","3,433,048,000","3,086,165,000","2,748,690,000","2,688,951,000","4,321,170,000","437,804,000"
FreeCashFlow,"135,221,000,000","135,221,000,000","101,332,000,000","95,335,000,000","62,780,000,000","45,991,000,000","33,512,000,000","21,603,000,000","11,973,000,000","7,107,000,000","2,009,919,000",,"1,829,471,000","1,314,383,000","1,269,405,000","633,981,000"
	OperatingCashFlow,"180,607,000,000","180,607,000,000","150,975,000,000","125,171,000,000","80,326,000,000","56,836,000,000","41,217,000,000","26,379,000,000","14,476,000,000","9,275,000,000","2,181,989,000",,"2,240,215,000","1,580,924,000","1,409,217,000","730,671,000"
	CapitalExpenditure,"-45,386,000,000","-45,386,000,000","-49,643,000,000","-29,836,000,000","-17,546,000,000","-10,845,000,000","-7,705,000,000","-4,776,000,000","-2,503,000,000","-2,168,000,000","-172,070,000","-294,479,000","-410,744,000","-266,541,000","-139,812,000","-96,690,000"
	FreeCashFlow,"135,221,000,000","135,221,000,000","101,332,000,000","95,335,000,000","62,780,000,000","45,991,000,000","33,512,000,000","21,603,000,000","11,973,000,000","7,107,000,000","2,009,919,000",,"1,829,471,000","1,314,383,000","1,269,405,000","633,981,000"
