name,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
TotalAssets,"97,793,000,000","108,784,000,000","129,818,000,000","121,652,000,000","113,481,000,000","105,134,000,000","101,191,000,000","91,759,000,000","87,095,000,000","81,130,000,000","68,128,000,000","58,734,000,000","53,340,000,000","43,315,000,000","33,883,000,000","35,594,000,000","37,107,000,000","37,795,000,000","35,238,000,000","32,870,000,000","14,725,000,000","8,916,705,000","5,451,984,000","3,630,232,000","1,757,279,000","1,053,700,000","595,200,000","323,900,000","154,100,000","82,700,000","16,500,000","4,800,000"
	CurrentAssets,"47,755,000,000","61,837,000,000","83,703,000,000","78,719,000,000","76,283,000,000","67,114,000,000","65,521,000,000","61,933,000,000","57,231,000,000","51,421,000,000","44,177,000,000","35,699,000,000","31,574,000,000","25,676,000,000","13,031,000,000","14,343,000,000","13,415,000,000","17,433,000,000","12,835,000,000","11,110,000,000","4,615,000,000","3,761,924,000","3,101,266,000","2,159,640,000","995,969,000","507,700,000","268,300,000","247,100,000","141,000,000","78,200,000","15,500,000","4,500,000"
		CashCashEquivalentsAndShortTermInvestments,"33,413,000,000","46,548,000,000","70,492,000,000","65,756,000,000","60,416,000,000","52,074,000,000","50,610,000,000","48,716,000,000","44,585,000,000","39,861,000,000","35,001,000,000","26,235,000,000","22,266,000,000","17,814,000,000","6,969,000,000","8,669,000,000","8,485,000,000","12,656,000,000","6,907,000,000","5,525,000,000","2,016,000,000","1,691,501,000","1,275,585,000","1,038,184,000","439,527,000","53,600,000","27,200,000","40,000,000","40,300,000","35,800,000","4,200,000","2,300,000"
			CashAndCashEquivalents,"11,750,000,000","8,934,000,000","11,708,000,000","7,631,000,000","6,877,000,000","6,726,000,000","7,925,000,000","9,799,000,000","7,662,000,000","4,581,000,000","5,718,000,000","5,191,000,000","3,728,000,000","3,297,000,000","4,742,000,000","3,722,000,000","3,925,000,000","9,484,000,000","4,873,000,000","4,234,000,000","827,000,000","534,652,000","269,608,000","279,695,000","204,846,000","53,600,000","27,200,000","40,000,000","40,300,000","35,800,000","4,200,000","2,300,000"
			OtherShortTermInvestments,"21,663,000,000","37,614,000,000","58,784,000,000","58,125,000,000","53,539,000,000","45,348,000,000","42,685,000,000","38,917,000,000","36,923,000,000","35,280,000,000","29,283,000,000","21,044,000,000","18,538,000,000","14,517,000,000","2,227,000,000","4,947,000,000","4,560,000,000","3,172,000,000","2,034,000,000","1,291,000,000","1,189,000,000","1,156,849,000","1,005,977,000","758,489,000","234,681,000",,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"33,413,000,000","46,548,000,000","70,492,000,000","65,756,000,000","60,416,000,000","52,074,000,000","50,610,000,000","48,716,000,000","44,585,000,000","39,861,000,000","35,001,000,000","26,235,000,000","22,266,000,000","17,814,000,000","6,969,000,000","8,669,000,000","8,485,000,000","12,656,000,000","6,907,000,000","5,525,000,000","2,016,000,000","1,691,501,000","1,275,585,000","1,038,184,000","439,527,000","53,600,000","27,200,000","40,000,000","40,300,000","35,800,000","4,200,000","2,300,000"
		AccountsReceivable,"5,491,000,000","5,554,000,000","5,146,000,000","5,847,000,000","5,344,000,000","5,157,000,000","5,470,000,000","4,369,000,000","4,698,000,000","4,929,000,000","3,177,000,000","3,821,000,000","3,989,000,000","3,303,000,000","2,216,000,000","1,825,000,000","1,351,000,000","1,105,000,000","1,466,000,000","2,299,000,000","1,242,000,000","1,297,867,000","1,170,401,000","622,859,000","384,242,000",,,,,,,
		Inventory,"1,383,000,000","1,846,000,000","1,616,000,000","1,217,000,000","1,627,000,000","1,591,000,000","1,476,000,000","1,663,000,000","1,486,000,000","1,327,000,000","1,074,000,000","1,235,000,000","1,322,000,000","1,371,000,000","1,297,000,000","1,207,000,000","873,000,000","880,000,000","1,684,000,000","1,232,000,000","652,000,000","361,986,000","254,677,000","301,188,000","71,160,000","27,900,000","23,500,000","9,100,000","6,100,000","3,700,000","2,600,000","1,200,000"
		OtherCurrentAssets,"2,373,000,000","2,940,000,000","1,593,000,000","1,627,000,000","1,490,000,000","1,331,000,000","1,312,000,000","1,230,000,000","941,000,000","3,178,000,000",,,,,,,,"239,000,000",,,,,,,,"188,600,000","88,500,000","133,700,000","59,900,000","22,800,000","1,300,000","200,000"
		CurrentAssets,"47,755,000,000","61,837,000,000","83,703,000,000","78,719,000,000","76,283,000,000","67,114,000,000","65,521,000,000","61,933,000,000","57,231,000,000","51,421,000,000","44,177,000,000","35,699,000,000","31,574,000,000","25,676,000,000","13,031,000,000","14,343,000,000","13,415,000,000","17,433,000,000","12,835,000,000","11,110,000,000","4,615,000,000","3,761,924,000","3,101,266,000","2,159,640,000","995,969,000","507,700,000","268,300,000","247,100,000","141,000,000","78,200,000","15,500,000","4,500,000"
	TotalNonCurrentAssets,"50,038,000,000","46,947,000,000","46,115,000,000","42,933,000,000","37,198,000,000","38,020,000,000","35,670,000,000","29,826,000,000","29,864,000,000","29,709,000,000","23,951,000,000","23,035,000,000","21,766,000,000","17,639,000,000","20,852,000,000","21,251,000,000","23,692,000,000","20,362,000,000","22,403,000,000","21,760,000,000","10,110,000,000","5,154,781,000","2,350,718,000","1,470,592,000","761,310,000","546,000,000","326,900,000","76,800,000","13,100,000","4,500,000","1,000,000","300,000"
		NetPPE,"2,789,000,000","3,006,000,000","3,322,000,000","3,506,000,000","3,332,000,000","3,252,000,000","3,322,000,000","3,402,000,000","3,916,000,000","3,941,000,000","4,043,000,000","4,151,000,000","3,893,000,000","3,440,000,000","3,320,000,000","3,290,000,000","3,721,000,000","4,102,000,000","2,591,000,000","1,426,000,000","801,000,000","595,349,000","466,352,000","331,315,000","136,635,000","77,400,000","48,700,000","28,000,000","12,700,000","4,100,000","800,000","300,000"
			GrossPPE,"12,039,000,000","12,243,000,000","12,819,000,000","12,563,000,000","12,427,000,000","12,520,000,000","12,386,000,000","11,983,000,000","12,066,000,000","11,308,000,000","12,208,000,000","11,702,000,000","10,466,000,000","9,193,000,000","8,322,000,000","7,642,000,000","7,757,000,000","7,305,000,000","5,029,000,000","3,005,000,000","1,824,000,000","1,264,651,000","882,185,000","575,472,000","242,878,000","131,800,000","72,200,000","38,300,000","16,500,000","5,200,000","1,000,000","400,000"
			AccumulatedDepreciation,"-9,250,000,000","-9,237,000,000","-9,497,000,000","-9,057,000,000","-9,095,000,000","-9,268,000,000","-9,064,000,000","-8,581,000,000","-8,150,000,000","-7,367,000,000","-8,165,000,000","-7,551,000,000","-6,573,000,000","-5,753,000,000","-5,002,000,000","-4,352,000,000","-4,036,000,000","-3,203,000,000","-2,438,000,000","-1,579,000,000","-1,023,000,000","-669,302,000","-415,833,000","-244,157,000","-106,243,000","-54,400,000","-23,500,000","-10,300,000","-3,800,000","-1,100,000","-200,000","-100,000"
			NetPPE,"2,789,000,000","3,006,000,000","3,322,000,000","3,506,000,000","3,332,000,000","3,252,000,000","3,322,000,000","3,402,000,000","3,916,000,000","3,941,000,000","4,043,000,000","4,151,000,000","3,893,000,000","3,440,000,000","3,320,000,000","3,290,000,000","3,721,000,000","4,102,000,000","2,591,000,000","1,426,000,000","801,000,000","595,349,000","466,352,000","331,315,000","136,635,000","77,400,000","48,700,000","28,000,000","12,700,000","4,100,000","800,000","300,000"
		InvestmentsAndAdvances,,,,,"897,000,000","899,000,000","833,000,000","858,000,000","796,000,000","756,000,000","709,000,000","706,000,000","643,000,000","574,000,000","9,507,000,000","10,952,000,000","12,683,000,000","9,277,000,000","11,121,000,000","13,688,000,000","7,728,000,000","3,463,279,000","1,267,174,000","832,114,000","403,855,000",,,,,,,
		Goodwill,"33,529,000,000","31,706,000,000","29,766,000,000","26,625,000,000","24,469,000,000","24,239,000,000","21,919,000,000","16,998,000,000","16,818,000,000","16,674,000,000","12,925,000,000","12,392,000,000","12,121,000,000","9,227,000,000","5,295,000,000","4,198,000,000","4,043,000,000","3,565,000,000","3,999,000,000","2,937,000,000","157,000,000",,,,,,,,,,,
		OtherIntangibleAssets,"2,201,000,000","2,552,000,000","2,539,000,000","2,501,000,000","2,376,000,000","3,280,000,000","3,403,000,000","1,959,000,000","2,541,000,000","3,274,000,000","1,702,000,000","2,089,000,000","2,540,000,000","2,161,000,000","549,000,000","325,000,000","556,000,000","797,000,000","660,000,000","1,150,000,000","303,000,000",,,,,,,,,,,
		OtherNonCurrentAssets,"2,496,000,000","1,582,000,000","1,511,000,000","1,844,000,000","618,000,000","732,000,000","743,000,000","754,000,000","441,000,000","1,134,000,000","947,000,000","1,065,000,000","693,000,000","511,000,000","350,000,000","435,000,000","384,000,000","466,000,000","1,618,000,000","2,032,000,000","1,121,000,000","1,096,153,000","617,192,000","307,163,000","220,820,000","468,600,000","278,200,000","48,800,000","400,000","400,000","200,000",
		TotalNonCurrentAssets,"50,038,000,000","46,947,000,000","46,115,000,000","42,933,000,000","37,198,000,000","38,020,000,000","35,670,000,000","29,826,000,000","29,864,000,000","29,709,000,000","23,951,000,000","23,035,000,000","21,766,000,000","17,639,000,000","20,852,000,000","21,251,000,000","23,692,000,000","20,362,000,000","22,403,000,000","21,760,000,000","10,110,000,000","5,154,781,000","2,350,718,000","1,470,592,000","761,310,000","546,000,000","326,900,000","76,800,000","13,100,000","4,500,000","1,000,000","300,000"
	TotalAssets,"97,793,000,000","108,784,000,000","129,818,000,000","121,652,000,000","113,481,000,000","105,134,000,000","101,191,000,000","91,759,000,000","87,095,000,000","81,130,000,000","68,128,000,000","58,734,000,000","53,340,000,000","43,315,000,000","33,883,000,000","35,594,000,000","37,107,000,000","37,795,000,000","35,238,000,000","32,870,000,000","14,725,000,000","8,916,705,000","5,451,984,000","3,630,232,000","1,757,279,000","1,053,700,000","595,200,000","323,900,000","154,100,000","82,700,000","16,500,000","4,800,000"
TotalAssets,"97,793,000,000","108,784,000,000","129,818,000,000","121,652,000,000","113,481,000,000","105,134,000,000","101,191,000,000","91,759,000,000","87,095,000,000","81,130,000,000","68,128,000,000","58,734,000,000","53,340,000,000","43,315,000,000","33,883,000,000","35,594,000,000","37,107,000,000","37,795,000,000","35,238,000,000","32,870,000,000","14,725,000,000","8,916,705,000","5,451,984,000","3,630,232,000","1,757,279,000","1,053,700,000","595,200,000","323,900,000","154,100,000","82,700,000","16,500,000","4,800,000"
	TotalLiabilitiesNetMinorityInterest,"64,222,000,000","65,580,000,000","63,681,000,000","58,067,000,000","53,774,000,000","48,473,000,000","42,063,000,000","40,458,000,000","39,836,000,000","36,845,000,000","29,451,000,000","24,332,000,000","21,850,000,000","19,397,000,000","10,699,000,000","9,678,000,000","9,068,000,000","9,124,000,000","8,096,000,000","6,328,000,000","3,003,000,000","1,766,980,000","1,120,109,000","769,353,000","337,756,000","205,500,000","120,000,000","78,300,000","26,600,000","13,500,000","9,100,000","4,300,000"
		CurrentLiabilities,"31,712,000,000","27,035,000,000","27,583,000,000","24,911,000,000","23,623,000,000","19,809,000,000","22,192,000,000","17,731,000,000","17,506,000,000","19,233,000,000","13,655,000,000","13,858,000,000","13,358,000,000","11,313,000,000","9,511,000,000","8,703,000,000","8,294,000,000","8,375,000,000","8,096,000,000","5,196,000,000","3,003,000,000","1,766,980,000","1,120,109,000","769,353,000","337,756,000","205,500,000","120,000,000","78,300,000","26,300,000","13,200,000","8,800,000","1,700,000"
			CurrentDebt,"10,191,000,000","5,238,000,000","7,992,000,000","4,160,000,000","3,897,000,000","508,000,000","3,283,000,000","31,000,000","588,000,000","3,096,000,000",,"500,000,000",,,,,,,,,,,,,,,,,,,"100,000",
			AccountsPayable,"2,059,000,000","1,904,000,000","1,385,000,000","1,056,000,000","1,104,000,000","1,032,000,000","1,029,000,000","859,000,000","876,000,000","895,000,000","675,000,000","869,000,000","786,000,000","880,000,000","735,000,000","657,000,000","594,000,000","470,000,000","644,000,000","739,000,000","361,000,000","248,872,000","207,178,000","153,683,000","45,205,000","31,700,000","24,700,000","16,300,000","7,700,000","5,000,000","1,500,000",
			IncomeTaxPayable,"1,149,000,000","1,004,000,000","98,000,000","517,000,000","62,000,000","159,000,000","192,000,000","276,000,000","120,000,000","90,000,000","166,000,000","107,000,000","1,740,000,000","1,744,000,000","1,511,000,000","963,000,000","739,000,000","579,000,000","241,000,000","233,000,000","630,000,000","410,363,000","256,224,000","169,894,000","71,583,000",,,,,,,
			CurrentAccruedExpenses,,,,,,,,,"3,163,000,000","3,129,000,000","2,535,000,000","2,428,000,000","5,441,000,000","4,281,000,000","3,411,000,000","3,556,000,000","3,632,000,000","3,861,000,000","3,611,000,000","2,838,000,000","745,000,000","438,651,000","304,795,000","227,453,000","123,426,000",,,,,,,
			CurrentDeferredRevenue,"10,668,000,000","11,490,000,000","10,821,000,000","10,155,000,000","9,824,000,000","9,478,000,000","9,262,000,000","8,852,000,000","8,025,000,000","7,664,000,000","6,438,000,000","6,197,000,000","5,391,000,000","4,408,000,000","3,854,000,000","3,527,000,000","3,034,000,000","3,143,000,000","3,214,000,000","1,386,000,000","724,000,000","330,000,000","183,268,000","116,229,000","55,984,000",,,,,,,
			OtherCurrentLiabilities,"4,424,000,000","4,413,000,000","4,392,000,000","6,072,000,000","5,687,000,000","5,451,000,000","5,048,000,000","4,785,000,000","4,734,000,000","4,359,000,000","3,841,000,000","3,757,000,000","3,422,000,000","2,765,000,000","2,094,000,000","2,090,000,000","2,457,000,000","2,818,000,000","2,939,000,000","1,521,000,000","543,000,000","339,094,000","168,644,000","102,094,000","41,558,000","173,800,000","95,300,000","62,000,000","18,600,000","8,200,000","7,200,000",
