name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016
TotalAssets,"118,861,000,000","111,820,000,000","122,281,000,000","118,206,000,000","45,122,000,000"
	CurrentAssets,"36,868,000,000","36,138,000,000","38,957,000,000","30,773,000,000","23,573,000,000"
		CashCashEquivalentsAndShortTermInvestments,"9,302,000,000","9,676,000,000","16,129,000,000","11,449,000,000","6,322,000,000"
			CashAndCashEquivalents,"9,302,000,000","9,676,000,000","13,942,000,000","9,474,000,000","6,322,000,000"
			OtherShortTermInvestments,,"0","2,187,000,000","1,975,000,000","0"
			CashCashEquivalentsAndShortTermInvestments,"9,302,000,000","9,676,000,000","16,129,000,000","11,449,000,000","6,322,000,000"
		AccountsReceivable,"12,484,000,000","12,371,000,000","11,177,000,000","9,420,000,000","4,887,000,000"
		Inventory,"3,281,000,000","3,649,000,000","2,678,000,000","2,538,000,000","1,619,000,000"
		OtherCurrentAssets,"6,906,000,000","6,044,000,000","5,054,000,000","4,144,000,000","3,497,000,000"
		CurrentAssets,"36,868,000,000","36,138,000,000","38,957,000,000","30,773,000,000","23,573,000,000"
	TotalNonCurrentAssets,"81,993,000,000","75,682,000,000","83,324,000,000","87,433,000,000","21,549,000,000"
		NetPPE,"7,835,000,000","5,259,000,000","5,390,000,000","5,653,000,000","1,649,000,000"
			GrossPPE,"16,407,000,000","13,607,000,000","13,273,000,000","13,114,000,000","1,907,000,000"
			AccumulatedDepreciation,"-8,572,000,000","-8,348,000,000","-7,883,000,000","-7,461,000,000","-258,000,000"
			NetPPE,"7,835,000,000","5,259,000,000","5,390,000,000","5,653,000,000","1,649,000,000"
		InvestmentsAndAdvances,"864,000,000","1,005,000,000","4,163,000,000","3,802,000,000","114,000,000"
		Goodwill,"41,691,000,000","40,089,000,000","39,920,000,000","38,910,000,000","8,406,000,000"
		OtherIntangibleAssets,"18,107,000,000","22,270,000,000","28,265,000,000","35,053,000,000","8,577,000,000"
		OtherNonCurrentAssets,"1,690,000,000","2,835,000,000","1,862,000,000","1,364,000,000","626,000,000"
		TotalNonCurrentAssets,"81,993,000,000","75,682,000,000","83,324,000,000","87,433,000,000","21,549,000,000"
	TotalAssets,"118,861,000,000","111,820,000,000","122,281,000,000","118,206,000,000","45,122,000,000"
TotalAssets,"118,861,000,000","111,820,000,000","122,281,000,000","118,206,000,000","45,122,000,000"
	TotalLiabilitiesNetMinorityInterest,"115,077,000,000","111,566,000,000","106,910,000,000","98,966,000,000","43,550,000,000"
		CurrentLiabilities,"52,456,000,000","44,972,000,000","45,892,000,000","38,135,000,000","25,310,000,000"
			CurrentDebt,"7,737,000,000","4,320,000,000","7,873,000,000","6,329,000,000","2,981,000,000"
			AccountsPayable,"20,065,000,000","19,213,000,000","18,334,000,000","14,422,000,000","12,881,000,000"
			CurrentAccruedExpenses,"1,728,000,000","355,000,000","367,000,000","405,000,000","381,000,000"
			CurrentDeferredRevenue,"14,881,000,000","12,944,000,000","12,024,000,000","10,265,000,000","3,632,000,000"
			OtherCurrentLiabilities,"2,129,000,000","3,098,000,000","3,117,000,000","3,130,000,000","3,284,000,000"
			CurrentLiabilities,"52,456,000,000","44,972,000,000","45,892,000,000","38,135,000,000","25,310,000,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"62,621,000,000","66,594,000,000","61,018,000,000","60,831,000,000","18,240,000,000"
			LongTermDebt,"44,319,000,000","49,201,000,000","43,998,000,000","43,061,000,000","10,650,000,000"
			NonCurrentDeferredTaxesLiabilities,"3,110,000,000",,"6,110,000,000","5,483,000,000","939,000,000"
			NonCurrentDeferredRevenue,"12,919,000,000","11,066,000,000","10,223,000,000","8,431,000,000","4,089,000,000"
			OtherNonCurrentLiabilities,"913,000,000","6,327,000,000","687,000,000","3,856,000,000","2,562,000,000"
			TotalNonCurrentLiabilitiesNetMinorityInterest,"62,621,000,000","66,594,000,000","61,018,000,000","60,831,000,000","18,240,000,000"
		TotalLiabilitiesNetMinorityInterest,"115,077,000,000","111,566,000,000","106,910,000,000","98,966,000,000","43,550,000,000"
	StockholdersEquity,"-945,000,000","-4,569,000,000","9,710,000,000","13,474,000,000","1,572,000,000"
		CapitalStock,"16,091,000,000","16,114,000,000","19,889,000,000","20,199,000,000","5,727,000,000"
		RetainedEarnings,"-16,891,000,000","-21,349,000,000","-9,253,000,000","-5,609,000,000","-3,937,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-709,000,000","-467,000,000","130,000,000","-595,000,000","-324,000,000"
		StockholdersEquity,"-945,000,000","-4,569,000,000","9,710,000,000","13,474,000,000","1,572,000,000"
	TotalAssets,"118,861,000,000","111,820,000,000","122,281,000,000","118,206,000,000","45,122,000,000"
