name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
TotalRevenue,"92,143,000,000","92,154,000,000","90,621,000,000","78,660,000,000","61,642,000,000","50,911,000,000","54,142,000,000"
CostOfRevenue,"63,154,000,000","63,221,000,000","65,568,000,000","58,606,000,000","48,683,000,000","42,524,000,000","45,246,000,000"
GrossProfit,"28,989,000,000","28,933,000,000","25,053,000,000","20,054,000,000","12,959,000,000","8,387,000,000","8,896,000,000"
OperatingExpense,"26,215,000,000","26,311,000,000","25,244,000,000","23,387,000,000","16,211,000,000","8,901,000,000","9,212,000,000"
	ResearchAndDevelopment,"5,081,000,000","4,992,000,000","4,604,000,000","4,384,000,000","2,636,000,000","1,051,000,000","920,000,000"
	SellingGeneralAndAdministration,"21,134,000,000","21,319,000,000","20,640,000,000","19,003,000,000","13,575,000,000","7,850,000,000","8,292,000,000"
	OperatingExpense,"26,215,000,000","26,311,000,000","25,244,000,000","23,387,000,000","16,211,000,000","8,901,000,000","9,212,000,000"
OperatingIncome,"2,774,000,000","2,622,000,000","-191,000,000","-3,333,000,000","-3,252,000,000","-514,000,000","-316,000,000"
InterestExpense,"2,648,000,000","2,675,000,000","2,488,000,000","2,406,000,000","1,751,000,000","680,000,000","807,000,000"
OtherIncomeExpense,"292,000,000","192,000,000","318,000,000","51,000,000","-353,000,000","-92,000,000","-92,000,000"
PretaxIncome,"275,000,000","-4,000,000","-2,361,000,000","-5,688,000,000","-5,356,000,000","-1,286,000,000","-1,215,000,000"
TaxProvision,"-5,107,000,000","-5,533,000,000","-180,000,000","-1,833,000,000","-1,619,000,000","-118,000,000","-107,000,000"
NetIncomeContinuousOperations,"5,382,000,000","5,529,000,000","-2,181,000,000","-3,855,000,000","-3,737,000,000","-1,168,000,000","-1,108,000,000"
NetIncome,"4,466,000,000","4,616,000,000","-2,310,000,000","-3,728,000,000","-1,672,000,000","-1,104,000,000","-1,221,000,000"
NetIncomeCommonStockholders,"4,466,000,000","4,616,000,000","-2,310,000,000","-3,728,000,000","-1,672,000,000","-1,104,000,000","-1,221,000,000"
BasicEPS,,"6.38","-3.215","-5.189","-2.327","-1.537","-1.7"
DilutedEPS,,"6.03","-3.215","-5.189","-2.327","-1.537","-1.7"
BasicAverageShares,,"724,000,000","719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
DilutedAverageShares,,"751,000,000","719,000,000","718,434,605","718,434,605","718,434,605","718,434,605"
Ebitda,,"8,814,000,000","7,873,000,000","5,352,000,000","1,333,000,000","2,266,000,000","2,569,000,000"
