name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"18,174,000,000","22,819,000,000","25,981,000,000","23,847,000,000","17,785,000,000","45,132,000,000","41,488,000,000","37,074,000,000","27,320,218,000","22,003,762,000","18,408,320,000","15,592,439,000","15,366,037,000","13,494,011,000","11,788,986,000","7,991,051,000","5,820,134,000","4,124,444,000","1,678,529,000","1,182,403,000","963,900,000","92,500,000","5,600,000"
	CurrentAssets,"4,706,000,000","7,126,000,000","7,743,000,000","8,875,000,000","7,904,000,000","26,531,000,000","23,283,000,000","21,398,000,000","12,661,454,000","11,065,338,000","8,460,208,000","6,286,590,000","7,122,505,000","4,970,586,000","3,183,237,000","2,911,149,000","2,145,882,000","1,468,458,000","883,805,000","675,464,000","459,800,000","83,400,000","5,000,000"
		CashCashEquivalentsAndShortTermInvestments,"2,825,000,000","4,915,000,000","5,863,000,000","7,149,000,000","6,131,000,000","10,098,000,000","9,025,000,000","9,408,000,000","5,929,402,000","6,622,814,000","4,943,804,000","3,352,662,000","4,880,045,000","3,204,895,000","2,088,230,000","2,012,049,000","1,722,089,000","1,199,003,000","723,419,000","556,039,000","400,800,000","31,800,000","3,700,000"
			CashAndCashEquivalents,"975,000,000","2,202,000,000","2,120,000,000","1,816,000,000","1,832,000,000","6,328,000,000","4,494,000,000","6,817,000,000","4,691,101,000","5,577,411,000","3,999,818,000","3,188,928,000","4,221,191,000","2,662,792,000","1,313,580,000","1,330,045,000","1,381,513,000","1,109,313,000","523,969,000","201,873,000","219,700,000","31,800,000","3,700,000"
			OtherShortTermInvestments,"1,850,000,000","2,713,000,000","3,743,000,000","5,333,000,000","4,299,000,000","3,770,000,000","4,531,000,000","2,591,000,000","1,238,301,000","1,045,403,000","943,986,000","163,734,000","658,854,000","542,103,000","774,650,000","682,004,000","340,576,000","89,690,000","199,450,000","354,166,000","181,100,000",,
			CashCashEquivalentsAndShortTermInvestments,"2,825,000,000","4,915,000,000","5,863,000,000","7,149,000,000","6,131,000,000","10,098,000,000","9,025,000,000","9,408,000,000","5,929,402,000","6,622,814,000","4,943,804,000","3,352,662,000","4,880,045,000","3,204,895,000","2,088,230,000","2,012,049,000","1,722,089,000","1,199,003,000","723,419,000","556,039,000","400,800,000","31,800,000","3,700,000"
		AccountsReceivable,"700,000,000","712,000,000","695,000,000","592,000,000","619,000,000","797,000,000","899,000,000","822,000,000","681,593,000","454,366,000","407,507,000","435,197,000","480,557,000","393,195,000","322,788,000","240,856,000","225,871,000","131,453,000","101,703,000","67,163,000",,,
		OtherCurrentAssets,"549,000,000","829,000,000","523,000,000","1,134,000,000","1,154,000,000","1,491,000,000","1,310,000,000","303,000,000","207,685,000","481,238,000","328,106,000","169,920,000","1,246,967,000","828,579,000","487,235,000","379,415,000","118,029,000","96,988,000","58,683,000","52,262,000","22,500,000","45,200,000","300,000"
		CurrentAssets,"4,706,000,000","7,126,000,000","7,743,000,000","8,875,000,000","7,904,000,000","26,531,000,000","23,283,000,000","21,398,000,000","12,661,454,000","11,065,338,000","8,460,208,000","6,286,590,000","7,122,505,000","4,970,586,000","3,183,237,000","2,911,149,000","2,145,882,000","1,468,458,000","883,805,000","675,464,000","459,800,000","83,400,000","5,000,000"
	TotalNonCurrentAssets,"13,468,000,000","15,693,000,000","18,238,000,000","14,972,000,000","9,881,000,000","18,601,000,000","18,205,000,000","15,676,000,000","14,658,764,000","10,938,424,000","9,948,112,000","9,305,849,000","8,243,532,000","8,523,425,000","8,605,749,000","5,079,902,000","3,674,252,000","2,655,986,000","794,724,000","506,939,000","504,100,000","9,100,000","600,000"
