name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
OperatingCashFlow,"3,376,000,000","3,114,000,000","2,658,000,000","3,146,000,000","2,826,000,000","4,033,000,000","5,677,000,000","4,995,000,000","3,838,000,000","3,273,674,000","2,745,760,000","2,908,086,000","2,881,995,000","2,641,109,000","2,247,791,000","2,009,891,000","1,285,315,000","874,119,000","479,903,000","252,112,000","100,148,000","66,600,000","6,300,000","800,000"
	NetIncome,"5,024,000,000","1,786,000,000","2,530,000,000","-1,016,000,000","7,266,000,000","1,725,000,000","46,000,000","2,856,000,000","2,609,000,000","3,229,387,000","1,800,961,000","2,389,097,000","1,779,474,000","348,251,000","1,125,639,000","1,082,043,000","778,223,000","441,771,000","249,891,000","90,448,000","48,292,000","10,800,000","2,400,000","900,000"
	DepreciationAndAmortization,"670,000,000","681,000,000","696,000,000","676,000,000","682,000,000","687,000,000","1,490,000,000","1,400,000,000","1,200,000,000","939,953,000","762,465,000","810,946,000","719,814,000","601,707,000","544,552,000","409,937,000","259,522,000","159,003,000","76,576,000","89,732,000","45,191,000","25,400,000","5,400,000","100,000"
	DeferredIncomeTax,"165,000,000","117,000,000","-153,000,000","1,729,000,000","-4,556,000,000","-32,000,000","2,808,000,000","-31,000,000","-35,000,000","16,958,000","349,595,000","-178,813,000","-206,636,000","-123,371,000","-227,850,000","91,690,000","28,652,000","69,770,000","8,134,000","-11,408,000",,,"1,400,000",
	StockBasedCompensation,"480,000,000","505,000,000","538,000,000","483,000,000","416,000,000","379,000,000","675,000,000","609,000,000","488,000,000","457,188,000","381,492,000","394,807,000","353,323,000",,,,,,,,,,,
	ChangeInWorkingCapital,"12,000,000","-200,000,000","-577,000,000","1,116,000,000","20,000,000","-106,000,000","-185,000,000","-354,000,000","-756,000,000","-320,131,000","-899,102,000","220,575,000","-147,623,000","-172,318,000","204,674,000","-4,242,000","-190,588,000","-29,432,000","31,098,000","-29,683,000","-47,582,000","23,800,000","-8,200,000","-500,000"
	ChangesInAccountReceivables,,"-124,000,000","-98,000,000","-195,000,000","-48,000,000","-105,000,000","16,000,000","-123,000,000","-207,000,000","-291,822,000","-111,614,000","-97,494,000","-66,853,000",,,,,,,,,,,
	ChangeInAccountPayable,,"4,000,000","-47,000,000","19,000,000","-28,000,000","226,000,000","87,000,000","7,000,000","-16,000,000","29,424,000","-9,263,000","-27,235,000","14,946,000",,,,,,,,,,,
	FreeCashFlow,"2,939,000,000","2,560,000,000","2,007,000,000","2,480,000,000","2,200,000,000","3,365,000,000","4,406,000,000","3,745,000,000","2,581,000,000","2,310,176,000","2,021,848,000","2,340,992,000","2,316,105,000","2,187,142,000","1,732,343,000","1,671,610,000","992,477,000","508,735,000","341,233,000","194,692,000","50,395,000","-19,800,000","-2,600,000","100,000"
	OtherNonCashItems,,,"19,000,000",,,,,,,"3,229,387,000","392,240,000","382,825,000","347,453,000","1,986,840,000","600,772,000",,,,,,"2,000",,"100,000",
	OperatingCashFlow,"3,376,000,000","3,114,000,000","2,658,000,000","3,146,000,000","2,826,000,000","4,033,000,000","5,677,000,000","4,995,000,000","3,838,000,000","3,273,674,000","2,745,760,000","2,908,086,000","2,881,995,000","2,641,109,000","2,247,791,000","2,009,891,000","1,285,315,000","874,119,000","479,903,000","252,112,000","100,148,000","66,600,000","6,300,000","800,000"
InvestingCashFlow,"3,370,000,000","2,787,000,000","2,894,000,000","-1,296,000,000","-2,008,000,000","-3,611,000,000","-2,673,000,000","-6,012,000,000","-3,763,000,000","-3,306,862,000","-2,282,470,000","-1,149,383,000","-2,057,346,000","-693,146,000","228,853,000","-2,452,731,000","-2,013,220,000","-1,319,542,000","-157,759,000","-29,819,000","-206,054,000","-602,900,000","-49,300,000","-700,000"
	CapitalExpenditure,"-437,000,000","-554,000,000","-651,000,000","-666,000,000","-626,000,000","-668,000,000","-1,271,000,000","-1,250,000,000","-1,257,000,000","-963,498,000","-723,912,000","-567,094,000","-565,890,000","-453,967,000","-515,448,000","-338,281,000","-292,838,000","-365,384,000","-138,670,000","-57,420,000","-49,753,000","-86,400,000","-8,900,000","-700,000"
	PurchaseOfBusiness,"-202,000,000","-253,000,000","-302,000,000","-548,000,000","-212,000,000","-24,000,000","-59,000,000","-869,000,000","-143,000,000","-3,223,055,000","-90,568,000","-1,209,433,000","-1,360,293,000",,,,,,,,,,,
	PurchaseOfInvestment,"-44,483,000,000","-46,977,000,000","-28,115,000,000","-14,599,000,000","-11,212,000,000","-6,744,000,000","-8,834,000,000","-7,505,000,000","-3,128,000,000","-2,290,183,000","-2,643,514,000","-1,142,098,000","-108,128,000","-270,676,000","-583,263,000","-1,324,353,000","-1,754,808,000","-2,035,053,000","-723,307,000","-602,485,000","-398,998,000","-140,700,000","-40,400,000",
	SaleOfInvestment,"44,387,000,000","50,548,000,000","30,901,000,000","14,520,000,000","10,063,000,000","6,781,000,000","8,524,000,000","3,943,000,000","1,421,000,000","3,865,210,000","1,436,207,000","103,572,000","136,200,000","888,757,000","1,380,227,000","1,928,539,000","1,079,548,000","1,297,262,000","727,455,000","738,989,000","248,547,000",,,
	NetOtherInvestingChanges,"13,000,000","23,000,000","32,000,000","-3,000,000","-21,000,000","-18,000,000","-1,033,000,000","-331,000,000","-800,000,000","-695,336,000","-260,683,000","-114,651,000","-159,235,000","6,305,000","-7,158,000","-14,696,000","-8,646,000",,"397,000","-1,733,000","-5,850,000","-376,000,000",,
	InvestingCashFlow,"3,370,000,000","2,787,000,000","2,894,000,000","-1,296,000,000","-2,008,000,000","-3,611,000,000","-2,673,000,000","-6,012,000,000","-3,763,000,000","-3,306,862,000","-2,282,470,000","-1,149,383,000","-2,057,346,000","-693,146,000","228,853,000","-2,452,731,000","-2,013,220,000","-1,319,542,000","-157,759,000","-29,819,000","-206,054,000","-602,900,000","-49,300,000","-700,000"
CashFlowFromContinuingFinancingActivities,"-7,203,000,000","-7,091,000,000","-5,398,000,000","-1,784,000,000","-744,000,000","-2,960,000,000","-1,022,000,000","-1,354,000,000","1,951,000,000","-838,496,000","1,234,406,000","-945,656,000","-1,673,851,000","-693,392,000","-1,260,687,000","471,606,000","647,669,000","688,866,000","252,067,000","101,505,000","85,978,000","718,700,000","71,000,000","3,500,000"
	RepaymentOfDebt,"-2,389,000,000","-1,550,000,000","-750,000,000","-1,452,000,000","-20,000,000","-850,000,000","0","-400,000,000","-550,000,000","-199,271,000","0","-1,561,709,000","-433,981,000",,,,,,,,,,,
	CommonStockIssuance,"101,000,000","106,000,000","109,000,000","120,000,000","102,000,000","221,000,000","300,000,000","437,000,000","483,000,000","242,210,000","235,527,000","102,526,000","135,141,000","506,955,000","313,482,000","599,845,000","650,638,000","700,817,000","252,181,000","123,710,000","83,293,000","710,400,000","71,300,000","3,000,000"
	RepurchaseOfCapitalStock,"-6,054,000,000","-4,973,000,000","-4,502,000,000","-2,746,000,000","-2,943,000,000","-2,149,000,000","-4,658,000,000","-1,343,000,000","-898,000,000","-1,063,986,000","-711,068,000","0","-2,179,712,000","-1,485,397,000","-1,666,540,000",,,,,,"-38,000",,,
	CashDividendsPaid,"-454,000,000","-473,000,000",,,,,,,,,,,,,,,,,"-50,000","-319,000","-157,000","-3,900,000",,
	NetOtherFinancingCharges,"-172,000,000","-201,000,000","-255,000,000","-190,000,000","-99,000,000","-182,000,000","-146,000,000","-48,000,000","-60,000,000","-1,435,950,000","221,245,000","513,527,000","4,701,000","84,830,000","92,371,000",,,,,,"11,000","6,200,000","300,000",
	CashFlowFromContinuingFinancingActivities,"-7,203,000,000","-7,091,000,000","-5,398,000,000","-1,784,000,000","-744,000,000","-2,960,000,000","-1,022,000,000","-1,354,000,000","1,951,000,000","-838,496,000","1,234,406,000","-945,656,000","-1,673,851,000","-693,392,000","-1,260,687,000","471,606,000","647,669,000","688,866,000","252,067,000","101,505,000","85,978,000","718,700,000","71,000,000","3,500,000"
ChangeInCashSupplementalAsReported,"-496,000,000","-1,223,000,000","79,000,000","304,000,000","-16,000,000","-4,496,000,000","1,834,000,000","-2,323,000,000","2,126,000,000","-886,310,000","1,577,593,000","810,890,000","-1,032,263,000","1,558,399,000","1,349,212,000","-16,465,000","-51,468,000","272,200,000","585,344,000","322,096,000","-19,928,000","182,400,000","28,100,000","3,600,000"
BeginningCashPosition,"1,501,000,000","2,219,000,000","2,140,000,000","1,816,000,000","1,832,000,000","6,328,000,000","4,494,000,000","6,817,000,000","4,691,000,000","5,577,411,000","3,999,818,000","3,188,928,000","4,221,191,000","2,662,792,000","1,313,580,000","1,330,045,000","1,381,513,000","1,109,313,000","523,969,000","201,873,000","221,801,000","37,300,000","3,700,000","100,000"
EndCashPosition,"1,044,000,000","996,000,000","2,219,000,000","2,120,000,000","1,816,000,000","1,832,000,000","6,328,000,000","4,494,000,000","6,817,000,000","4,691,101,000","5,577,411,000","3,999,818,000","3,188,928,000","4,221,191,000","2,662,792,000","1,313,580,000","1,330,045,000","1,381,513,000","1,109,313,000","523,969,000","201,873,000","219,700,000","0","3,700,000"
FreeCashFlow,"2,939,000,000","2,560,000,000","2,007,000,000","2,480,000,000","2,200,000,000","3,365,000,000","4,406,000,000","3,745,000,000","2,581,000,000","2,310,176,000","2,021,848,000","2,340,992,000","2,316,105,000","2,187,142,000","1,732,343,000","1,671,610,000","992,477,000","508,735,000","341,233,000","194,692,000","50,395,000","-19,800,000","-2,600,000","100,000"
