name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"133,376,000,000","97,334,000,000","84,524,000,000","64,961,000,000","49,407,000,000","40,184,000,000","17,895,000,000","15,103,000,000","6,331,000,000","2,990,000,000"
	CurrentAssets,"66,225,000,000","50,480,000,000","48,563,000,000","34,401,000,000","21,652,000,000","13,670,000,000","13,070,000,000","11,267,000,000","4,604,000,000","2,246,000,000"
		CashCashEquivalentsAndShortTermInvestments,"54,855,000,000","41,114,000,000","41,711,000,000","29,449,000,000","18,434,000,000","11,199,000,000","11,449,000,000","9,626,000,000","3,908,000,000","1,785,000,000"
			CashAndCashEquivalents,"19,079,000,000","10,019,000,000","8,079,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000"
			OtherShortTermInvestments,"35,776,000,000","31,095,000,000","33,632,000,000","20,546,000,000","13,527,000,000","6,884,000,000","8,126,000,000","7,242,000,000","2,396,000,000","0"
			CashCashEquivalentsAndShortTermInvestments,"54,855,000,000","41,114,000,000","41,711,000,000","29,449,000,000","18,434,000,000","11,199,000,000","11,449,000,000","9,626,000,000","3,908,000,000","1,785,000,000"
		AccountsReceivable,"9,518,000,000","7,587,000,000","5,832,000,000","3,993,000,000","2,559,000,000","1,678,000,000","1,109,000,000","719,000,000","547,000,000","373,000,000"
		CurrentAssets,"66,225,000,000","50,480,000,000","48,563,000,000","34,401,000,000","21,652,000,000","13,670,000,000","13,070,000,000","11,267,000,000","4,604,000,000","2,246,000,000"
	TotalNonCurrentAssets,"67,151,000,000","46,854,000,000","35,961,000,000","30,560,000,000","27,755,000,000","26,514,000,000","4,825,000,000","3,836,000,000","1,727,000,000","744,000,000"
		NetPPE,"44,783,000,000","24,683,000,000","13,721,000,000","8,591,000,000","5,687,000,000","3,967,000,000","2,882,000,000","2,391,000,000","1,475,000,000","574,000,000"
			GrossPPE,"55,446,000,000","31,573,000,000","18,337,000,000","11,803,000,000","7,819,000,000","5,784,000,000","4,142,000,000","3,273,000,000","1,925,000,000","820,000,000"
			AccumulatedDepreciation,"-10,663,000,000","-6,890,000,000","-4,616,000,000","-3,212,000,000","-2,132,000,000","-1,817,000,000","-1,260,000,000","-882,000,000","-450,000,000","-246,000,000"
			NetPPE,"44,783,000,000","24,683,000,000","13,721,000,000","8,591,000,000","5,687,000,000","3,967,000,000","2,882,000,000","2,391,000,000","1,475,000,000","574,000,000"
		Goodwill,"18,715,000,000","18,301,000,000","18,221,000,000","18,122,000,000","18,026,000,000","17,981,000,000","839,000,000","587,000,000","82,000,000","37,000,000"
		OtherIntangibleAssets,"894,000,000","1,294,000,000","1,884,000,000","2,535,000,000","3,246,000,000","3,929,000,000","883,000,000","801,000,000","80,000,000","59,000,000"
		OtherNonCurrentAssets,"2,759,000,000","2,576,000,000","2,135,000,000","1,312,000,000","796,000,000","637,000,000","221,000,000","57,000,000","90,000,000","74,000,000"
		TotalNonCurrentAssets,"67,151,000,000","46,854,000,000","35,961,000,000","30,560,000,000","27,755,000,000","26,514,000,000","4,825,000,000","3,836,000,000","1,727,000,000","744,000,000"
	TotalAssets,"133,376,000,000","97,334,000,000","84,524,000,000","64,961,000,000","49,407,000,000","40,184,000,000","17,895,000,000","15,103,000,000","6,331,000,000","2,990,000,000"
TotalAssets,"133,376,000,000","97,334,000,000","84,524,000,000","64,961,000,000","49,407,000,000","40,184,000,000","17,895,000,000","15,103,000,000","6,331,000,000","2,990,000,000"
	TotalLiabilitiesNetMinorityInterest,"32,322,000,000","13,207,000,000","10,177,000,000","5,767,000,000","5,189,000,000","4,088,000,000","2,425,000,000","3,348,000,000","1,432,000,000","828,000,000"
		CurrentLiabilities,"15,053,000,000","7,017,000,000","3,760,000,000","2,875,000,000","1,925,000,000","1,424,000,000","1,100,000,000","1,052,000,000","899,000,000","389,000,000"
			CurrentDebt,"277,000,000","500,000,000",,,"201,000,000",,,,,
			AccountsPayable,"1,363,000,000","820,000,000","380,000,000","302,000,000","196,000,000","176,000,000","87,000,000","65,000,000","63,000,000","29,000,000"
			CurrentAccruedExpenses,"6,632,000,000","1,531,000,000","685,000,000","331,000,000","192,000,000","164,000,000","87,000,000","423,000,000","296,000,000","137,000,000"
			CurrentDeferredRevenue,"269,000,000","147,000,000","98,000,000","90,000,000","56,000,000","66,000,000","38,000,000","30,000,000","90,000,000","42,000,000"
			OtherCurrentLiabilities,"2,498,000,000","1,784,000,000","1,201,000,000","1,236,000,000","583,000,000","380,000,000","272,000,000","277,000,000",,
			CurrentLiabilities,"15,053,000,000","7,017,000,000","3,760,000,000","2,875,000,000","1,925,000,000","1,424,000,000","1,100,000,000","1,052,000,000","899,000,000","389,000,000"
		TotalNonCurrentLiabilitiesNetMinorityInterest,"17,269,000,000","6,190,000,000","6,417,000,000","2,892,000,000","3,264,000,000","2,664,000,000","1,325,000,000","2,296,000,000","533,000,000","439,000,000"
			LongTermDebt,,,,,,,,"1,500,000,000",,"250,000,000"
			NonCurrentDeferredTaxesLiabilities,"1,039,000,000","673,000,000",,,"163,000,000","987,000,000",,,,
			OtherNonCurrentLiabilities,"1,055,000,000","862,000,000","1,045,000,000","461,000,000","536,000,000","368,000,000","202,000,000","305,000,000","135,000,000","72,000,000"
			TotalNonCurrentLiabilitiesNetMinorityInterest,"17,269,000,000","6,190,000,000","6,417,000,000","2,892,000,000","3,264,000,000","2,664,000,000","1,325,000,000","2,296,000,000","533,000,000","439,000,000"
		TotalLiabilitiesNetMinorityInterest,"32,322,000,000","13,207,000,000","10,177,000,000","5,767,000,000","5,189,000,000","4,088,000,000","2,425,000,000","3,348,000,000","1,432,000,000","828,000,000"
	StockholdersEquity,"101,054,000,000","84,127,000,000","74,347,000,000","59,194,000,000","44,218,000,000","36,096,000,000","15,470,000,000","11,755,000,000","4,899,000,000","2,162,000,000"
		CapitalStock,"0","0","0","0","0","0","0","0","615,000,000","615,000,000"
		RetainedEarnings,"55,692,000,000","41,981,000,000","33,990,000,000","21,670,000,000","9,787,000,000","6,099,000,000","3,159,000,000","1,659,000,000","1,606,000,000","606,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-489,000,000","-760,000,000","-227,000,000","-703,000,000","-455,000,000","-228,000,000","14,000,000","2,000,000","-6,000,000","-6,000,000"
		StockholdersEquity,"101,054,000,000","84,127,000,000","74,347,000,000","59,194,000,000","44,218,000,000","36,096,000,000","15,470,000,000","11,755,000,000","4,899,000,000","2,162,000,000"
	TotalAssets,"133,376,000,000","97,334,000,000","84,524,000,000","64,961,000,000","49,407,000,000","40,184,000,000","17,895,000,000","15,103,000,000","6,331,000,000","2,990,000,000"
