name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"75,157,000,000","70,697,000,000","55,838,000,000","40,653,000,000","27,638,000,000","17,928,000,000","12,466,000,000","7,872,000,000","5,089,000,000","3,711,000,000","1,974,000,000"
CostOfRevenue,"13,935,000,000","12,770,000,000","9,355,000,000","5,454,000,000","3,789,000,000","2,867,000,000","2,153,000,000","1,875,000,000","1,364,000,000","860,000,000","493,000,000"
GrossProfit,"61,222,000,000","57,927,000,000","46,483,000,000","35,199,000,000","23,849,000,000","15,061,000,000","10,313,000,000","5,997,000,000","3,725,000,000","2,851,000,000","1,481,000,000"
OperatingExpense,"33,323,000,000","33,941,000,000","21,570,000,000","14,996,000,000","11,422,000,000","8,836,000,000","5,319,000,000","3,193,000,000","3,187,000,000","1,095,000,000","449,000,000"
	ResearchAndDevelopment,"15,902,000,000","13,600,000,000","10,273,000,000","7,754,000,000","5,919,000,000","4,816,000,000","2,666,000,000","1,415,000,000","1,399,000,000","388,000,000","144,000,000"
	SellingGeneralAndAdministration,"17,421,000,000","20,341,000,000","11,297,000,000","7,242,000,000","5,503,000,000","4,020,000,000","2,653,000,000","1,778,000,000","1,788,000,000","707,000,000","305,000,000"
	OperatingExpense,"33,323,000,000","33,941,000,000","21,570,000,000","14,996,000,000","11,422,000,000","8,836,000,000","5,319,000,000","3,193,000,000","3,187,000,000","1,095,000,000","449,000,000"
OperatingIncome,"27,899,000,000","23,986,000,000","24,913,000,000","20,203,000,000","12,427,000,000","6,225,000,000","4,994,000,000","2,804,000,000","538,000,000","1,756,000,000","1,032,000,000"
InterestExpense,,"20,000,000","9,000,000","6,000,000","10,000,000","23,000,000","23,000,000","56,000,000","51,000,000","42,000,000","22,000,000"
OtherIncomeExpense,,"-78,000,000","-204,000,000","-1,000,000","-75,000,000","-60,000,000","-88,000,000","-13,000,000","-7,000,000","-19,000,000","-3,000,000"
PretaxIncome,"28,490,000,000","24,812,000,000","25,361,000,000","20,594,000,000","12,518,000,000","6,194,000,000","4,910,000,000","2,754,000,000","494,000,000","1,695,000,000","1,008,000,000"
TaxProvision,"4,969,000,000","6,327,000,000","3,249,000,000","4,660,000,000","2,301,000,000","2,506,000,000","1,970,000,000","1,254,000,000","441,000,000","695,000,000","402,000,000"
NetIncomeContinuousOperations,"23,521,000,000","18,485,000,000","22,112,000,000","15,934,000,000","10,217,000,000","3,688,000,000","2,940,000,000","1,500,000,000","53,000,000","1,000,000,000","606,000,000"
NetIncome,"23,521,000,000","18,485,000,000","22,112,000,000","15,934,000,000","10,217,000,000","3,688,000,000","2,940,000,000","1,500,000,000","53,000,000","1,000,000,000","606,000,000"
NetIncomeCommonStockholders,"23,521,000,000","18,485,000,000","22,111,000,000","15,920,000,000","10,188,000,000","3,669,000,000","2,925,000,000","1,491,000,000","32,000,000","668,000,000","372,000,000"
BasicEPS,,"6.48","7.65","5.49","3.56","1.31","1.12","0.62","0.02","0.49","0.175"
DilutedEPS,,"6.43","7.57","5.39","3.49","1.29","1.1","0.6","0.01","0.43","0.17"
BasicAverageShares,,"2,854,000,000","2,890,000,000","2,901,000,000","2,863,000,000","2,803,000,000","2,614,000,000","2,420,000,000","2,006,000,000","2,030,000,000","2,126,000,000"
DilutedAverageShares,,"2,876,000,000","2,921,000,000","2,956,000,000","2,925,000,000","2,853,000,000","2,664,000,000","2,517,000,000","2,166,000,000","2,332,000,000","2,361,000,000"
Ebitda,,"30,573,000,000","29,685,000,000","23,625,000,000","14,870,000,000","8,162,000,000","6,176,000,000","3,821,000,000","1,194,000,000","2,060,000,000","1,169,000,000"
