name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2000
TotalAssets,"275,909,000,000","232,792,000,000","197,295,000,000","167,497,000,000","147,461,000,000","131,133,000,000","110,920,000,000","93,798,000,000","72,574,000,000","57,851,000,000","40,496,778,000","31,767,575,000","25,335,806,000","18,473,351,000","10,271,813,000","3,313,351,000","871,458,000","286,892,000","46,872,000"
	CurrentAssets,"152,578,000,000","135,676,000,000","124,308,000,000","105,408,000,000","90,114,000,000","80,685,000,000","72,886,000,000","60,454,000,000","52,758,000,000","41,562,000,000","29,166,958,000","20,178,182,000","17,289,138,000","13,039,847,000","9,001,071,000","2,693,465,000","560,234,000","231,796,000",
		CashCashEquivalentsAndShortTermInvestments,"119,675,000,000","109,140,000,000","101,871,000,000","86,333,000,000","73,066,000,000","64,395,000,000","58,717,000,000","48,088,000,000","44,626,000,000","34,975,000,000","24,484,775,000","15,845,771,000","14,218,613,000","11,243,914,000","8,034,247,000","2,132,297,000","334,718,000","146,331,000",
			CashAndCashEquivalents,"18,498,000,000","16,701,000,000","10,715,000,000","12,918,000,000","16,549,000,000","18,347,000,000","18,898,000,000","14,778,000,000","9,983,000,000","13,630,000,000","10,197,588,000","8,656,672,000","6,081,593,000","3,544,671,000","3,877,174,000","426,873,000","148,995,000","57,752,000",
			OtherShortTermInvestments,"101,177,000,000","92,439,000,000","91,156,000,000","73,415,000,000","56,517,000,000","46,048,000,000","39,819,000,000","33,310,000,000","34,643,000,000","21,345,000,000","14,287,187,000","7,189,099,000","8,137,020,000","7,699,243,000","4,157,073,000","1,705,424,000","185,723,000","88,579,000",
			CashCashEquivalentsAndShortTermInvestments,"119,675,000,000","109,140,000,000","101,871,000,000","86,333,000,000","73,066,000,000","64,395,000,000","58,717,000,000","48,088,000,000","44,626,000,000","34,975,000,000","24,484,775,000","15,845,771,000","14,218,613,000","11,243,914,000","8,034,247,000","2,132,297,000","334,718,000","146,331,000",
		AccountsReceivable,"25,326,000,000","20,838,000,000","18,336,000,000","14,137,000,000","11,556,000,000","9,383,000,000","8,882,000,000","7,885,000,000","5,427,000,000","4,252,000,000","3,178,471,000","2,642,192,000","2,162,521,000","1,322,340,000","687,976,000","311,836,000","154,690,000","61,994,000",
		Inventory,"999,000,000","1,107,000,000","749,000,000","268,000,000",,,"426,000,000","505,000,000",,,,,,,,,,,
		OtherCurrentAssets,"4,412,000,000","4,236,000,000","2,983,000,000",,,,,,,,,,,,,,,,
		CurrentAssets,"152,578,000,000","135,676,000,000","124,308,000,000","105,408,000,000","90,114,000,000","80,685,000,000","72,886,000,000","60,454,000,000","52,758,000,000","41,562,000,000","29,166,958,000","20,178,182,000","17,289,138,000","13,039,847,000","9,001,071,000","2,693,465,000","560,234,000","231,796,000",
	TotalNonCurrentAssets,"123,331,000,000","97,116,000,000","72,987,000,000","62,089,000,000","57,347,000,000","50,448,000,000","38,034,000,000","33,344,000,000","19,816,000,000","16,289,000,000","11,329,820,000","11,589,393,000","8,046,668,000","5,433,504,000","1,270,742,000","619,886,000","311,224,000","55,096,000",
		NetPPE,"84,587,000,000","59,719,000,000","42,383,000,000","34,234,000,000","29,016,000,000","23,883,000,000","16,524,000,000","11,854,000,000","9,603,000,000","7,759,000,000","4,844,610,000","5,233,843,000","4,039,261,000","2,395,239,000","961,749,000","378,916,000","188,255,000","53,873,000",
			GrossPPE,"115,148,000,000","82,507,000,000","59,647,000,000","47,527,000,000","40,146,000,000","32,746,000,000","23,837,000,000","17,697,000,000","14,400,000,000","11,771,000,000","8,130,134,000","7,576,341,000","5,519,912,000","3,289,594,000","1,417,425,000","583,068,000","261,837,000","86,886,000",
