name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"55,337,000,000","54,520,000,000","47,971,000,000","37,091,000,000","36,036,000,000","26,024,000,000","22,376,000,000","18,659,000,000","16,619,000,000","14,565,000,000","11,081,000,000","9,316,198,000","7,852,857,000","5,775,410,000","3,580,508,000","2,459,422,000","977,044,000","395,445,000","155,265,000",,
	NetIncome,"31,534,000,000","34,343,000,000","30,736,000,000","12,662,000,000","19,478,000,000","16,348,000,000","14,444,000,000","12,920,000,000","10,737,000,000","9,737,000,000","8,505,000,000","6,520,448,000","4,226,858,000","4,203,720,000","3,077,446,000","1,465,397,000","399,119,000","105,648,000","99,656,000","6,985,000","-14,690,000"
	DepreciationAndAmortization,"12,827,000,000","11,781,000,000","9,035,000,000","6,915,000,000","6,144,000,000","5,063,000,000","4,979,000,000","3,939,000,000","2,962,000,000","1,851,000,000","1,396,000,000","1,524,308,000","1,499,887,000","967,658,000","571,939,000","293,812,000","148,473,000","55,049,000","28,983,000",,
	DeferredIncomeTax,"-863,000,000","173,000,000","778,000,000","258,000,000","-38,000,000","-179,000,000","-104,000,000","-437,000,000","-266,000,000","343,000,000","9,000,000","-268,060,000","-224,645,000","-164,212,000",,,,,,,
	StockBasedCompensation,"11,842,000,000","10,794,000,000","9,353,000,000","7,679,000,000","6,703,000,000","5,203,000,000","4,279,000,000","3,343,000,000","2,692,000,000","1,974,000,000","1,376,000,000","1,164,054,000","1,119,766,000","868,646,000",,,,,,,
	ChangeInWorkingCapital,"-168,000,000","819,000,000","4,908,000,000","9,246,000,000","3,300,000,000","-409,000,000","364,000,000","-31,000,000","898,000,000","630,000,000","-99,000,000","485,987,000","327,232,000","318,545,000","42,281,000","43,740,000","-253,207,000","-6,231,000","4,991,000",,
	ChangesInAccountReceivables,"-1,844,000,000","-4,340,000,000","-2,169,000,000","-3,768,000,000","-2,578,000,000","-2,094,000,000","-1,641,000,000","-1,307,000,000","-787,000,000","-1,156,000,000","-1,129,000,000","-504,039,000","-334,464,000","-837,247,000",,,,,,,
	ChangeInInventory,,,,,,,,"-234,000,000","301,000,000",,,,,,,,,,,,
	ChangeInAccountPayable,"182,000,000","428,000,000","1,067,000,000","731,000,000","110,000,000","203,000,000","436,000,000","605,000,000","-499,000,000","101,000,000","272,000,000","33,642,000","-211,539,000","70,135,000",,,,,,,
	FreeCashFlow,"31,157,000,000","30,972,000,000","22,832,000,000","23,907,000,000","25,824,000,000","16,109,000,000","11,417,000,000","11,301,000,000","13,346,000,000","11,127,000,000","7,063,000,000","8,506,310,000","5,494,396,000","3,372,570,000","1,677,710,000","1,621,205,000","658,049,000","218,644,000","118,067,000",,
	OtherNonCashItems,"125,000,000","-592,000,000","-189,000,000","137,000,000","174,000,000","212,000,000","87,000,000","106,000,000","-28,000,000","6,000,000","8,493,000,000","-20,268,000","-31,910,000","-39,741,000","-123,632,000",,,,,,
	OperatingCashFlow,"55,337,000,000","54,520,000,000","47,971,000,000","37,091,000,000","36,036,000,000","26,024,000,000","22,376,000,000","18,659,000,000","16,619,000,000","14,565,000,000","11,081,000,000","9,316,198,000","7,852,857,000","5,775,410,000","3,580,508,000","2,459,422,000","977,044,000","395,445,000","155,265,000",,
