name,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
TotalAssets,"33,467,000,000","34,622,000,000","32,913,000,000","29,010,000,000","106,882,000,000","103,206,000,000","105,676,000,000","108,768,000,000","129,517,000,000","124,503,000,000","114,799,000,000","113,331,000,000","88,699,000,000","81,981,000,000","77,317,000,000","76,138,000,000","74,708,000,000","70,710,000,000","32,584,000,000","34,009,000,000","35,297,000,000","33,673,000,000","31,749,000,000","27,699,000,000","24,427,000,000","19,567,000,000","16,736,000,000","13,700,000,000","11,973,000,000","11,395,000,000","10,075,000,000","7,497,000,000","8,133,000,000","6,287,000,000","5,680,000,000"
	CurrentAssets,"20,177,000,000","21,387,000,000","22,318,000,000","18,468,000,000","51,787,000,000","50,145,000,000","50,364,000,000","50,637,000,000","51,021,000,000","54,184,000,000","52,539,000,000","51,728,000,000","47,402,000,000","48,264,000,000","43,334,000,000","42,901,000,000","40,996,000,000","36,075,000,000","21,305,000,000","23,244,000,000","21,642,000,000","21,584,000,000","20,947,000,000","17,991,000,000","16,239,000,000","12,509,000,000","10,236,000,000","7,679,000,000","6,716,000,000","6,510,000,000","5,731,000,000","4,420,000,000","5,490,000,000","3,814,000,000","3,342,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,537,000,000","5,877,000,000","8,146,000,000","6,288,000,000","17,433,000,000","15,133,000,000","12,163,000,000","11,301,000,000","8,043,000,000","10,934,000,000","13,334,000,000","10,246,000,000","11,445,000,000","16,422,000,000","13,929,000,000","12,974,000,000","14,591,000,000","11,429,000,000","4,336,000,000","4,007,000,000","5,590,000,000","4,067,000,000","4,569,000,000","3,327,000,000","2,616,000,000","2,478,000,000","889,000,000","641,000,000","625,000,000","1,077,000,000","906,000,000","918,000,000","2,645,000,000","1,372,000,000","1,020,000,000"
			CashAndCashEquivalents,"4,537,000,000","5,166,000,000","6,997,000,000","6,288,000,000","17,433,000,000","15,133,000,000","12,163,000,000","11,301,000,000","8,043,000,000","10,929,000,000","13,279,000,000","10,153,000,000","11,293,000,000","16,400,000,000","13,911,000,000","12,663,000,000","14,188,000,000","11,192,000,000","4,197,000,000","3,415,000,000","5,411,000,000","4,046,000,000","3,072,000,000","2,885,000,000","1,973,000,000","1,357,000,000","889,000,000","641,000,000","625,000,000","1,077,000,000","906,000,000","918,000,000","2,645,000,000","1,372,000,000","1,020,000,000"
			OtherShortTermInvestments,"0","711,000,000","1,149,000,000",,,,,,,"5,000,000","55,000,000","93,000,000","152,000,000","22,000,000","18,000,000","311,000,000","403,000,000","237,000,000","139,000,000","592,000,000","179,000,000","21,000,000","1,497,000,000","442,000,000","643,000,000","1,121,000,000",,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"4,537,000,000","5,877,000,000","8,146,000,000","6,288,000,000","17,433,000,000","15,133,000,000","12,163,000,000","11,301,000,000","8,043,000,000","10,934,000,000","13,334,000,000","10,246,000,000","11,445,000,000","16,422,000,000","13,929,000,000","12,974,000,000","14,591,000,000","11,429,000,000","4,336,000,000","4,007,000,000","5,590,000,000","4,067,000,000","4,569,000,000","3,327,000,000","2,616,000,000","2,478,000,000","889,000,000","641,000,000","625,000,000","1,077,000,000","906,000,000","918,000,000","2,645,000,000","1,372,000,000","1,020,000,000"
		AccountsReceivable,"6,031,000,000","5,113,000,000","4,414,000,000","4,114,000,000","13,363,000,000","13,832,000,000","15,876,000,000","16,407,000,000","18,224,000,000","18,481,000,000","16,537,000,000","16,928,000,000","13,420,000,000","10,873,000,000","9,903,000,000","10,226,000,000","8,921,000,000","8,456,000,000","4,488,000,000","6,394,000,000","5,958,000,000","6,232,000,000","8,173,000,000","7,126,000,000","6,735,000,000","5,028,000,000",,,,,,,,,
		Inventory,"5,734,000,000","6,062,000,000","5,786,000,000","4,484,000,000","6,485,000,000","6,415,000,000","6,046,000,000","6,317,000,000","7,490,000,000","6,466,000,000","6,128,000,000","7,879,000,000","8,033,000,000","7,750,000,000","6,877,000,000","7,071,000,000","6,065,000,000","5,797,000,000","5,204,000,000","5,699,000,000","4,863,000,000","6,184,000,000","6,763,000,000","6,401,000,000","6,013,000,000","4,273,000,000","3,691,000,000","2,605,000,000","2,273,000,000","2,092,000,000","1,947,000,000","1,478,000,000","1,117,000,000","981,000,000","993,000,000"
		OtherCurrentAssets,"3,875,000,000","5,046,000,000","5,121,000,000","3,582,000,000",,"11,819,000,000","13,135,000,000","13,360,000,000","14,102,000,000","15,317,000,000","6,089,000,000",,,,,"1,102,000,000","8,454,000,000","6,940,000,000","5,094,000,000","4,970,000,000","3,342,000,000","3,581,000,000","1,442,000,000","1,137,000,000","875,000,000","730,000,000","1,448,000,000","936,000,000","842,000,000","458,000,000","384,000,000","164,000,000","167,000,000","117,000,000","80,000,000"
		CurrentAssets,"20,177,000,000","21,387,000,000","22,318,000,000","18,468,000,000","51,787,000,000","50,145,000,000","50,364,000,000","50,637,000,000","51,021,000,000","54,184,000,000","52,539,000,000","51,728,000,000","47,402,000,000","48,264,000,000","43,334,000,000","42,901,000,000","40,996,000,000","36,075,000,000","21,305,000,000","23,244,000,000","21,642,000,000","21,584,000,000","20,947,000,000","17,991,000,000","16,239,000,000","12,509,000,000","10,236,000,000","7,679,000,000","6,716,000,000","6,510,000,000","5,731,000,000","4,420,000,000","5,490,000,000","3,814,000,000","3,342,000,000"
	TotalNonCurrentAssets,"13,290,000,000","13,235,000,000","10,595,000,000","10,542,000,000","55,095,000,000","53,061,000,000","55,312,000,000","58,131,000,000","78,496,000,000","70,319,000,000","62,260,000,000","61,603,000,000","41,297,000,000","33,717,000,000","33,983,000,000","33,237,000,000","33,712,000,000","34,635,000,000","11,279,000,000","10,765,000,000","13,655,000,000","12,089,000,000","10,802,000,000","9,708,000,000","8,188,000,000","7,058,000,000","6,500,000,000","6,021,000,000","5,257,000,000","4,885,000,000","4,344,000,000","3,077,000,000","2,643,000,000","2,473,000,000","2,338,000,000"
		NetPPE,"2,794,000,000","2,198,000,000","1,878,000,000","1,736,000,000","11,090,000,000","11,340,000,000","11,463,000,000","11,954,000,000","12,292,000,000","11,763,000,000","11,262,000,000","10,838,000,000","7,798,000,000","6,863,000,000","6,451,000,000","6,649,000,000","6,482,000,000","6,924,000,000","4,397,000,000","4,500,000,000","4,333,000,000","6,358,000,000","6,312,000,000","5,536,000,000","4,711,000,000","4,328,000,000","4,180,000,000","3,649,000,000","3,345,000,000","3,201,000,000","2,893,000,000","2,516,000,000","2,328,000,000","2,236,000,000","2,149,000,000"
