name,ttm,10/31/2019,10/31/2018,10/31/2017,10/31/2016,10/31/2015,10/31/2014,10/31/2013,10/31/2012,10/31/2011,10/31/2010,10/31/2009,10/31/2008,10/31/2007,10/31/2006,10/31/2005,10/31/2004,10/31/2003,10/31/2002,10/31/2001,10/31/2000,10/31/1999,10/31/1998,10/31/1997,10/31/1996,10/31/1995,10/31/1994,10/31/1993,10/31/1992,10/31/1991,10/31/1990,10/31/1989,10/31/1988,10/31/1987,10/31/1986,10/31/1985
OperatingCashFlow,"3,706,000,000","4,654,000,000","4,528,000,000","3,677,000,000","3,230,000,000","6,490,000,000","12,333,000,000","11,608,000,000","10,571,000,000","12,639,000,000","11,922,000,000","13,379,000,000","14,591,000,000","9,615,000,000","11,353,000,000","8,028,000,000","5,088,000,000","6,057,000,000","5,444,000,000","2,561,000,000","4,425,000,000","3,034,000,000","5,442,000,000","4,321,000,000","3,456,000,000","1,613,000,000","2,224,000,000","1,142,000,000","1,288,000,000","1,552,000,000","799,000,000","496,000,000",,,,
	NetIncome,"3,009,000,000","3,152,000,000","5,327,000,000","2,526,000,000","2,496,000,000","4,554,000,000","5,013,000,000","5,113,000,000","-12,650,000,000","7,074,000,000","8,761,000,000","7,660,000,000","8,329,000,000","7,264,000,000","6,198,000,000","2,398,000,000","3,497,000,000","2,539,000,000","-903,000,000","408,000,000","3,697,000,000","3,491,000,000","2,945,000,000","3,119,000,000","2,586,000,000","2,433,000,000","1,599,000,000","1,177,000,000","549,000,000","755,000,000","739,000,000","829,000,000","816,000,000","644,000,000","516,000,000","489,000,000"
	DepreciationAndAmortization,"791,000,000","744,000,000","528,000,000","354,000,000","332,000,000","4,061,000,000","4,334,000,000","4,611,000,000","5,095,000,000","4,984,000,000","4,820,000,000","4,773,000,000","3,356,000,000","2,705,000,000","2,353,000,000","2,344,000,000","2,395,000,000","2,527,000,000","2,119,000,000","1,369,000,000","1,368,000,000","1,316,000,000","1,869,000,000","1,556,000,000","1,297,000,000","1,139,000,000","1,006,000,000","846,000,000","673,000,000","624,000,000","566,000,000","462,000,000",,,,
	DeferredIncomeTax,"129,000,000","133,000,000","-3,653,000,000","238,000,000","401,000,000","-700,000,000","-34,000,000","-410,000,000","-711,000,000","166,000,000","197,000,000","379,000,000","1,035,000,000","415,000,000","693,000,000","-162,000,000","26,000,000","-279,000,000","-351,000,000","-970,000,000","-689,000,000","-171,000,000","-1,263,000,000","-232,000,000","-284,000,000","-102,000,000","-156,000,000","-137,000,000","-35,000,000","-41,000,000","78,000,000","-6,000,000",,,,
	StockBasedCompensation,"296,000,000","297,000,000","268,000,000","224,000,000","182,000,000","709,000,000","560,000,000","500,000,000","635,000,000","685,000,000","668,000,000","635,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-1,336,000,000","-201,000,000","1,607,000,000","-161,000,000","-337,000,000","-4,413,000,000","552,000,000","27,000,000","-2,771,000,000","-1,889,000,000","-3,888,000,000","-1,065,000,000","785,000,000","-1,286,000,000","1,350,000,000","1,584,000,000","-1,589,000,000","-445,000,000","402,000,000","580,000,000","-720,000,000","-1,366,000,000","1,549,000,000","-323,000,000","-49,000,000","-1,637,000,000","-282,000,000","-744,000,000","-231,000,000","214,000,000","-584,000,000","-789,000,000",,,,
	ChangesInAccountReceivables,"198,000,000","-761,000,000","-491,000,000","-453,000,000","565,000,000","507,000,000","2,437,000,000","1,014,000,000","1,269,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,"-1,075,000,000","-68,000,000","-136,000,000","-1,346,000,000","-291,000,000","-330,000,000","-580,000,000","-4,000,000","890,000,000","-1,252,000,000","-270,000,000","1,532,000,000","89,000,000","-633,000,000","-1,109,000,000","-208,000,000","-1,341,000,000","-638,000,000","765,000,000","1,096,000,000","-845,000,000","-171,000,000","563,000,000","-279,000,000","-356,000,000","-1,740,000,000","-582,000,000","-1,056,000,000","-267,000,000","-181,000,000","-145,000,000","-324,000,000",,,,
	ChangeInAccountPayable,"392,000,000","-53,000,000","1,429,000,000","2,161,000,000","928,000,000","31,000,000","1,912,000,000","541,000,000","-1,414,000,000","275,000,000","-698,000,000","-153,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"2,991,000,000","3,983,000,000","3,982,000,000","3,275,000,000","2,797,000,000","2,887,000,000","8,480,000,000","8,409,000,000","6,865,000,000","8,100,000,000","7,789,000,000","9,684,000,000","11,601,000,000","6,575,000,000","8,817,000,000","6,033,000,000","2,962,000,000","4,062,000,000","3,734,000,000","1,034,000,000","2,688,000,000","1,900,000,000","3,445,000,000","1,983,000,000","1,255,000,000","12,000,000","967,000,000","-263,000,000","256,000,000","690,000,000","-156,000,000","-361,000,000",,,,
