name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"75,498,000,000","77,147,000,000","79,590,000,000","79,139,000,000","79,920,000,000","81,742,000,000","92,793,000,000","99,751,000,000","104,507,000,000","106,916,000,000","99,870,000,000","95,758,000,000","103,630,000,000","98,786,000,000","91,424,000,000","91,134,000,000","96,293,000,000","89,131,000,000","81,186,000,000","85,866,000,000","88,396,000,000","87,548,000,000","79,075,000,000","78,508,000,000","74,323,000,000","71,940,000,000","64,052,000,000","62,716,000,000","64,523,000,000","64,792,000,000","69,018,000,000","62,710,000,000","59,681,000,000","54,217,000,000","51,250,000,000","50,056,000,000"
CostOfRevenue,"39,440,000,000","40,659,000,000","42,655,000,000","42,913,000,000","41,625,000,000","41,057,000,000","46,386,000,000","51,246,000,000","54,209,000,000","56,778,000,000","53,857,000,000","51,973,000,000","57,969,000,000","57,057,000,000","53,129,000,000","54,602,000,000","60,261,000,000","56,113,000,000","50,902,000,000","54,084,000,000","55,972,000,000","55,619,000,000","50,795,000,000","47,899,000,000","43,784,000,000","41,573,000,000","38,768,000,000","33,858,000,000","28,810,000,000","27,324,000,000","26,506,000,000","23,461,000,000","21,777,000,000","21,083,000,000","19,390,000,000","18,209,000,000"
GrossProfit,"36,057,000,000","36,488,000,000","36,936,000,000","36,227,000,000","38,294,000,000","40,684,000,000","46,407,000,000","48,505,000,000","50,298,000,000","50,138,000,000","46,014,000,000","43,785,000,000","45,661,000,000","41,729,000,000","38,295,000,000","36,532,000,000","36,032,000,000","33,018,000,000","30,284,000,000","31,782,000,000","32,424,000,000","31,929,000,000","28,280,000,000","30,609,000,000","30,539,000,000","30,367,000,000","25,284,000,000","28,858,000,000","35,713,000,000","37,468,000,000","42,512,000,000","39,249,000,000","37,904,000,000","33,134,000,000","31,860,000,000","31,847,000,000"
OperatingExpense,"27,284,000,000","25,857,000,000","23,651,000,000","24,372,000,000","25,102,000,000","24,763,000,000","27,541,000,000","28,749,000,000","28,730,000,000","29,852,000,000","27,864,000,000","26,773,000,000","29,723,000,000","28,213,000,000","26,366,000,000","27,156,000,000","25,057,000,000","22,929,000,000","23,488,000,000","22,487,000,000","20,790,000,000","20,002,000,000","21,708,000,000","21,511,000,000","21,943,000,000","22,776,000,000","20,279,000,000","37,495,000,000","32,307,000,000","36,526,000,000","31,480,000,000","32,356,000,000","29,158,000,000","25,392,000,000","24,001,000,000","20,617,000,000"
	ResearchAndDevelopment,"6,356,000,000","5,989,000,000","5,379,000,000","5,787,000,000","5,751,000,000","5,247,000,000","5,437,000,000","6,226,000,000","6,302,000,000","6,258,000,000","6,026,000,000","5,820,000,000","6,337,000,000","6,153,000,000","6,107,000,000","5,842,000,000","5,673,000,000","5,077,000,000","4,750,000,000","5,290,000,000","5,151,000,000","5,273,000,000","5,046,000,000","4,877,000,000","5,089,000,000","6,010,000,000","4,363,000,000",,,,,,,,,
	SellingGeneralAndAdministration,"20,345,000,000","19,754,000,000","18,863,000,000","19,555,000,000","20,479,000,000","19,894,000,000","22,472,000,000","22,975,000,000","23,174,000,000","23,217,000,000","21,545,000,000","20,521,000,000","23,386,000,000","22,060,000,000","20,259,000,000","21,314,000,000","19,384,000,000","17,852,000,000","18,738,000,000","17,197,000,000","15,639,000,000","14,729,000,000","16,662,000,000","16,634,000,000","16,854,000,000","16,766,000,000","15,916,000,000","32,785,000,000","26,048,000,000","31,376,000,000","27,263,000,000","28,116,000,000","25,287,000,000","21,865,000,000","20,685,000,000","17,723,000,000"
	OperatingExpense,"27,284,000,000","25,857,000,000","23,651,000,000","24,372,000,000","25,102,000,000","24,763,000,000","27,541,000,000","28,749,000,000","28,730,000,000","29,852,000,000","27,864,000,000","26,773,000,000","29,723,000,000","28,213,000,000","26,366,000,000","27,156,000,000","25,057,000,000","22,929,000,000","23,488,000,000","22,487,000,000","20,790,000,000","20,002,000,000","21,708,000,000","21,511,000,000","21,943,000,000","22,776,000,000","20,279,000,000","37,495,000,000","32,307,000,000","36,526,000,000","31,480,000,000","32,356,000,000","29,158,000,000","25,392,000,000","24,001,000,000","20,617,000,000"
OperatingIncome,"8,773,000,000","10,631,000,000","13,285,000,000","11,855,000,000","13,192,000,000","15,921,000,000","18,866,000,000","19,756,000,000","21,568,000,000","20,286,000,000","18,149,000,000","17,012,000,000","15,938,000,000","13,516,000,000","11,929,000,000","9,376,000,000","10,975,000,000","10,089,000,000","6,796,000,000","9,295,000,000","11,634,000,000","11,927,000,000","6,572,000,000","9,098,000,000","8,596,000,000","7,591,000,000","5,005,000,000","-8,637,000,000","3,406,000,000","942,000,000","11,032,000,000","6,893,000,000","8,746,000,000","7,742,000,000","7,859,000,000","11,230,000,000"
InterestExpense,"1,435,000,000","1,344,000,000","723,000,000","615,000,000","630,000,000","468,000,000","484,000,000","402,000,000","459,000,000","411,000,000","368,000,000","402,000,000","673,000,000","611,000,000","278,000,000","220,000,000","139,000,000",,,,"717,000,000","727,000,000","713,000,000","728,000,000","716,000,000","725,000,000","1,227,000,000",,,,,,,,,
OtherIncomeExpense,"-489,000,000","529,000,000","-1,482,000,000","17,000,000","-339,000,000","421,000,000","1,515,000,000","98,000,000","684,000,000","992,000,000","1,849,000,000","1,434,000,000","1,450,000,000","1,584,000,000","1,666,000,000","3,070,000,000","1,192,000,000","930,000,000","873,000,000","1,896,000,000","617,000,000","557,000,000","2,592,000,000",,,,,"1,113,000,000","-11,072,000,000","602,000,000","495,000,000","728,000,000","996,000,000","1,352,000,000","1,005,000,000","832,000,000"
