name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"78,955,000,000","71,965,000,000","70,848,000,000","62,761,000,000","59,387,000,000","55,355,000,000","55,870,000,000","52,708,000,000","53,341,000,000","53,999,000,000","43,623,000,000","35,127,000,000","37,586,000,000","38,334,000,000","35,382,000,000","38,826,000,000","34,209,000,000","30,141,000,000","26,764,000,000","26,539,000,000","33,726,000,000","29,389,000,000","26,273,000,000","25,070,000,000","20,847,000,000","16,202,000,000","11,521,000,000","8,782,000,000","5,844,000,000","4,778,600,000","3,921,300,000","3,126,800,000","2,874,800,000","1,907,100,000","1,265,000,000","1,365,000,000"
CostOfRevenue,"33,259,000,000","29,825,000,000","27,111,000,000","23,692,000,000","23,196,000,000","20,676,000,000","20,261,000,000","21,187,000,000","20,190,000,000","20,242,000,000","15,132,000,000","15,566,000,000","16,742,000,000","18,430,000,000","17,164,000,000","15,777,000,000","14,463,000,000","13,047,000,000","13,446,000,000","13,487,000,000","12,650,000,000","11,836,000,000","12,144,000,000","9,945,000,000","9,164,000,000","7,811,000,000","5,576,000,000","2,535,000,000","2,039,800,000","1,897,300,000","1,637,900,000","1,483,800,000","1,295,000,000","872,100,000","687,200,000","777,200,000"
GrossProfit,"45,696,000,000","42,140,000,000","43,737,000,000","39,069,000,000","36,191,000,000","34,679,000,000","35,609,000,000","31,521,000,000","33,151,000,000","33,757,000,000","28,491,000,000","19,561,000,000","20,844,000,000","19,904,000,000","18,218,000,000","23,049,000,000","19,746,000,000","17,094,000,000","13,318,000,000","13,052,000,000","21,076,000,000","17,553,000,000","14,129,000,000","15,125,000,000","11,683,000,000","8,391,000,000","5,945,000,000","6,247,000,000","3,804,200,000","2,881,300,000","2,283,400,000","1,643,000,000","1,579,800,000","1,035,000,000","577,800,000","587,800,000"
OperatingExpense,"19,337,000,000","19,712,000,000","20,493,000,000","20,749,000,000","21,431,000,000","20,323,000,000","19,967,000,000","18,990,000,000","18,513,000,000","16,280,000,000","12,903,000,000","13,619,000,000","11,180,000,000","11,399,000,000","12,011,000,000","10,959,000,000","9,616,000,000","9,556,000,000","8,916,000,000","10,598,000,000","10,572,000,000","7,394,000,000","5,585,000,000","5,238,000,000","4,130,000,000","3,139,000,000","2,558,000,000","2,855,000,000","2,314,100,000","1,801,400,000","1,425,100,000","1,085,700,000","985,400,000","789,100,000","713,100,000","648,000,000"
	ResearchAndDevelopment,"13,221,000,000","13,362,000,000","13,543,000,000","13,098,000,000","12,740,000,000","12,128,000,000","11,537,000,000","10,611,000,000","10,148,000,000","8,350,000,000","6,576,000,000","5,653,000,000","5,722,000,000","5,755,000,000","5,873,000,000","5,145,000,000","4,778,000,000","4,360,000,000","4,034,000,000","3,796,000,000","3,897,000,000","3,111,000,000","2,509,000,000","2,347,000,000","1,808,000,000","1,296,000,000","1,111,000,000",,,,,,,,,
	SellingGeneralAndAdministration,"5,916,000,000","6,150,000,000","6,750,000,000","7,474,000,000","8,397,000,000","7,930,000,000","8,136,000,000","8,088,000,000","8,057,000,000","7,670,000,000","6,309,000,000","7,931,000,000","5,458,000,000","5,401,000,000","6,096,000,000","5,688,000,000","4,659,000,000","4,278,000,000","4,334,000,000","4,464,000,000","5,089,000,000","3,872,000,000","3,076,000,000","2,891,000,000","2,322,000,000","1,843,000,000","1,447,000,000","2,138,000,000","1,796,500,000","1,383,100,000","1,132,700,000","848,500,000","774,500,000","617,700,000","539,600,000","481,700,000"
	OperatingExpense,"19,337,000,000","19,712,000,000","20,493,000,000","20,749,000,000","21,431,000,000","20,323,000,000","19,967,000,000","18,990,000,000","18,513,000,000","16,280,000,000","12,903,000,000","13,619,000,000","11,180,000,000","11,399,000,000","12,011,000,000","10,959,000,000","9,616,000,000","9,556,000,000","8,916,000,000","10,598,000,000","10,572,000,000","7,394,000,000","5,585,000,000","5,238,000,000","4,130,000,000","3,139,000,000","2,558,000,000","2,855,000,000","2,314,100,000","1,801,400,000","1,425,100,000","1,085,700,000","985,400,000","789,100,000","713,100,000","648,000,000"
OperatingIncome,"26,359,000,000","22,428,000,000","23,244,000,000","18,320,000,000","14,760,000,000","14,356,000,000","15,642,000,000","12,531,000,000","14,638,000,000","17,477,000,000","15,588,000,000","5,942,000,000","9,664,000,000","8,505,000,000","6,207,000,000","12,090,000,000","10,130,000,000","7,538,000,000","4,402,000,000","2,454,000,000","10,504,000,000","10,159,000,000","8,544,000,000","9,887,000,000","7,553,000,000","5,252,000,000","3,387,000,000","3,392,000,000","1,490,100,000","1,079,900,000","858,300,000","557,300,000","594,400,000","245,900,000","-135,300,000","-60,200,000"
InterestExpense,"537,000,000","489,000,000","468,000,000","646,000,000","733,000,000","337,000,000","192,000,000","244,000,000","90,000,000","41,000,000","0","1,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"1,115,000,000","1,636,000,000","103,000,000","2,237,000,000","-1,313,000,000","69,000,000","210,000,000","220,000,000","228,000,000","247,000,000","338,000,000","-405,000,000","-2,562,000,000","-355,000,000","249,000,000","-38,000,000","36,000,000","-899,000,000","-412,000,000","-830,000,000","3,752,000,000","487,000,000","-165,000,000",,,,,"188,000,000","133,200,000","196,500,000","227,300,000","121,800,000","34,700,000","104,900,000","-39,400,000","74,100,000"
PretaxIncome,"27,336,000,000","24,058,000,000","23,317,000,000","20,352,000,000","12,936,000,000","14,212,000,000","15,801,000,000","12,611,000,000","14,873,000,000","17,781,000,000","16,045,000,000","5,704,000,000","7,686,000,000","9,166,000,000","7,068,000,000","12,610,000,000","10,417,000,000","7,442,000,000","4,204,000,000","2,183,000,000","15,141,000,000","11,228,000,000","9,137,000,000","10,659,000,000","7,934,000,000","5,638,000,000","3,603,000,000","3,530,000,000","1,568,500,000","1,194,600,000","986,300,000","583,000,000","629,000,000","287,800,000","-174,600,000","-5,400,000"
TaxProvision,"3,675,000,000","3,010,000,000","2,264,000,000","10,751,000,000","2,620,000,000","2,792,000,000","4,097,000,000","2,991,000,000","3,868,000,000","4,839,000,000","4,581,000,000","1,335,000,000","2,394,000,000","2,190,000,000","2,024,000,000","3,946,000,000","2,901,000,000","1,801,000,000","1,087,000,000","892,000,000","4,606,000,000","3,914,000,000","3,069,000,000","3,714,000,000","2,777,000,000","2,072,000,000","1,315,000,000","1,235,000,000","502,000,000","376,000,000","336,000,000","192,000,000","176,100,000","112,300,000","8,700,000","-7,000,000"
NetIncomeContinuousOperations,"23,661,000,000","21,048,000,000","21,053,000,000","9,601,000,000","10,316,000,000","11,420,000,000","11,704,000,000","9,620,000,000","11,005,000,000","12,942,000,000","11,464,000,000","4,369,000,000","5,292,000,000","6,976,000,000","5,044,000,000","8,664,000,000","7,516,000,000","5,641,000,000","3,117,000,000","1,291,000,000","10,535,000,000","7,314,000,000","6,068,000,000","6,945,000,000","5,157,000,000","3,566,000,000","2,288,000,000","2,295,000,000","1,066,500,000","818,600,000","650,300,000","391,000,000","452,900,000","175,500,000","-183,300,000","1,600,000"
NetIncome,"23,661,000,000","21,048,000,000","21,053,000,000","9,601,000,000","10,316,000,000","11,420,000,000","11,704,000,000","9,620,000,000","11,005,000,000","12,942,000,000","11,464,000,000","4,369,000,000","5,292,000,000","6,976,000,000","5,044,000,000","8,664,000,000","7,516,000,000","5,641,000,000","3,117,000,000","1,291,000,000","10,535,000,000","7,314,000,000","6,068,000,000","6,945,000,000","5,157,000,000","3,566,000,000","2,288,000,000","2,295,000,000","1,066,500,000","818,600,000","650,300,000","391,000,000","452,900,000","175,500,000","-183,300,000","1,600,000"
NetIncomeCommonStockholders,"23,661,000,000","21,048,000,000","21,053,000,000","9,601,000,000","10,316,000,000","11,420,000,000","11,704,000,000","9,620,000,000","11,005,000,000","12,942,000,000","11,464,000,000","4,369,000,000","5,292,000,000","6,976,000,000","5,044,000,000","8,664,000,000","7,516,000,000","5,641,000,000","3,117,000,000","1,291,000,000","10,535,000,000","7,314,000,000","6,068,000,000","6,945,000,000","5,157,000,000","3,566,000,000","2,288,000,000","2,295,000,000","1,066,500,000","818,600,000","650,300,000","391,000,000","452,900,000","175,500,000","-183,300,000","1,600,000"
BasicEPS,,"4.77","4.57","2.04","2.18","2.41","2.39","1.94","2.2","2.46","2.1","0.79","0.93","1.2","0.87","1.42","1.17","0.86","0.47","0.19","1.57","1.1","0.91","1.063","0.726","0.504","0.328","0.35","0.16","0.13","0.11","0.07","0.09","0.04","-0.04","0.01"
DilutedEPS,,"4.71","4.48","1.99","2.12","2.33","2.31","1.89","2.13","2.39","2.05","0.77","0.92","1.18","0.86","1.4","1.16","0.85","0.46","0.19","1.51","1.055","0.865","0.968","0.726","0.504","0.328","0.33","0.16","0.13","0.1","0.07","0.08","0.04","-0.04","0.01"
BasicAverageShares,,"4,417,000,000","4,611,000,000","4,701,000,000","4,730,000,000","4,742,000,000","4,901,000,000","4,970,000,000","4,996,000,000","5,256,000,000","5,555,000,000","5,557,000,000","5,663,000,000","5,816,000,000","5,797,000,000","6,106,000,000","6,400,000,000","6,527,000,000","6,651,000,000","6,716,000,000","6,709,000,000","6,648,000,000","6,672,000,000","6,540,000,000","7,104,000,000","7,072,000,000","6,986,259,542","6,557,142,857","6,665,625,000","6,296,923,077","5,911,818,182","5,585,714,286","5,032,222,222","4,387,500,000","4,582,500,000","5,568,960,000"
DilutedAverageShares,,"4,473,000,000","4,701,000,000","4,835,000,000","4,875,000,000","4,894,000,000","5,056,000,000","5,097,000,000","5,160,000,000","5,411,000,000","5,696,000,000","5,645,000,000","5,748,000,000","5,936,000,000","5,880,000,000","6,178,000,000","6,494,000,000","6,621,000,000","6,759,000,000","6,879,000,000","6,986,000,000","6,940,000,000","7,034,000,000","7,180,000,000","7,104,000,000","7,072,000,000","6,992,000,000","6,954,545,455","6,665,625,000","6,296,923,077","6,503,000,000","5,585,714,286","5,661,250,000","4,387,500,000","4,582,500,000","5,568,960,000"
Ebitda,,"35,373,000,000","32,870,000,000","29,127,000,000","21,459,000,000","23,260,000,000","24,542,000,000","20,887,000,000","22,485,000,000","23,886,000,000","20,683,000,000","10,757,000,000","12,310,000,000","13,303,000,000","11,119,000,000","16,685,000,000","15,019,000,000","12,608,000,000","9,746,000,000","8,923,000,000","15,339,000,000","13,756,000,000","11,351,000,000","12,079,000,000","9,441,000,000","6,631,000,000","4,434,000,000","4,109,000,000","2,007,700,000","1,498,200,000","1,150,700,000","794,500,000","805,300,000","417,300,000","38,200,000","106,100,000"
