name,ttm,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
OperatingCashFlow,"60,675,000,000","60,675,000,000","52,185,000,000","43,884,000,000","39,507,000,000","33,325,000,000","29,080,000,000","32,231,000,000","28,833,000,000","31,626,000,000","26,994,000,000","24,073,000,000","19,037,000,000","21,612,000,000","17,796,000,000","14,404,000,000","16,605,000,000","14,626,000,000","15,797,000,000","14,509,000,000","13,422,000,000","13,961,000,000","10,030,000,000","6,880,000,000","4,689,000,000","3,719,000,000","1,990,000,000","1,593,000,000","1,074,000,000","907,000,000","557,900,000","278,300,000","222,500,000",,,
	NetIncome,"44,281,000,000","44,281,000,000","39,240,000,000","16,571,000,000","21,204,000,000","16,798,000,000","12,193,000,000","22,074,000,000","21,863,000,000","16,978,000,000","23,150,000,000","18,760,000,000","14,569,000,000","17,681,000,000","14,065,000,000","12,599,000,000","12,254,000,000","8,168,000,000","9,993,000,000","7,829,000,000","7,346,000,000","9,421,000,000","7,785,000,000","4,490,000,000","3,454,000,000","2,195,000,000","1,453,000,000","1,146,000,000","953,000,000","708,100,000","462,700,000","279,200,000","170,500,000","123,900,000","71,900,000","39,300,000"
	DepreciationAndAmortization,"12,796,000,000","12,796,000,000","11,682,000,000","10,261,000,000","8,778,000,000","6,622,000,000","5,957,000,000","5,212,000,000","3,755,000,000","2,967,000,000","2,766,000,000","2,673,000,000","2,562,000,000","2,056,000,000","1,440,000,000","903,000,000","855,000,000","1,186,000,000","1,439,000,000","1,084,000,000","1,536,000,000","748,000,000","1,010,000,000","1,024,000,000","557,000,000","480,000,000","269,000,000","237,000,000","151,000,000","112,300,000","75,800,000","46,300,000","24,200,000",,,
	DeferredIncomeTax,"-3,620,000,000","-3,620,000,000","-3,534,000,000","13,040,000,000","-3,296,000,000","332,000,000","224,000,000","-331,000,000","-19,000,000","954,000,000","2,000,000","-220,000,000","762,000,000","935,000,000","421,000,000","219,000,000","-179,000,000","-1,479,000,000","336,000,000","-416,000,000","-420,000,000",,,,,,,,,,,,,,,
	StockBasedCompensation,"5,289,000,000","5,289,000,000","4,652,000,000","3,940,000,000","3,266,000,000","2,668,000,000","2,574,000,000","2,446,000,000","2,406,000,000","2,244,000,000","2,166,000,000","1,891,000,000","1,708,000,000","1,479,000,000",,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"2,148,000,000","2,148,000,000","937,000,000","2,284,000,000","69,363,000,000","54,996,000,000","46,585,000,000","44,949,000,000","42,878,000,000","35,930,000,000","-3,003,000,000","30,035,000,000","-178,000,000","-2,435,000,000","-961,000,000","-2,397,000,000","-1,092,000,000","1,963,000,000","2,273,000,000","1,992,000,000","298,000,000","-1,587,000,000","1,395,000,000","1,070,000,000","678,000,000","1,044,000,000","268,000,000","210,000,000","-30,000,000","86,600,000","19,300,000","-47,200,000","27,800,000",,,
	ChangesInAccountReceivables,"-2,577,000,000","-2,577,000,000","-2,812,000,000","-3,862,000,000","-925,000,000","-530,000,000","1,456,000,000","-1,120,000,000","-1,807,000,000","-1,156,000,000","-1,451,000,000","-2,238,000,000","2,215,000,000","-1,569,000,000",,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,"168,000,000","168,000,000","597,000,000","-465,000,000","50,000,000","600,000,000","-272,000,000","-161,000,000","-802,000,000","184,000,000","-561,000,000",,,,,,,,,,,,,,,,"15,000,000","23,000,000","-51,000,000","-40,000,000","8,100,000","-15,600,000","14,700,000",,,
	ChangeInAccountPayable,"3,018,000,000","3,018,000,000","232,000,000","1,148,000,000","81,000,000","88,000,000","-1,054,000,000","473,000,000","537,000,000","-31,000,000","58,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"45,234,000,000","45,234,000,000","38,260,000,000","32,252,000,000","31,378,000,000","24,982,000,000","23,136,000,000","26,746,000,000","24,576,000,000","29,321,000,000","24,639,000,000","22,096,000,000","15,918,000,000","18,430,000,000","15,532,000,000","12,826,000,000","15,793,000,000","13,517,000,000","14,906,000,000","13,739,000,000","12,319,000,000","13,082,000,000","9,447,000,000","6,224,000,000","4,190,000,000","3,225,000,000","1,495,000,000","1,315,000,000","838,000,000","590,400,000","293,500,000","120,200,000","133,100,000",,,
