name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalAssets,"1,934,087,000,000","1,690,304,000,000","1,633,748,000,000","1,468,978,000,000","1,296,902,000,000","1,352,944,000,000","1,306,410,000,000","1,447,878,000,000","1,368,401,000,000","1,634,297,000,000","1,760,986,000,000","1,810,767,000,000","1,802,490,000,000","1,575,597,000,000","1,160,703,000,000","1,132,492,000,000","1,010,031,000,000","1,085,519,000,000","1,156,716,000,000","1,068,568,000,000"
	CurrentAssets,"1,501,583,000,000","1,344,972,000,000","1,276,764,000,000","1,140,742,000,000","1,021,135,000,000","1,097,597,000,000","1,024,136,000,000","1,192,250,000,000","1,140,786,000,000","1,468,706,000,000","1,591,388,000,000","1,648,725,000,000","1,646,834,000,000","1,394,673,000,000","1,018,730,000,000","993,892,000,000","890,761,000,000","969,309,000,000","1,037,770,000,000","958,246,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,216,784,000,000","1,082,960,000,000","987,986,000,000","946,070,000,000","909,340,000,000","915,293,000,000","795,215,000,000","903,301,000,000","958,322,000,000","1,171,076,000,000","1,252,321,000,000","1,220,148,000,000","1,252,321,000,000","1,078,168,000,000","876,351,000,000","847,139,000,000","784,645,000,000","756,916,000,000","904,656,000,000","838,025,000,000"
			CashAndCashEquivalents,"890,402,000,000","844,550,000,000","744,555,000,000","662,763,000,000","570,448,000,000","534,706,000,000","474,297,000,000","478,761,000,000","462,021,000,000","812,870,000,000","886,995,000,000","756,201,000,000","899,251,000,000","962,197,000,000","812,064,000,000","792,728,000,000","767,270,000,000","748,600,000,000","863,116,000,000","785,992,000,000"
			OtherShortTermInvestments,"326,382,000,000","238,410,000,000","243,431,000,000","283,307,000,000","338,892,000,000","380,587,000,000","320,918,000,000","424,540,000,000","496,301,000,000","358,206,000,000","365,326,000,000","463,947,000,000","353,070,000,000","115,971,000,000","64,287,000,000","54,411,000,000","17,375,000,000","8,316,000,000","41,540,000,000","52,033,000,000"
			CashCashEquivalentsAndShortTermInvestments,"1,216,784,000,000","1,082,960,000,000","987,986,000,000","946,070,000,000","909,340,000,000","915,293,000,000","795,215,000,000","903,301,000,000","958,322,000,000","1,171,076,000,000","1,252,321,000,000","1,220,148,000,000","1,252,321,000,000","1,078,168,000,000","876,351,000,000","847,139,000,000","784,645,000,000","756,916,000,000","904,656,000,000","838,025,000,000"
		AccountsReceivable,"133,051,000,000","78,169,000,000","69,829,000,000","106,054,000,000","38,731,000,000","55,794,000,000","28,754,000,000","45,873,000,000",,,,"139,174,000,000",,"89,666,000,000",,,,,,
		Inventory,"88,994,000,000","135,470,000,000","141,795,000,000","39,129,000,000","40,433,000,000","76,897,000,000","160,801,000,000","178,722,000,000","78,446,000,000","92,712,000,000","124,673,000,000","144,752,000,000","104,842,000,000","88,609,000,000","30,835,000,000","49,759,000,000","30,955,000,000","104,525,000,000","43,869,000,000","22,560,000,000"
		OtherCurrentAssets,"62,754,000,000","48,373,000,000","66,320,000,000","49,157,000,000","26,034,000,000","34,016,000,000","21,729,000,000","32,661,000,000","43,896,000,000","41,609,000,000","47,325,000,000","100,497,000,000","103,852,000,000","102,599,000,000","43,548,000,000","26,337,000,000","21,757,000,000","33,088,000,000","15,169,000,000","13,850,000,000"
		CurrentAssets,"1,501,583,000,000","1,344,972,000,000","1,276,764,000,000","1,140,742,000,000","1,021,135,000,000","1,097,597,000,000","1,024,136,000,000","1,192,250,000,000","1,140,786,000,000","1,468,706,000,000","1,591,388,000,000","1,648,725,000,000","1,646,834,000,000","1,394,673,000,000","1,018,730,000,000","993,892,000,000","890,761,000,000","969,309,000,000","1,037,770,000,000","958,246,000,000"
