name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
OperatingCashFlow,"347,753,000,000","347,753,000,000","170,529,000,000","152,208,000,000","19,101,000,000","55,190,000,000","60,293,000,000","-23,114,000,000","-40,390,000,000","-94,955,000,000","78,103,000,000","160,337,000,000","287,800,000,000","332,378,000,000","274,634,000,000","46,382,000,000","116,572,000,000","120,072,000,000","-23,557,000,000","56,234,000,000","122,235,000,000"
	NetIncome,"258,641,000,000","258,641,000,000","194,009,000,000","139,590,000,000","102,574,000,000","16,505,000,000","41,843,000,000","-23,222,000,000","7,099,000,000","-43,204,000,000","77,621,000,000","228,635,000,000","279,089,000,000","257,342,000,000","174,290,000,000","98,378,000,000","87,416,000,000","33,194,000,000","67,267,000,000","106,445,000,000","96,603,000,000"
	DepreciationAndAmortization,"9,557,000,000","9,557,000,000","9,564,000,000","9,064,000,000","8,366,000,000","9,139,000,000","9,011,000,000","9,918,000,000","12,637,000,000","12,523,000,000","6,794,000,000","7,098,000,000","8,102,000,000","7,363,000,000","5,968,000,000","3,591,000,000","2,931,000,000","3,328,000,000","4,712,000,000","5,639,000,000","4,537,000,000"
	ChangeInWorkingCapital,"18,844,000,000","18,844,000,000","-51,864,000,000","-49,493,000,000","-17,151,000,000","27,532,000,000","71,547,000,000","-487,000,000","-62,788,000,000","-12,207,000,000","-33,833,000,000","-32,457,000,000","-56,979,000,000","-61,529,000,000","74,130,000,000","2,015,000,000","50,172,000,000","53,348,000,000","-65,633,000,000","-34,542,000,000","47,909,000,000"
	ChangeInInventory,"43,230,000,000","43,230,000,000","8,484,000,000","-107,454,000,000","-155,000,000","34,501,000,000","88,204,000,000","35,529,000,000","-83,608,000,000","9,811,000,000","20,109,000,000","13,380,000,000","-57,623,000,000","-24,519,000,000","-54,669,000,000","21,554,000,000","-17,735,000,000","70,805,000,000","-58,671,000,000","-21,309,000,000","9,701,000,000"
	FreeCashFlow,"337,910,000,000","337,910,000,000","159,792,000,000","142,599,000,000","8,643,000,000","50,520,000,000","55,711,000,000","-42,654,000,000","-46,178,000,000","-114,934,000,000","67,163,000,000","143,210,000,000","264,844,000,000","324,386,000,000","268,490,000,000","42,243,000,000","114,511,000,000","118,163,000,000","-25,695,000,000","43,138,000,000","111,399,000,000"
	OtherNonCashItems,"61,513,000,000","61,513,000,000","17,569,000,000","22,650,000,000","9,231,000,000","-5,794,000,000","-36,506,000,000","78,000,000","7,106,000,000","-21,266,000,000","-7,113,000,000","-10,590,000,000","-43,810,000,000","-2,939,000,000","252,110,000,000","42,791,000,000","109,445,000,000","116,744,000,000","-29,224,000,000","48,149,000,000","139,056,000,000"
	OperatingCashFlow,"347,753,000,000","347,753,000,000","170,529,000,000","152,208,000,000","19,101,000,000","55,190,000,000","60,293,000,000","-23,114,000,000","-40,390,000,000","-94,955,000,000","78,103,000,000","160,337,000,000","287,800,000,000","332,378,000,000","274,634,000,000","46,382,000,000","116,572,000,000","120,072,000,000","-23,557,000,000","56,234,000,000","122,235,000,000"
InvestingCashFlow,"-188,433,000,000","-188,433,000,000","45,353,000,000","61,387,000,000","69,518,000,000","-71,740,000,000","-105,394,000,000","-20,084,000,000","89,104,000,000","-164,392,000,000","-154,038,000,000","-12,728,000,000","-174,363,000,000","233,206,000,000","-174,603,000,000","-208,807,000,000","-11,716,000,000","-67,025,000,000","36,089,000,000","-5,118,000,000","12,777,000,000"
	CapitalExpenditure,"-9,843,000,000","-9,843,000,000","-10,737,000,000","-9,609,000,000","-10,458,000,000","-4,670,000,000","-4,582,000,000","-19,540,000,000","-5,788,000,000","-19,979,000,000","-10,940,000,000","-17,127,000,000","-22,956,000,000","-7,992,000,000","-6,144,000,000","-4,139,000,000","-2,061,000,000","-1,909,000,000","-2,138,000,000","-13,096,000,000","-10,836,000,000"
	PurchaseOfInvestment,"-617,546,000,000","-617,546,000,000","-483,195,000,000","-552,785,000,000","-680,408,000,000","-1,072,852,000,000","-736,367,000,000","-1,071,026,000,000","-1,730,716,000,000",,"-626,891,000,000","-568,001,000,000","-509,217,000,000","-534,319,000,000","-165,026,000,000","-543,117,000,000","-128,354,000,000","-141,533,000,000","-216,677,000,000","-224,739,000,000","-199,783,000,000"
	SaleOfInvestment,"418,723,000,000","418,723,000,000","575,643,000,000","567,484,000,000","804,571,000,000","1,019,443,000,000","740,525,000,000","1,224,457,000,000","1,809,615,000,000",,"476,912,000,000","619,400,000,000","455,592,000,000","768,407,000,000","123,174,000,000","336,935,000,000","115,462,000,000","61,856,000,000","237,888,000,000","232,227,000,000","224,479,000,000"
	NetOtherInvestingChanges,"19,400,000,000","19,400,000,000","-36,358,000,000","52,578,000,000","-44,731,000,000","-15,235,000,000","-105,161,000,000","-160,505,000,000","15,928,000,000","77,624,000,000","6,345,000,000","-47,135,000,000","-97,810,000,000","1,976,000,000","-126,979,000,000","1,423,000,000","2,152,000,000","11,873,000,000","17,016,000,000","490,000,000","-1,083,000,000"
	InvestingCashFlow,"-188,433,000,000","-188,433,000,000","45,353,000,000","61,387,000,000","69,518,000,000","-71,740,000,000","-105,394,000,000","-20,084,000,000","89,104,000,000","-164,392,000,000","-154,038,000,000","-12,728,000,000","-174,363,000,000","233,206,000,000","-174,603,000,000","-208,807,000,000","-11,716,000,000","-67,025,000,000","36,089,000,000","-5,118,000,000","12,777,000,000"
ChangeInCashSupplementalAsReported,"36,024,000,000","36,024,000,000","100,897,000,000","153,506,000,000","72,878,000,000","-23,443,000,000","-59,727,000,000","-128,128,000,000","62,208,000,000","-317,179,000,000","-206,967,000,000","37,203,000,000","-209,412,000,000","414,805,000,000","71,597,000,000","-175,587,000,000","72,614,000,000","-28,486,000,000","-114,296,000,000","77,124,000,000","191,930,000,000"
BeginningCashPosition,"585,378,000,000","585,378,000,000","484,480,000,000","330,974,000,000","258,095,000,000","281,539,000,000","341,266,000,000","469,395,000,000","407,186,000,000","724,366,000,000","931,333,000,000","894,129,000,000","1,103,542,000,000","688,737,000,000","617,140,000,000","792,727,000,000","720,114,000,000","748,600,000,000","863,116,000,000","785,992,000,000","594,062,000,000"
EndCashPosition,"621,402,000,000","621,402,000,000","585,378,000,000","484,480,000,000","330,974,000,000","258,095,000,000","281,539,000,000","341,266,000,000","469,395,000,000","407,186,000,000","724,366,000,000","931,333,000,000","894,129,000,000","1,103,542,000,000","688,737,000,000","617,139,000,000","792,728,000,000","720,114,000,000","748,600,000,000","863,116,000,000","785,992,000,000"
FreeCashFlow,"337,910,000,000","337,910,000,000","159,792,000,000","142,599,000,000","8,643,000,000","50,520,000,000","55,711,000,000","-42,654,000,000","-46,178,000,000","-114,934,000,000","67,163,000,000","143,210,000,000","264,844,000,000","324,386,000,000","268,490,000,000","42,243,000,000","114,511,000,000","118,163,000,000","-25,695,000,000","43,138,000,000","111,399,000,000"
	OperatingCashFlow,"347,753,000,000","347,753,000,000","170,529,000,000","152,208,000,000","19,101,000,000","55,190,000,000","60,293,000,000","-23,114,000,000","-40,390,000,000","-94,955,000,000","78,103,000,000","160,337,000,000","287,800,000,000","332,378,000,000","274,634,000,000","46,382,000,000","116,572,000,000","120,072,000,000","-23,557,000,000","56,234,000,000","122,235,000,000"
	CapitalExpenditure,"-9,843,000,000","-9,843,000,000","-10,737,000,000","-9,609,000,000","-10,458,000,000","-4,670,000,000","-4,582,000,000","-19,540,000,000","-5,788,000,000","-19,979,000,000","-10,940,000,000","-17,127,000,000","-22,956,000,000","-7,992,000,000","-6,144,000,000","-4,139,000,000","-2,061,000,000","-1,909,000,000","-2,138,000,000","-13,096,000,000","-10,836,000,000"
	FreeCashFlow,"337,910,000,000","337,910,000,000","159,792,000,000","142,599,000,000","8,643,000,000","50,520,000,000","55,711,000,000","-42,654,000,000","-46,178,000,000","-114,934,000,000","67,163,000,000","143,210,000,000","264,844,000,000","324,386,000,000","268,490,000,000","42,243,000,000","114,511,000,000","118,163,000,000","-25,695,000,000","43,138,000,000","111,399,000,000"
