name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,10/31/1985
TotalAssets,"23,039,343,000,000","20,981,586,000,000","19,065,538,000,000","17,660,556,000,000","16,673,390,000,000","15,834,331,000,000","15,333,720,000,000","14,206,292,000,000","13,295,667,000,000","12,924,988,000,000","12,866,114,000,000","12,013,511,000,000","12,552,739,000,000","11,716,362,000,000","10,606,520,876,850","9,503,726,683,220","9,112,802,805,500","8,359,228,449,540","8,200,002,403,840","7,897,498,236,480","6,598,746,282,200","6,305,108,901,600","6,455,919,102,575.1","5,670,298,828,799.6","5,098,092,804,108","4,100,517,702,638","4,253,298,545,376","4,529,826,552,944","4,915,626,860,770","4,618,594,186,905","4,343,764,201,233","2,374,042,592,450","1,852,666,429,503","1,297,292,540,280","1,447,577,177,600"
	CurrentAssets,"5,735,145,000,000","5,246,612,000,000","5,176,096,000,000","4,355,722,000,000","4,196,727,000,000","4,197,901,000,000","4,204,886,000,000","3,646,533,000,000","3,754,962,000,000","3,844,046,000,000","4,132,872,000,000","3,620,635,000,000","5,009,663,000,000","4,546,723,000,000","3,769,067,853,900","3,557,879,061,940","3,371,559,807,000","3,149,884,974,000","3,343,079,947,870","3,508,373,801,400","3,038,635,373,600","3,072,287,689,700","3,294,459,724,940.7","2,790,520,508,943.32","2,550,181,663,008","2,083,980,697,162","2,015,861,922,264","2,109,888,584,496","2,360,624,981,322","2,242,310,129,565","2,188,275,414,159","1,439,413,231,563","1,068,648,969,209","871,447,750,250","966,348,715,520"
		CashCashEquivalentsAndShortTermInvestments,"3,360,129,000,000","2,794,611,000,000","2,762,930,000,000","2,011,583,000,000","1,930,009,000,000","1,886,144,000,000","1,879,032,000,000","1,523,958,000,000","1,575,489,000,000","1,660,583,000,000","1,771,101,000,000","1,127,701,000,000","1,514,140,000,000","1,293,214,000,000","1,239,995,310,750","1,241,434,820,220","1,126,668,114,850","953,223,617,600","847,432,821,040","703,566,406,830","711,056,296,000","710,849,105,350","597,387,865,339.95","547,641,978,660.4","464,107,530,006","461,660,104,773","482,352,815,844","489,238,541,176","418,742,767,410","444,519,707,280","448,948,778,550","424,319,530,060","314,924,389,489","246,736,174,080","221,853,258,560"
			CashAndCashEquivalents,"1,512,357,000,000","1,470,073,000,000","1,586,329,000,000","960,142,000,000","983,612,000,000","949,413,000,000","1,046,466,000,000","826,361,000,000","894,576,000,000","1,014,412,000,000","1,191,608,000,000","660,789,000,000","1,086,431,000,000","799,899,000,000","703,036,733,850","779,475,659,340","851,230,235,750","712,086,355,920","685,017,057,660","612,641,262,660","606,863,942,800","592,830,766,700","426,781,460,415.6","427,760,312,600.4","464,107,530,006","461,660,104,773","482,352,815,844","489,238,541,176","418,742,767,410","444,519,707,280","448,948,778,550","424,319,530,060","314,924,389,489","246,736,174,080","221,853,258,560"
			OtherShortTermInvestments,"1,847,772,000,000","1,324,538,000,000","1,176,601,000,000","1,051,441,000,000","946,397,000,000","936,731,000,000","832,566,000,000","697,597,000,000","680,913,000,000","646,171,000,000","579,493,000,000","466,912,000,000","427,709,000,000","493,315,000,000","536,958,576,900","461,959,160,880","275,437,879,100","241,137,261,680","162,415,763,380","90,925,144,170","104,192,353,200","118,018,338,650","170,606,404,924.35","119,881,666,060",,,,,,,,,,,
			CashCashEquivalentsAndShortTermInvestments,"3,360,129,000,000","2,794,611,000,000","2,762,930,000,000","2,011,583,000,000","1,930,009,000,000","1,886,144,000,000","1,879,032,000,000","1,523,958,000,000","1,575,489,000,000","1,660,583,000,000","1,771,101,000,000","1,127,701,000,000","1,514,140,000,000","1,293,214,000,000","1,239,995,310,750","1,241,434,820,220","1,126,668,114,850","953,223,617,600","847,432,821,040","703,566,406,830","711,056,296,000","710,849,105,350","597,387,865,339.95","547,641,978,660.4","464,107,530,006","461,660,104,773","482,352,815,844","489,238,541,176","418,742,767,410","444,519,707,280","448,948,778,550","424,319,530,060","314,924,389,489","246,736,174,080","221,853,258,560"
		AccountsReceivable,"1,002,920,000,000","1,065,802,000,000","1,012,779,000,000","953,811,000,000","853,592,000,000","899,902,000,000","871,040,000,000","776,492,000,000","1,042,968,000,000","834,221,000,000","996,100,000,000","963,837,000,000","1,183,620,000,000","1,490,452,000,000","985,404,911,400","1,113,613,251,100","1,126,563,861,300","1,116,380,580,860","1,244,966,002,930","1,306,749,436,740","1,023,119,586,600","1,014,528,987,850","1,125,102,956,414.85","970,862,384,326.28",,,,,,,,,,,
		Inventory,"589,969,000,000","653,278,000,000","692,937,000,000","640,835,000,000","683,146,000,000","665,432,000,000","733,943,000,000","710,054,000,000","707,052,000,000","704,043,000,000","645,455,000,000","813,068,000,000","1,021,595,000,000","940,875,000,000","804,613,948,200","631,601,545,400","668,161,001,950","624,904,146,340","674,650,094,040","951,245,995,110","832,922,302,800","878,647,126,700","1,002,134,803,987.5","868,262,121,512.16","865,529,377,335","702,249,015,699","669,382,137,096","704,685,881,284","877,811,865,110","734,267,427,855","688,786,493,802","485,542,397,920","332,105,241,084","280,279,793,390","332,557,801,920"
		OtherCurrentAssets,,,,,,,,,,,,"49,909,000,000",,,"-117,702,450","-87,716,479,480","-108,215,184,900","-106,647,790,880","5,183,481,810","5,927,159,190","5,959,720,400","24,294,390,600","108,023,736,892.95","52,425,236,625.08","356,868,209,889","311,462,675,069","318,962,506,944","337,877,568,028","380,568,946,348","360,678,414,090","404,069,625,696","95,160,479,243","70,472,503,907","81,135,545,880","91,118,680,320"
		CurrentAssets,"5,735,145,000,000","5,246,612,000,000","5,176,096,000,000","4,355,722,000,000","4,196,727,000,000","4,197,901,000,000","4,204,886,000,000","3,646,533,000,000","3,754,962,000,000","3,844,046,000,000","4,132,872,000,000","3,620,635,000,000","5,009,663,000,000","4,546,723,000,000","3,769,067,853,900","3,557,879,061,940","3,371,559,807,000","3,149,884,974,000","3,343,079,947,870","3,508,373,801,400","3,038,635,373,600","3,072,287,689,700","3,294,459,724,940.7","2,790,520,508,943.32","2,550,181,663,008","2,083,980,697,162","2,015,861,922,264","2,109,888,584,496","2,360,624,981,322","2,242,310,129,565","2,188,275,414,159","1,439,413,231,563","1,068,648,969,209","871,447,750,250","966,348,715,520"
