name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalAssets,"953,986,000,000","723,521,000,000","554,672,000,000","395,899,000,000","306,818,000,000","171,166,000,000","107,235,000,000","75,255,811,000","56,804,365,000","35,830,114,000","17,505,765,000","9,855,557,000","6,985,004,000","4,650,572,000","3,427,122,000","2,863,321,000","575,716,000"
	CurrentAssets,"253,968,000,000","217,080,000,000","178,446,000,000","149,154,000,000","155,378,000,000","75,321,000,000","53,686,000,000","36,509,148,000","35,503,488,000","25,373,741,000","13,156,942,000","6,495,861,000","4,835,132,000","3,734,434,000","2,663,627,000","2,553,867,000","484,577,000"
		CashCashEquivalentsAndShortTermInvestments,"187,016,000,000","166,907,000,000","142,421,000,000","122,222,000,000","80,769,000,000","53,511,000,000","39,851,000,000","27,189,073,000","26,328,180,000","22,134,000,000","6,043,696,000","4,798,775,000","3,215,252,000","2,274,488,000","1,959,931,000","1,526,741,000","325,586,000"
			CashAndCashEquivalents,"132,991,000,000","97,814,000,000","105,697,000,000","71,902,000,000","43,438,000,000","42,713,000,000","20,228,000,000","13,383,398,000","12,612,140,000","10,408,257,000","6,043,696,000","3,067,928,000","2,948,757,000","1,844,320,000","1,576,044,000","859,841,000","325,586,000"
			OtherShortTermInvestments,"54,025,000,000","69,093,000,000","36,724,000,000","50,320,000,000","37,331,000,000","10,798,000,000","19,623,000,000","13,805,675,000","13,716,040,000","11,725,743,000",,"1,730,847,000","266,495,000","430,168,000","383,887,000","666,900,000",
			CashCashEquivalentsAndShortTermInvestments,"187,016,000,000","166,907,000,000","142,421,000,000","122,222,000,000","80,769,000,000","53,511,000,000","39,851,000,000","27,189,073,000","26,328,180,000","22,134,000,000","6,043,696,000","4,798,775,000","3,215,252,000","2,274,488,000","1,959,931,000","1,526,741,000","325,586,000"
		AccountsReceivable,"35,839,000,000","28,427,000,000","16,549,000,000","10,152,000,000","7,061,000,000","4,588,000,000","2,955,000,000","2,353,959,000","2,020,796,000","1,715,412,000","1,229,436,000","983,459,000","535,528,000","399,337,000",,,
		Inventory,"718,000,000","324,000,000","295,000,000","263,000,000","222,000,000","244,000,000","1,384,000,000","568,084,000",,,"0","5,483,000","1,701,000","2,466,000","2,647,000",,
		OtherCurrentAssets,"13,496,000,000","7,093,000,000","6,406,000,000","5,028,000,000","3,802,000,000","3,673,000,000","2,845,000,000","2,312,976,000","4,942,595,000","1,036,457,000","5,310,168,000","-124,354,000","604,486,000","944,375,000","445,725,000","784,054,000","23,393,000"
		CurrentAssets,"253,968,000,000","217,080,000,000","178,446,000,000","149,154,000,000","155,378,000,000","75,321,000,000","53,686,000,000","36,509,148,000","35,503,488,000","25,373,741,000","13,156,942,000","6,495,861,000","4,835,132,000","3,734,434,000","2,663,627,000","2,553,867,000","484,577,000"
	TotalNonCurrentAssets,"700,018,000,000","506,441,000,000","376,226,000,000","246,745,000,000","151,440,000,000","95,845,000,000","53,549,000,000","38,746,663,000","21,300,877,000","10,456,373,000","4,348,823,000","3,359,696,000","2,149,872,000","916,138,000","763,495,000","309,454,000","91,139,000"
		NetPPE,"61,606,000,000","39,970,000,000","26,760,000,000","18,574,000,000","16,463,000,000","11,748,000,000","10,734,000,000","7,936,457,000","6,043,608,000","3,679,771,000","2,658,269,000","2,040,945,000","988,284,000","573,589,000","365,047,000","142,080,000","80,139,000"
			GrossPPE,"94,673,000,000","63,019,000,000","43,824,000,000","32,360,000,000","27,464,000,000","20,256,000,000","16,753,000,000","12,150,255,000","8,703,062,000","5,205,035,000","3,562,743,000","2,616,440,000","1,331,689,000","778,549,000",,,
			AccumulatedDepreciation,"-33,067,000,000","-23,049,000,000","-17,064,000,000","-13,786,000,000","-11,001,000,000","-8,508,000,000","-6,019,000,000","-4,213,798,000","-2,659,454,000","-1,525,264,000","-904,474,000","-575,495,000","-343,405,000","-204,960,000",,,
			NetPPE,"61,606,000,000","39,970,000,000","26,760,000,000","18,574,000,000","16,463,000,000","11,748,000,000","10,734,000,000","7,936,457,000","6,043,608,000","3,679,771,000","2,658,269,000","2,040,945,000","988,284,000","573,589,000","365,047,000","142,080,000","80,139,000"
		Goodwill,"93,456,000,000","32,605,000,000","23,608,000,000","22,927,000,000","7,155,000,000","6,356,000,000","2,552,000,000","2,928,919,000",,,"62,234,000",,"35,198,000","27,467,000",,,
