name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalRevenue,"399,889,000,000","377,289,000,000","312,694,000,000","237,760,000,000","151,938,000,000","102,863,000,000","78,932,000,000","60,437,000,000","43,893,711,000","28,496,072,000","19,646,031,000","12,439,960,000","7,154,544,000","3,820,923,000","2,800,441,000","1,426,395,000","1,143,533,000","734,957,000"
CostOfRevenue,"219,382,000,000","209,756,000,000","170,574,000,000","120,835,000,000","67,439,000,000","41,631,000,000","30,873,000,000","27,778,000,000","18,207,360,000","9,928,308,000","6,320,200,000","3,889,468,000","2,170,421,000","1,117,557,000","817,062,000","469,869,000","416,216,000","229,548,000"
GrossProfit,"180,507,000,000","167,533,000,000","142,120,000,000","116,925,000,000","84,499,000,000","61,232,000,000","48,059,000,000","32,659,000,000","25,686,351,000","18,567,764,000","13,325,831,000","8,550,492,000","4,984,123,000","2,703,366,000","1,983,379,000","956,526,000","727,317,000","505,409,000"
OperatingExpense,"77,251,000,000","70,961,000,000","64,109,000,000","46,478,000,000","33,809,000,000","24,636,000,000","21,711,000,000","15,344,000,000","10,617,362,000","6,783,204,000","3,743,540,000","2,674,914,000","1,738,149,000","1,108,432,000","908,058,000","472,167,000","267,493,000","169,204,000"
	SellingGeneralAndAdministration,"80,474,000,000","74,842,000,000","65,755,000,000","50,703,000,000","34,595,000,000","24,818,000,000","21,952,000,000","15,683,000,000","10,758,709,000","7,204,007,000","3,781,596,000","2,607,815,000","1,850,354,000","1,137,552,000","903,269,000","545,312,000","278,532,000","167,978,000"
	OperatingExpense,"77,251,000,000","70,961,000,000","64,109,000,000","46,478,000,000","33,809,000,000","24,636,000,000","21,711,000,000","15,344,000,000","10,617,362,000","6,783,204,000","3,743,540,000","2,674,914,000","1,738,149,000","1,108,432,000","908,058,000","472,167,000","267,493,000","169,204,000"
OperatingIncome,"103,256,000,000","96,572,000,000","78,011,000,000","70,447,000,000","50,690,000,000","36,596,000,000","26,348,000,000","17,315,000,000","15,068,989,000","11,784,560,000","9,582,291,000","5,875,578,000","3,245,974,000","1,594,934,000","1,075,321,000","484,359,000","459,824,000","336,205,000"
InterestExpense,"8,257,000,000","7,690,000,000","4,898,000,000","3,060,000,000","2,167,000,000","1,510,000,000","866,000,000","394,000,000","326,562,000",,,"1,953,000","0","1,589,000","5,385,000",,,
PretaxIncome,"112,027,000,000","109,400,000,000","94,466,000,000","88,215,000,000","51,640,000,000","36,216,000,000","29,013,000,000","19,281,000,000","15,051,015,000","12,099,069,000","9,913,133,000","6,040,731,000","3,104,895,000","1,534,503,000","1,116,771,000","437,055,000","469,236,000","338,209,000"
TaxProvision,"14,592,000,000","13,512,000,000","14,482,000,000","15,744,000,000","10,193,000,000","7,108,000,000","5,125,000,000","3,718,000,000","2,266,163,000","1,874,238,000","1,797,924,000","819,120,000","289,245,000","-33,505,000","52,971,000","-48,307,000","22,534,000","16,013,000"
NetIncomeContinuousOperations,"97,435,000,000","95,888,000,000","79,984,000,000","72,471,000,000","41,447,000,000","29,108,000,000","23,888,000,000","15,563,000,000","12,784,852,000","10,224,831,000","8,115,209,000","5,221,611,000","2,815,650,000","1,568,008,000","1,063,800,000","485,362,000","446,702,000","322,196,000"
NetIncome,"94,996,000,000","93,310,000,000","78,719,000,000","71,510,000,000","41,095,000,000","28,806,000,000","23,810,000,000","15,502,000,000","12,731,871,000","10,203,083,000","8,053,625,000","5,155,646,000","2,784,577,000","1,566,020,000","1,063,800,000","485,362,000","446,702,000","322,196,000"
NetIncomeCommonStockholders,"94,996,000,000","93,310,000,000","78,719,000,000","71,510,000,000","41,095,000,000","28,806,000,000","23,810,000,000","15,502,000,000","12,731,871,000","10,203,083,000","8,053,625,000","5,155,646,000","2,784,577,000","1,566,020,000","1,063,800,000","485,362,000","446,702,000","322,196,000"
BasicEPS,,,"8.336","7.598","4.383","3.097","2.579","1.693","1.393","1.122","0.886","0.572","0.31","0.176","0.121","0.055","0.059","0.049"
DilutedEPS,,,"8.228","7.499","4.329","3.055","2.545","1.66","1.367","1.098","0.866","0.558","0.303","0.171","0.117","0.053","0.057","0.049"
BasicAverageShares,,,"9,444,000,000","9,411,000,000","9,376,000,000","9,300,000,000","9,231,000,000","9,160,000,000","9,139,430,000","9,094,830,000","9,084,770,000","9,008,230,000","8,968,885,000","8,899,530,000","8,821,685,000","8,856,970,803","7,622,901,024","6,602,377,049"
DilutedAverageShares,,,"9,568,000,000","9,536,000,000","9,494,000,000","9,430,000,000","9,357,000,000","9,340,000,000","9,316,450,000","9,292,730,000","9,304,915,000","9,236,425,000","9,193,985,000","9,184,820,000","9,092,675,000","9,089,176,030","7,782,264,808","6,602,377,049"
Ebitda,,"161,763,000,000","133,612,000,000","114,886,000,000","66,548,000,000","44,400,000,000","34,697,000,000","23,281,000,000","17,997,817,000","13,723,967,000","10,365,286,000","6,580,457,000","3,465,075,000","1,728,704,000","1,256,518,000","484,359,000","459,824,000","336,205,000"
