name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997
TotalRevenue,"3,389,871,000,000","3,389,871,000,000","3,693,539,000,000","3,947,596,000,000","4,870,773,000,000","5,668,688,000,000","6,655,894,000,000","6,502,543,000,000","5,800,281,000,000","6,100,262,000,000","6,466,316,000,000","6,475,067,000,000","6,830,469,000,000","7,935,803,000,000","7,116,350,000,000","6,410,681,000,000","5,909,695,000,000","5,727,315,000,000","5,735,096,000,000","5,467,837,000,000","6,080,188,000,000","5,856,365,000,000","5,426,980,000,000","5,538,904,000,000","5,575,502,000,000"
CostOfRevenue,"2,472,002,000,000","2,472,002,000,000","2,783,564,000,000","2,986,840,000,000","3,576,520,000,000","4,813,702,000,000","5,079,028,000,000","4,854,349,000,000","4,384,414,000,000","4,633,558,000,000","4,897,547,000,000","4,922,237,000,000","5,366,087,000,000","5,759,840,000,000","5,312,179,000,000","4,659,795,000,000","4,296,572,000,000","4,075,336,000,000","4,146,460,000,000","4,070,130,000,000","4,323,525,000,000","4,254,444,000,000","3,890,622,000,000","3,960,158,000,000","3,900,022,000,000"
GrossProfit,"917,869,000,000","917,869,000,000","909,975,000,000","960,756,000,000","1,294,253,000,000","854,986,000,000","1,576,866,000,000","1,648,194,000,000","1,415,867,000,000","1,466,704,000,000","1,568,769,000,000","1,552,830,000,000","1,464,382,000,000","2,175,963,000,000","1,804,171,000,000","1,750,886,000,000","1,613,123,000,000","1,651,979,000,000","1,588,636,000,000","1,397,707,000,000","1,756,663,000,000","1,601,921,000,000","1,536,358,000,000","1,578,746,000,000","1,675,480,000,000"
OperatingExpense,"787,409,000,000","787,409,000,000","864,690,000,000","896,686,000,000","1,006,551,000,000","1,268,752,000,000","1,406,427,000,000","1,357,430,000,000","1,221,551,000,000","1,310,203,000,000","1,260,685,000,000","1,492,133,000,000","1,709,941,000,000","1,880,578,000,000","1,681,300,000,000","1,548,108,000,000","1,480,807,000,000","1,486,106,000,000","1,500,350,000,000","1,535,549,000,000","1,527,462,000,000","1,603,509,000,000","1,472,992,000,000","1,505,976,000,000","1,487,923,000,000"
	ResearchAndDevelopment,,,,,,,,,,"319,863,000,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"787,409,000,000","787,409,000,000","864,690,000,000","896,686,000,000","1,006,551,000,000","1,268,752,000,000","1,406,427,000,000","1,357,430,000,000","1,221,551,000,000","33,748,000,000","1,260,685,000,000","1,342,171,000,000","1,538,617,000,000","1,670,137,000,000","1,545,807,000,000","1,447,186,000,000","1,389,596,000,000","1,378,529,000,000","1,393,776,000,000","1,437,478,000,000","1,395,699,000,000","1,393,959,000,000","1,379,797,000,000","1,416,046,000,000","1,399,123,000,000"
	OperatingExpense,"787,409,000,000","787,409,000,000","864,690,000,000","896,686,000,000","1,006,551,000,000","1,268,752,000,000","1,406,427,000,000","1,357,430,000,000","1,221,551,000,000","1,310,203,000,000","1,260,685,000,000","1,492,133,000,000","1,709,941,000,000","1,880,578,000,000","1,681,300,000,000","1,548,108,000,000","1,480,807,000,000","1,486,106,000,000","1,500,350,000,000","1,535,549,000,000","1,527,462,000,000","1,603,509,000,000","1,472,992,000,000","1,505,976,000,000","1,487,923,000,000"
OperatingIncome,"130,460,000,000","130,460,000,000","45,285,000,000","64,070,000,000","287,702,000,000","-413,766,000,000","170,439,000,000","290,764,000,000","194,316,000,000","156,501,000,000","308,084,000,000","60,697,000,000","-245,559,000,000","295,385,000,000","122,871,000,000","202,778,000,000","132,316,000,000","165,873,000,000","88,286,000,000","-137,842,000,000","229,201,000,000","-1,588,000,000","63,366,000,000","72,770,000,000","187,557,000,000"
InterestExpense,"5,409,000,000","5,409,000,000","10,563,000,000","29,364,000,000","16,378,000,000","20,753,000,000","24,984,000,000","33,696,000,000","32,692,000,000","31,815,000,000","32,331,000,000","35,735,000,000","33,693,000,000",,,,,,,,,,,,
PretaxIncome,"-47,539,000,000","-47,539,000,000","10,909,000,000","82,378,000,000","225,531,000,000","-633,145,000,000","136,644,000,000","180,938,000,000","155,553,000,000","152,405,000,000","195,549,000,000","24,962,000,000","-279,252,000,000","255,558,000,000","298,460,000,000","178,177,000,000","110,567,000,000","145,041,000,000","53,123,000,000","-376,687,000,000","188,099,000,000","-44,844,000,000","11,218,000,000","18,748,000,000","125,456,000,000"
TaxProvision,"35,120,000,000","35,120,000,000","15,552,000,000","-61,938,000,000","105,632,000,000","253,748,000,000","155,659,000,000","96,299,000,000","59,827,000,000","64,964,000,000","40,720,000,000","29,688,000,000","54,323,000,000","113,380,000,000","145,355,000,000","90,142,000,000","55,944,000,000","102,237,000,000","48,532,000,000","-113,915,000,000","96,145,000,000","-9,001,000,000","25,494,000,000","24,475,000,000","71,593,000,000"
NetIncomeContinuousOperations,"-82,659,000,000","-82,659,000,000","-4,643,000,000","144,316,000,000","119,899,000,000","-886,893,000,000","-19,015,000,000","84,639,000,000","95,726,000,000","87,441,000,000","154,829,000,000","-4,726,000,000","-329,780,000,000","142,178,000,000","153,105,000,000","88,035,000,000","55,288,000,000","24,117,000,000","29,833,000,000","-247,702,000,000","91,028,000,000","-26,265,000,000","-15,276,000,000","8,724,000,000","68,387,000,000"
NetIncome,"-114,633,000,000","-114,633,000,000","1,013,256,000,000","804,011,000,000","-965,663,000,000","-460,013,000,000","-37,825,000,000","50,826,000,000","77,533,000,000","73,705,000,000","137,845,000,000","-19,743,000,000","-343,559,000,000","127,413,000,000","137,429,000,000","78,186,000,000","46,041,000,000","28,825,000,000","18,503,000,000","-254,017,000,000","96,168,000,000","-28,000,000,000","-13,896,000,000","7,337,000,000","67,077,000,000"
NetIncomeCommonStockholders,"-114,633,000,000","-114,633,000,000","1,013,256,000,000","804,011,000,000","-965,663,000,000","-460,013,000,000","-37,825,000,000","50,826,000,000","77,533,000,000","73,705,000,000","137,845,000,000","-19,743,000,000","-343,559,000,000","127,413,000,000","137,429,000,000","78,186,000,000","46,041,000,000","28,825,000,000","18,503,000,000","-254,017,000,000","96,168,000,000","-28,000,000,000","-13,896,000,000","7,337,000,000","67,077,000,000"
BasicEPS,,"-236.39","1,641.85","1,628.9","-2,280.8","-1,086.4","-89.3","120","183.1","174","325.5","-49.3","-1,061.8","394.6","427.6","243.2","143.2","89.6","57.5","-789.1","298.8","-87","-43.2","22.8","200.6"
DilutedEPS,,"-236.39","1,641.85","1,628.9","-2,280.8","-1,086.4","-89.3","120","183.1","171.7","312.5","-49.3","-1,061.8","365.9","394.5","224.4","135.3","89.6","57.5","-789.1","297.1","-87","-43.2","22.8","200.6"
BasicAverageShares,,"484,923,000","617,142,000","493,598,300","423,394,600","423,410,400","423,572,228","423,465,900","423,446,204","423,502,400","423,529,700","400,480,100","323,576,300","322,905,500","321,407,800","321,488,487","321,515,363","321,677,400","321,797,900","321,907,236","321,847,390","321,839,080","321,666,667","321,798,246","334,381,854"
DilutedAverageShares,,"484,923,000","617,142,000","493,598,300","423,394,600","423,410,400","423,572,228","423,465,900","423,446,204","429,200,600","441,059,200","400,480,100","323,576,300","348,245,300","348,375,900","348,422,460","340,288,248","321,677,400","321,797,900","321,907,236","323,688,994","321,839,080","321,666,667","321,798,246","334,381,854"
Ebitda,,"37,485,000,000","99,990,000,000","229,812,000,000","404,884,000,000","-398,523,000,000","351,566,000,000","401,039,000,000","405,997,000,000","431,190,000,000","487,484,000,000","359,695,000,000","104,205,000,000","675,545,000,000","415,746,000,000","456,995,000,000","373,678,000,000","414,704,000,000","349,121,000,000","188,397,000,000","569,017,000,000","347,173,000,000","376,321,000,000","366,582,000,000","442,979,000,000"
