name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"12,703,389,000","10,162,572,000","7,412,477,000","6,870,365,000","6,442,439,000","5,583,082,000","3,366,240,000","831,568,000","720,675,000"
	CurrentAssets,"7,620,075,000","7,111,036,000","5,321,884,000","4,652,196,000","4,381,792,000","4,255,853,000","2,574,679,000","554,466,000","596,068,000"
		CashCashEquivalentsAndShortTermInvestments,"6,639,052,000","6,209,401,000","4,403,102,000","3,774,579,000","3,495,348,000","3,621,878,000","2,234,054,000","424,856,000","549,539,000"
			CashAndCashEquivalents,"1,799,082,000","1,894,444,000","1,638,413,000","988,598,000","911,471,000","1,510,724,000","841,010,000","203,328,000","218,996,000"
			OtherShortTermInvestments,"4,839,970,000","4,314,957,000","2,764,689,000","2,785,981,000","2,583,877,000","2,111,154,000","1,393,044,000","221,528,000","330,543,000"
			CashCashEquivalentsAndShortTermInvestments,"6,639,052,000","6,209,401,000","4,403,102,000","3,774,579,000","3,495,348,000","3,621,878,000","2,234,054,000","424,856,000","549,539,000"
		AccountsReceivable,"850,184,000","788,700,000","664,268,000","650,650,000","638,694,000","418,454,000","247,328,000","112,155,000","39,834,000"
		CurrentAssets,"7,620,075,000","7,111,036,000","5,321,884,000","4,652,196,000","4,381,792,000","4,255,853,000","2,574,679,000","554,466,000","596,068,000"
	TotalNonCurrentAssets,"5,083,314,000","3,051,536,000","2,090,593,000","2,218,169,000","2,060,647,000","1,327,229,000","791,561,000","277,102,000","124,607,000"
		NetPPE,"1,728,876,000","885,078,000","773,715,000","783,901,000","735,299,000","557,019,000","332,662,000","185,574,000","61,983,000"
			GrossPPE,"3,279,526,000","2,165,252,000","1,928,088,000","1,641,828,000","1,314,009,000","888,270,000","499,727,000","258,811,000","84,539,000"
			AccumulatedDepreciation,"-1,550,650,000","-1,280,174,000","-1,154,373,000","-857,927,000","-578,710,000","-331,251,000","-167,065,000","-73,237,000","-22,556,000"
			NetPPE,"1,728,876,000","885,078,000","773,715,000","783,901,000","735,299,000","557,019,000","332,662,000","185,574,000","61,983,000"
		Goodwill,"1,256,699,000","1,227,269,000","1,188,935,000","1,185,315,000","1,122,728,000","622,570,000","363,477,000","68,813,000","36,761,000"
		OtherIntangibleAssets,"55,106,000","45,025,000","49,654,000","95,334,000","141,015,000","105,011,000","77,627,000","3,753,000","6,418,000"
		OtherNonCurrentAssets,"134,547,000","85,705,000","78,289,000","153,619,000","61,605,000","42,629,000","17,795,000","18,962,000","19,445,000"
		TotalNonCurrentAssets,"5,083,314,000","3,051,536,000","2,090,593,000","2,218,169,000","2,060,647,000","1,327,229,000","791,561,000","277,102,000","124,607,000"
	TotalAssets,"12,703,389,000","10,162,572,000","7,412,477,000","6,870,365,000","6,442,439,000","5,583,082,000","3,366,240,000","831,568,000","720,675,000"
TotalAssets,"12,703,389,000","10,162,572,000","7,412,477,000","6,870,365,000","6,442,439,000","5,583,082,000","3,366,240,000","831,568,000","720,675,000"
	TotalLiabilitiesNetMinorityInterest,"3,999,003,000","3,356,978,000","2,365,259,000","2,265,430,000","2,074,392,000","1,956,679,000","416,234,000","1,079,740,000","922,513,000"
		CurrentLiabilities,"832,476,000","1,516,311,000","583,278,000","584,021,000","506,039,000","393,794,000","225,430,000","109,879,000","47,744,000"
