name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"3,322,133,000","3,459,329,000","3,042,359,000","2,443,299,000","2,529,619,000","2,218,032,000","1,403,002,000","664,890,000","316,933,000","106,313,000","28,278,000"
CostOfRevenue,"1,167,141,000","1,137,041,000","964,997,000","861,242,000","932,240,000","729,256,000","446,309,000","266,718,000","128,768,000","61,803,000","43,168,000"
GrossProfit,"2,154,992,000","2,322,288,000","2,077,362,000","1,582,057,000","1,597,379,000","1,488,776,000","956,693,000","398,172,000","188,165,000","44,510,000","-14,890,000"
OperatingExpense,"2,089,336,000","1,955,915,000","1,624,037,000","1,543,317,000","1,964,587,000","1,938,812,000","1,495,559,000","1,034,003,000","265,248,000","171,921,000","52,589,000"
	ResearchAndDevelopment,"792,987,000","682,281,000","553,858,000","542,010,000","713,482,000","806,648,000","691,543,000","593,992,000","119,004,000","80,176,000","29,348,000"
	SellingGeneralAndAdministration,"1,296,349,000","1,273,634,000","1,070,179,000","1,001,307,000","1,251,105,000","1,132,164,000","804,016,000","440,011,000","146,244,000","91,745,000","23,241,000"
	OperatingExpense,"2,089,336,000","1,955,915,000","1,624,037,000","1,543,317,000","1,964,587,000","1,938,812,000","1,495,559,000","1,034,003,000","265,248,000","171,921,000","52,589,000"
OperatingIncome,"65,656,000","366,373,000","453,325,000","38,740,000","-367,208,000","-450,036,000","-538,866,000","-635,831,000","-77,083,000","-127,411,000","-67,479,000"
InterestExpense,"135,701,000","138,180,000","132,606,000","105,237,000","99,968,000","98,178,000",,,,,
OtherIncomeExpense,"-10,924,000","4,243,000","-8,396,000","-28,921,000","1,000,000","14,909,000","-5,500,000","-4,455,000","399,000","-1,530,000","-117,000"
PretaxIncome,"51,216,000","390,139,000","423,544,000","-95,418,000","-440,834,000","-533,305,000","-578,351,000","-647,146,000","-79,170,000","-129,746,000","-67,541,000"
TaxProvision,"1,132,322,000","-1,075,520,000","-782,052,000","12,645,000","16,039,000","-12,274,000","-531,000","-1,823,000","229,000","-1,444,000","-217,000"
NetIncomeContinuousOperations,"-1,081,106,000","1,465,659,000","1,205,596,000","-108,063,000","-456,873,000","-521,031,000","-577,820,000","-645,323,000","-79,399,000","-128,302,000","-67,324,000"
NetIncome,"-1,081,106,000","1,465,659,000","1,205,596,000","-108,063,000","-456,873,000","-521,031,000","-577,820,000","-645,323,000","-79,399,000","-128,302,000","-67,324,000"
NetIncomeCommonStockholders,"-1,081,106,000","1,465,659,000","1,205,596,000","-108,063,000","-456,873,000","-521,031,000","-577,820,000","-645,323,000","-79,399,000","-164,118,000","-67,324,000"
BasicEPS,,"1.9","1.6","-0.15","-0.65","-0.79","-0.96","-3.41","-0.18","-1.6","-0.15"
DilutedEPS,,"1.87","1.56","-0.15","-0.65","-0.79","-0.96","-3.41","-0.18","-1.6","-0.15"
BasicAverageShares,,"770,729,000","754,326,000","732,702,000","702,135,000","662,424,000","604,990,000","189,510,000","449,900,000","102,544,000","449,900,000"
DilutedAverageShares,,"785,531,000","772,686,000","732,702,000","702,135,000","662,424,000","604,990,000","189,510,000","449,900,000","102,544,000","449,900,000"
Ebitda,,"993,868,000","981,648,000","405,686,000","61,306,000","-122,304,000","-330,701,000","-524,937,000","-4,577,000","-103,219,000","-57,115,000"
